"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01065","0","10","70","0","2000","A","","Hale County, Alabama","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",287,3755,80018232,0,0,410,21312,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-3,-1.0,47,1.3,4629162,6.1,0,0.0,0,0.0,19,4.9,982,4.8
"01065","1","10","71","0","2000","A","","Hale County, Alabama","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,70,2189615,0,0,601,31243,"",5.48,0.84,0.95,0.00,0.00,1.12,1.12,"",0,0.0,9,14.8,194188,9.7,0,0.0,0,0.0,-26,-4.1,-1380,-4.2
"01065","1","102","72","0","2000","A","","Hale County, Alabama","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,70,2189615,0,0,601,31243,"",5.50,0.86,0.97,0.00,0.00,1.12,1.12,"",0,0.0,9,14.8,194188,9.7,0,0.0,0,0.0,-26,-4.1,-1380,-4.2
"01065","1","1021","73","0","2000","A","","Hale County, Alabama","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,35,1109509,0,0,614,31928,"",5.73,1.24,1.55,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,89109,8.7,0,0.0,0,0.0,60,10.8,3117,10.8
"01065","1","1024","73","0","2000","A","","Hale County, Alabama","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,6,257099,0,0,813,42263,"",17.14,3.61,5.01,0.00,0.00,1.37,1.37,"",0,0.0,-1,-14.3,7843,3.1,0,0.0,0,0.0,94,13.1,4875,13.0
"01065","1","1028","73","0","2000","A","","Hale County, Alabama","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,29,823007,0,0,541,28137,"",5.21,0.69,0.66,0.00,0.00,0.94,0.95,"",0,0.0,10,52.6,97236,13.4,0,0.0,0,0.0,-190,-26.0,-9895,-26.0
"01065","1","48-49","74","0","2000","A","","Hale County, Alabama","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,35,1109509,0,0,614,31928,"",5.92,1.33,1.63,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,89109,8.7,0,0.0,0,0.0,60,10.8,3117,10.8
"01065","1","491","75","0","2000","A","","Hale County, Alabama","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,35,1109509,0,0,614,31928,"",6.03,1.38,1.72,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,89109,8.7,0,0.0,0,0.0,60,10.8,3117,10.8
"01065","1","4911","76","0","2000","A","","Hale County, Alabama","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,35,1109509,0,0,614,31928,"",6.03,1.38,1.72,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,89109,8.7,0,0.0,0,0.0,60,10.8,3117,10.8
"01065","1","49111","77","0","2000","A","","Hale County, Alabama","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,35,1109509,0,0,614,31928,"",6.03,1.38,1.72,0.00,0.00,1.26,1.26,"",0,0.0,0,0.0,89109,8.7,0,0.0,0,0.0,60,10.8,3117,10.8
