"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"05089","0","10","70","0","2000","A","","Marion County, Arkansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",274,4068,78108101,0,0,369,19203,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,151,3.9,3057391,4.1,0,0.0,0,0.0,1,0.3,42,0.2
"05089","1","10","71","0","2000","A","","Marion County, Arkansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,47,1400993,0,0,576,29968,"",5.17,0.52,0.62,0.00,0.00,1.19,1.19,"",1,12.5,9,23.7,158036,12.7,0,0.0,0,0.0,-50,-8.0,-2599,-8.0
"05089","1","102","72","0","2000","A","","Marion County, Arkansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,47,1400993,0,0,576,29968,"",5.18,0.53,0.63,0.00,0.00,1.19,1.20,"",1,12.5,9,23.7,158036,12.7,0,0.0,0,0.0,-50,-8.0,-2599,-8.0
"05089","1","1021","73","0","2000","A","","Marion County, Arkansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,21,663491,0,0,612,31848,"",7.51,0.69,0.95,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,-9396,-1.4,0,0.0,0,0.0,-9,-1.4,-451,-1.4
"05089","1","1026","73","0","2000","A","","Marion County, Arkansas","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,16,508739,0,0,628,32646,"",26.91,9.22,21.53,0.00,0.00,2.40,2.40,"",0,0.0,1,6.7,47671,10.3,0,0.0,0,0.0,43,7.4,2246,7.4
"05089","1","1028","73","0","2000","A","","Marion County, Arkansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,10,228763,0,0,426,22138,"",3.27,0.22,0.19,0.00,0.00,0.83,0.83,"",1,50.0,8,400.0,119761,109.9,0,0.0,0,0.0,-541,-55.9,-28171,-56.0
"05089","1","48-49","74","0","2000","A","","Marion County, Arkansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,663491,0,0,612,31848,"",7.75,0.74,1.00,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,-9396,-1.4,0,0.0,0,0.0,-9,-1.4,-451,-1.4
"05089","1","491","75","0","2000","A","","Marion County, Arkansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,21,663491,0,0,612,31848,"",7.89,0.76,1.05,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-9396,-1.4,0,0.0,0,0.0,-9,-1.4,-451,-1.4
"05089","1","4911","76","0","2000","A","","Marion County, Arkansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,21,663491,0,0,612,31848,"",7.89,0.76,1.05,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-9396,-1.4,0,0.0,0,0.0,-9,-1.4,-451,-1.4
"05089","1","49111","77","0","2000","A","","Marion County, Arkansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,21,663491,0,0,612,31848,"",7.89,0.76,1.05,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-9396,-1.4,0,0.0,0,0.0,-9,-1.4,-451,-1.4
"05089","1","491110","78","0","2000","A","","Marion County, Arkansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,21,663491,0,0,612,31848,"",7.89,0.76,1.05,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,-9396,-1.4,0,0.0,0,0.0,-9,-1.4,-451,-1.4
"05089","1","71","74","0","2000","A","","Marion County, Arkansas","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,16,508739,0,0,628,32646,"",37.12,13.04,26.25,0.00,0.00,2.07,2.07,"",0,0.0,1,6.7,47671,10.3,0,0.0,0,0.0,43,7.4,2246,7.4
"05089","1","712","75","0","2000","A","","Marion County, Arkansas","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,16,508739,0,0,628,32646,"",63.12,21.89,34.34,0.00,0.00,1.61,1.61,"",0,0.0,1,6.7,47671,10.3,0,0.0,0,0.0,43,7.4,2246,7.4
"05089","1","7121","76","0","2000","A","","Marion County, Arkansas","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,16,508739,0,0,628,32646,"",63.12,21.89,34.34,0.00,0.00,1.61,1.61,"",0,0.0,1,6.7,47671,10.3,0,0.0,0,0.0,43,7.4,2246,7.4
"05089","1","71219","77","0","2000","A","","Marion County, Arkansas","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,16,508739,0,0,628,32646,"",70.87,32.16,55.45,0.00,0.00,1.77,1.77,"",0,0.0,1,6.7,47671,10.3,0,0.0,0,0.0,43,7.4,2246,7.4
"05089","1","712190","78","0","2000","A","","Marion County, Arkansas","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,508739,0,0,628,32646,"",70.87,32.16,55.45,0.00,0.00,1.77,1.77,"",0,0.0,1,6.7,47671,10.3,0,0.0,0,0.0,43,7.4,2246,7.4
"05089","1","92","74","0","2000","A","","Marion County, Arkansas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,10,228763,0,0,426,22138,"",3.27,0.22,0.19,0.00,0.00,0.83,0.83,"",1,50.0,8,400.0,119761,109.9,0,0.0,0,0.0,-541,-55.9,-28171,-56.0
"05089","1","922","75","0","2000","A","","Marion County, Arkansas","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",9.67,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-73823,-100.0,0,0.0,0,0.0,-1217,-100.0,-63277,-100.0
"05089","1","9221","76","0","2000","A","","Marion County, Arkansas","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",9.67,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-73823,-100.0,0,0.0,0,0.0,-1217,-100.0,-63277,-100.0
"05089","1","92219","77","0","2000","A","","Marion County, Arkansas","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",26.54,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-73823,-100.0,0,0.0,0,0.0,-1217,-100.0,-63277,-100.0
"05089","1","922190","78","0","2000","A","","Marion County, Arkansas","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",26.54,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-73823,-100.0,0,0.0,0,0.0,-1217,-100.0,-63277,-100.0
"05089","1","926","75","0","2000","A","","Marion County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,228763,0,0,426,22138,"",5.43,1.14,1.14,0.00,0.00,0.97,0.96,"",1,100.0,9,900.0,193584,550.3,0,0.0,0,0.0,-251,-37.1,-13041,-37.1
"05089","1","9261","76","0","2000","A","","Marion County, Arkansas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,228763,0,0,426,22138,"",5.43,1.14,1.14,0.00,0.00,0.97,0.96,"",1,100.0,9,900.0,193584,550.3,0,0.0,0,0.0,-251,-37.1,-13041,-37.1
"05089","1","92614","77","0","2000","A","","Marion County, Arkansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,35804,0,0,689,35804,"",6.98,0.61,0.85,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,625,1.8,0,0.0,0,0.0,12,1.8,625,1.8
"05089","1","926140","78","0","2000","A","","Marion County, Arkansas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,35804,0,0,689,35804,"",6.98,0.61,0.85,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,625,1.8,0,0.0,0,0.0,12,1.8,625,1.8
"05089","2","10","71","0","2000","A","","Marion County, Arkansas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,104,2440395,0,0,451,23428,"",3.98,0.76,0.90,0.00,0.00,1.19,1.19,"",1,12.5,3,3.0,135605,5.9,0,0.0,0,0.0,11,2.5,533,2.3
