"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08049","0","10","70","0","2000","A","","Grand County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",757,6563,143906168,0,0,422,21926,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",57,8.1,120,1.9,12602748,9.6,0,0.0,0,0.0,30,7.7,1548,7.6
"08049","1","10","71","0","2000","A","","Grand County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,136,5061767,0,0,718,37333,"",1.66,0.94,1.22,0.00,0.00,1.30,1.30,"",0,0.0,9,7.1,592976,13.3,0,0.0,0,0.0,40,5.9,2053,5.8
"08049","1","102","72","0","2000","A","","Grand County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,136,5061767,0,0,718,37333,"",1.67,0.96,1.24,0.00,0.00,1.30,1.30,"",0,0.0,9,7.1,592976,13.3,0,0.0,0,0.0,40,5.9,2053,5.8
"08049","1","1021","73","0","2000","A","","Grand County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,26,972393,0,0,726,37763,"",1.09,0.53,0.76,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-7301,-0.7,0,0.0,0,0.0,6,0.8,322,0.9
"08049","1","1026","73","0","2000","A","","Grand County, Colorado","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,34,1073253,0,0,613,31879,"",9.74,12.14,24.66,0.00,0.00,2.05,2.05,"",0,0.0,-3,-8.1,73897,7.4,0,0.0,0,0.0,90,17.2,4686,17.2
"08049","1","1028","73","0","2000","A","","Grand County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,76,3016121,0,0,762,39599,"",1.97,1.04,1.34,0.00,0.00,1.29,1.29,"",0,0.0,12,18.8,526380,21.1,0,0.0,0,0.0,11,1.5,544,1.4
"08049","1","48-49","74","0","2000","A","","Grand County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,26,972393,0,0,726,37763,"",1.12,0.57,0.79,0.00,0.00,1.41,1.41,"",0,0.0,0,0.0,-7301,-0.7,0,0.0,0,0.0,6,0.8,322,0.9
"08049","1","491","75","0","2000","A","","Grand County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,26,972393,0,0,726,37763,"",1.14,0.58,0.84,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-7301,-0.7,0,0.0,0,0.0,6,0.8,322,0.9
"08049","1","4911","76","0","2000","A","","Grand County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,26,972393,0,0,726,37763,"",1.14,0.58,0.84,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-7301,-0.7,0,0.0,0,0.0,6,0.8,322,0.9
"08049","1","49111","77","0","2000","A","","Grand County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,26,972393,0,0,726,37763,"",1.14,0.58,0.84,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-7301,-0.7,0,0.0,0,0.0,6,0.8,322,0.9
"08049","1","491110","78","0","2000","A","","Grand County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,26,972393,0,0,726,37763,"",1.14,0.58,0.84,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,-7301,-0.7,0,0.0,0,0.0,6,0.8,322,0.9
"08049","1","71","74","0","2000","A","","Grand County, Colorado","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,34,1073253,0,0,613,31879,"",13.44,17.17,30.06,0.00,0.00,1.76,1.77,"",0,0.0,-3,-8.1,73897,7.4,0,0.0,0,0.0,90,17.2,4686,17.2
"08049","1","712","75","0","2000","A","","Grand County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,34,1073253,0,0,613,31879,"",22.84,28.84,39.32,0.00,0.00,1.38,1.38,"",0,0.0,-3,-8.1,73897,7.4,0,0.0,0,0.0,90,17.2,4686,17.2
"08049","1","7121","76","0","2000","A","","Grand County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,34,1073253,0,0,613,31879,"",22.84,28.84,39.32,0.00,0.00,1.38,1.38,"",0,0.0,-3,-8.1,73897,7.4,0,0.0,0,0.0,90,17.2,4686,17.2
"08049","1","71219","77","0","2000","A","","Grand County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,34,1073253,0,0,613,31879,"",25.65,42.36,63.49,0.00,0.00,1.51,1.51,"",0,0.0,-3,-8.1,73897,7.4,0,0.0,0,0.0,90,17.2,4686,17.2
"08049","1","712190","78","0","2000","A","","Grand County, Colorado","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,34,1073253,0,0,613,31879,"",25.65,42.36,63.49,0.00,0.00,1.51,1.51,"",0,0.0,-3,-8.1,73897,7.4,0,0.0,0,0.0,90,17.2,4686,17.2
"08049","1","92","74","0","2000","A","","Grand County, Colorado","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,76,3016121,0,0,762,39599,"",1.97,1.04,1.34,0.00,0.00,1.29,1.29,"",0,0.0,12,18.8,526380,21.1,0,0.0,0,0.0,11,1.5,544,1.4
"08049","1","924","75","0","2000","A","","Grand County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,65,2683854,0,0,794,41290,"",5.21,11.50,16.49,0.00,0.00,1.43,1.43,"",0,0.0,3,4.8,320006,13.5,0,0.0,0,0.0,58,7.9,3009,7.9
"08049","1","9241","76","0","2000","A","","Grand County, Colorado","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,65,2683854,0,0,794,41290,"",5.21,11.50,16.49,0.00,0.00,1.43,1.43,"",0,0.0,3,4.8,320006,13.5,0,0.0,0,0.0,58,7.9,3009,7.9
"08049","1","92412","77","0","2000","A","","Grand County, Colorado","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,65,2683854,0,0,794,41290,"",5.31,13.62,21.12,0.00,0.00,1.55,1.55,"",0,0.0,3,4.8,320006,13.5,0,0.0,0,0.0,58,7.9,3009,7.9
"08049","1","924120","78","0","2000","A","","Grand County, Colorado","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,65,2683854,0,0,794,41290,"",5.31,13.62,21.12,0.00,0.00,1.55,1.55,"",0,0.0,3,4.8,320006,13.5,0,0.0,0,0.0,58,7.9,3009,7.9
"08049","1","926","75","0","2000","A","","Grand County, Colorado","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,332267,0,0,572,29755,"",1.97,0.78,0.90,0.00,0.00,1.13,1.14,"",0,0.0,9,450.0,206374,163.9,0,0.0,0,0.0,-639,-52.8,-33192,-52.7
"08049","1","9261","76","0","2000","A","","Grand County, Colorado","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,332267,0,0,572,29755,"",1.97,0.78,0.90,0.00,0.00,1.13,1.14,"",0,0.0,9,450.0,206374,163.9,0,0.0,0,0.0,-639,-52.8,-33192,-52.7
"08049","1","92611","77","0","2000","A","","Grand County, Colorado","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,332267,0,0,572,29755,"",3.97,1.37,2.35,0.00,0.00,1.69,1.69,"",0,0.0,9,450.0,206374,163.9,0,0.0,0,0.0,-639,-52.8,-33192,-52.7
"08049","1","926110","78","0","2000","A","","Grand County, Colorado","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,332267,0,0,572,29755,"",3.97,1.37,2.35,0.00,0.00,1.69,1.69,"",0,0.0,9,450.0,206374,163.9,0,0.0,0,0.0,-639,-52.8,-33192,-52.7
"08049","2","10","71","0","2000","A","","Grand County, Colorado","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,55,1990884,0,0,699,36363,"",1.28,0.25,0.40,0.00,0.00,1.61,1.61,"",0,0.0,-6,-9.8,92069,4.8,0,0.0,0,0.0,103,17.3,5362,17.3
"08049","3","10","71","0","2000","A","","Grand County, Colorado","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",24,884,22465907,0,0,489,25419,"",1.77,1.39,1.75,0.00,0.00,1.26,1.27,"",0,0.0,18,2.1,1549859,7.4,0,0.0,0,0.0,24,5.2,1253,5.2
"08049","3","102","72","0","2000","A","","Grand County, Colorado","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,884,22465907,0,0,489,25419,"",1.83,1.40,1.77,0.00,0.00,1.26,1.27,"",0,0.0,18,2.1,1549859,7.4,0,0.0,0,0.0,24,5.2,1253,5.2
"08049","3","1021","73","0","2000","A","","Grand County, Colorado","Local Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,68,1910067,0,0,540,28089,"",8.95,2.90,3.17,0.00,0.00,1.09,1.09,"",1,12.5,0,0.0,131538,7.4,0,0.0,0,0.0,33,6.5,1740,6.6
"08049","3","1028","73","0","2000","A","","Grand County, Colorado","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,335,8516181,0,0,490,25459,"",1.48,1.81,2.16,0.00,0.00,1.19,1.19,"",-1,-11.1,3,0.9,923153,12.2,0,0.0,0,0.0,50,11.4,2594,11.3
"08049","3","22","74","0","2000","A","","Grand County, Colorado","Local Government","Utilities","County, NAICS Sector -- by ownership sector","All establishment sizes",9,68,1910067,0,0,540,28089,"",11.80,5.96,6.35,0.00,0.00,1.06,1.07,"",1,12.5,0,0.0,131538,7.4,0,0.0,0,0.0,33,6.5,1740,6.6
"08049","3","221","75","0","2000","A","","Grand County, Colorado","Local Government","Utilities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,68,1910067,0,0,540,28089,"",11.80,5.96,6.35,0.00,0.00,1.06,1.07,"",1,12.5,0,0.0,131538,7.4,0,0.0,0,0.0,33,6.5,1740,6.6
"08049","3","2213","76","0","2000","A","","Grand County, Colorado","Local Government","Water, sewage and other systems","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,68,1910067,0,0,540,28089,"",13.78,9.16,10.80,0.00,0.00,1.18,1.18,"",1,12.5,0,0.0,131538,7.4,0,0.0,0,0.0,33,6.5,1740,6.6
"08049","3","92","74","0","2000","A","","Grand County, Colorado","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,335,8516181,0,0,490,25459,"",1.48,1.81,2.16,0.00,0.00,1.19,1.19,"",-1,-11.1,3,0.9,923153,12.2,0,0.0,0,0.0,50,11.4,2594,11.3
"08049","3","921","75","0","2000","A","","Grand County, Colorado","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,328,8382125,0,0,491,25555,"",1.79,2.60,3.38,0.00,0.00,1.30,1.30,"",0,0.0,2,0.6,909165,12.2,0,0.0,0,0.0,51,11.6,2649,11.6
"08049","3","9211","76","0","2000","A","","Grand County, Colorado","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,328,8382125,0,0,491,25555,"",1.79,2.60,3.38,0.00,0.00,1.30,1.30,"",0,0.0,2,0.6,909165,12.2,0,0.0,0,0.0,51,11.6,2649,11.6
"08049","3","92114","77","0","2000","A","","Grand County, Colorado","Local Government","Executive and legislative offices, combined","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,328,8382125,0,0,491,25555,"",2.88,3.86,5.06,0.00,0.00,1.31,1.31,"",0,0.0,2,0.6,909165,12.2,0,0.0,0,0.0,51,11.6,2649,11.6
"08049","3","921140","78","0","2000","A","","Grand County, Colorado","Local Government","Executive and legislative offices, combined","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,328,8382125,0,0,491,25555,"",2.88,3.86,5.06,0.00,0.00,1.31,1.31,"",0,0.0,2,0.6,909165,12.2,0,0.0,0,0.0,51,11.6,2649,11.6
"08049","5","10","71","0","2000","A","","Grand County, Colorado","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",717,5489,114387610,0,0,401,20839,"",0.98,0.99,0.94,0.00,0.00,0.95,0.95,"",56,8.5,99,1.8,10367844,10.0,0,0.0,0,0.0,30,8.1,1540,8.0
"08049","5","101","72","0","2000","A","","Grand County, Colorado","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",184,755,23482825,0,0,598,31096,"",1.47,0.58,0.72,0.00,0.00,1.23,1.23,"",30,19.5,96,14.6,2980361,14.5,0,0.0,0,0.0,0,0.0,0,0.0
"08049","5","1011","73","0","2000","A","","Grand County, Colorado","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",11,22,784280,0,0,673,34986,"",0.89,0.26,0.47,0.00,0.00,1.82,1.82,"",-1,-8.3,-15,-40.5,-274477,-25.9,0,0.0,0,0.0,129,23.7,6690,23.6
"08049","5","1012","73","0","2000","A","","Grand County, Colorado","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",161,650,20364341,0,0,603,31346,"",2.17,1.93,2.64,0.00,0.00,1.37,1.37,"",31,23.8,102,18.6,3040503,17.6,0,0.0,0,0.0,-5,-0.8,-252,-0.8
"08049","5","1013","73","0","2000","A","","Grand County, Colorado","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",13,83,2334204,0,0,540,28095,"",0.34,0.09,0.10,0.00,0.00,1.05,1.05,"",1,8.3,9,12.2,214335,10.1,0,0.0,0,0.0,-13,-2.4,-682,-2.4
"08049","5","102","72","0","2000","A","","Grand County, Colorado","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",533,4734,90904785,0,0,369,19203,"",0.88,1.11,1.02,0.00,0.00,0.91,0.92,"",26,5.1,3,0.1,7387483,8.8,0,0.0,0,0.0,29,8.5,1549,8.8
"08049","5","1021","73","0","2000","A","","Grand County, Colorado","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",146,896,19723697,0,0,423,22015,"",0.82,0.69,0.79,0.00,0.00,1.15,1.15,"",6,4.3,-16,-1.8,997421,5.3,0,0.0,0,0.0,28,7.1,1491,7.3
"08049","5","1022","73","0","2000","A","","Grand County, Colorado","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",6,54,1490058,0,0,528,27467,"",0.42,0.29,0.22,0.00,0.00,0.75,0.76,"",-1,-14.3,-97,-64.2,-2485777,-62.5,0,0.0,0,0.0,22,4.3,1166,4.4
