"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"08089","0","10","70","0","2000","A","","Otero County, Colorado","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",559,7276,154888174,0,0,409,21288,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.2,-9,-0.1,5473971,3.7,0,0.0,0,0.0,15,3.8,777,3.8
"08089","1","10","71","0","2000","A","","Otero County, Colorado","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,133,4468608,0,0,644,33494,"",3.38,0.83,1.00,0.00,0.00,1.20,1.20,"",1,9.1,6,4.7,301133,7.2,0,0.0,0,0.0,14,2.2,722,2.2
"08089","1","102","72","0","2000","A","","Otero County, Colorado","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,133,4468608,0,0,644,33494,"",3.39,0.84,1.02,0.00,0.00,1.21,1.21,"",1,9.1,6,4.7,301133,7.2,0,0.0,0,0.0,14,2.2,722,2.2
"08089","1","1021","73","0","2000","A","","Otero County, Colorado","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,53,1835346,0,0,666,34629,"",2.21,0.97,1.33,0.00,0.00,1.37,1.37,"",0,0.0,-1,-1.9,113693,6.6,0,0.0,0,0.0,48,7.8,2499,7.8
"08089","1","1023","73","0","2000","A","","Otero County, Colorado","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,5,223842,0,0,861,44768,"",13.15,5.87,7.07,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,11354,5.3,0,0.0,0,0.0,44,5.4,2270,5.3
"08089","1","1026","73","0","2000","A","","Otero County, Colorado","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,21,569848,0,0,516,26816,"",13.19,6.76,12.16,0.00,0.00,1.78,1.78,"",0,0.0,-3,-12.5,-21896,-3.7,0,0.0,0,0.0,32,6.6,1635,6.5
"08089","1","1028","73","0","2000","A","","Otero County, Colorado","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,54,1839572,0,0,653,33961,"",3.74,0.66,0.76,0.00,0.00,1.14,1.14,"",1,16.7,9,20.0,197982,12.1,0,0.0,0,0.0,-47,-6.7,-2451,-6.7
"08089","1","48-49","74","0","2000","A","","Otero County, Colorado","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,53,1835346,0,0,666,34629,"",2.28,1.04,1.39,0.00,0.00,1.34,1.33,"",0,0.0,-1,-1.9,113693,6.6,0,0.0,0,0.0,48,7.8,2499,7.8
"08089","1","491","75","0","2000","A","","Otero County, Colorado","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,53,1835346,0,0,666,34629,"",2.32,1.08,1.47,0.00,0.00,1.37,1.37,"",0,0.0,-1,-1.9,113693,6.6,0,0.0,0,0.0,48,7.8,2499,7.8
"08089","1","4911","76","0","2000","A","","Otero County, Colorado","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,53,1835346,0,0,666,34629,"",2.32,1.08,1.47,0.00,0.00,1.37,1.37,"",0,0.0,-1,-1.9,113693,6.6,0,0.0,0,0.0,48,7.8,2499,7.8
"08089","1","49111","77","0","2000","A","","Otero County, Colorado","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,53,1835346,0,0,666,34629,"",2.32,1.08,1.47,0.00,0.00,1.37,1.37,"",0,0.0,-1,-1.9,113693,6.6,0,0.0,0,0.0,48,7.8,2499,7.8
"08089","1","491110","78","0","2000","A","","Otero County, Colorado","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,53,1835346,0,0,666,34629,"",2.32,1.08,1.47,0.00,0.00,1.37,1.37,"",0,0.0,-1,-1.9,113693,6.6,0,0.0,0,0.0,48,7.8,2499,7.8
"08089","1","52","74","0","2000","A","","Otero County, Colorado","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,223842,0,0,861,44768,"",13.25,5.99,7.09,0.00,0.00,1.19,1.18,"",0,0.0,0,0.0,11354,5.3,0,0.0,0,0.0,44,5.4,2270,5.3
"08089","1","522","75","0","2000","A","","Otero County, Colorado","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,223842,0,0,861,44768,"",15.30,12.34,18.20,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,11354,5.3,0,0.0,0,0.0,44,5.4,2270,5.3
"08089","1","5222","76","0","2000","A","","Otero County, Colorado","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,223842,0,0,861,44768,"",15.33,12.67,18.81,0.00,0.00,1.49,1.48,"",0,0.0,0,0.0,11354,5.3,0,0.0,0,0.0,44,5.4,2270,5.3
"08089","1","52229","77","0","2000","A","","Otero County, Colorado","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,223842,0,0,861,44768,"",15.33,12.67,18.81,0.00,0.00,1.49,1.48,"",0,0.0,0,0.0,11354,5.3,0,0.0,0,0.0,44,5.4,2270,5.3
"08089","1","522292","78","0","2000","A","","Otero County, Colorado","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,223842,0,0,861,44768,"",30.27,20.46,32.16,0.00,0.00,1.57,1.57,"",0,0.0,0,0.0,11354,5.3,0,0.0,0,0.0,44,5.4,2270,5.3
"08089","1","71","74","0","2000","A","","Otero County, Colorado","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,21,569848,0,0,516,26816,"",18.20,9.57,14.83,0.00,0.00,1.53,1.53,"",0,0.0,-3,-12.5,-21896,-3.7,0,0.0,0,0.0,32,6.6,1635,6.5
"08089","1","712","75","0","2000","A","","Otero County, Colorado","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,21,569848,0,0,516,26816,"",30.94,16.06,19.40,0.00,0.00,1.19,1.19,"",0,0.0,-3,-12.5,-21896,-3.7,0,0.0,0,0.0,32,6.6,1635,6.5
