"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"12085","0","10","70","0","2000","A","","Martin County, Florida","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",4327,50920,1435481770,0,0,542,28191,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",104,2.5,2455,5.1,122863638,9.4,0,0.0,0,0.0,21,4.0,1107,4.1
"12085","1","10","71","0","2000","A","","Martin County, Florida","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,317,12634015,0,0,767,39897,"",0.33,0.28,0.30,0.00,0.00,1.08,1.08,"",0,0.0,26,8.9,782572,6.6,0,0.0,0,0.0,-17,-2.2,-888,-2.2
"12085","1","102","72","0","2000","A","","Martin County, Florida","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,317,12634015,0,0,767,39897,"",0.33,0.29,0.31,0.00,0.00,1.08,1.08,"",0,0.0,26,8.9,782572,6.6,0,0.0,0,0.0,-17,-2.2,-888,-2.2
"12085","1","1021","73","0","2000","A","","Martin County, Florida","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,269,11281396,0,0,806,41925,"",0.10,0.70,0.88,0.00,0.00,1.25,1.25,"",0,0.0,3,1.1,344261,3.1,0,0.0,0,0.0,16,2.0,834,2.0
"12085","1","1024","73","0","2000","A","","Martin County, Florida","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,8,312059,0,0,800,41608,"",1.14,0.36,0.34,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,-182,-0.1,0,0.0,0,0.0,72,9.9,3761,9.9
"12085","1","1028","73","0","2000","A","","Martin County, Florida","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,40,1040560,0,0,499,25960,"",0.48,0.07,0.05,0.00,0.00,0.66,0.66,"",0,0.0,24,150.0,438493,72.8,0,0.0,0,0.0,-217,-30.3,-11281,-30.3
"12085","1","48-49","74","0","2000","A","","Martin County, Florida","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,269,11281396,0,0,806,41925,"",0.10,0.76,0.92,0.00,0.00,1.22,1.22,"",0,0.0,3,1.1,344261,3.1,0,0.0,0,0.0,16,2.0,834,2.0
"12085","1","491","75","0","2000","A","","Martin County, Florida","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,269,11281396,0,0,806,41925,"",0.10,0.78,0.98,0.00,0.00,1.25,1.25,"",0,0.0,3,1.1,344261,3.1,0,0.0,0,0.0,16,2.0,834,2.0
"12085","1","4911","76","0","2000","A","","Martin County, Florida","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,269,11281396,0,0,806,41925,"",0.10,0.78,0.98,0.00,0.00,1.25,1.25,"",0,0.0,3,1.1,344261,3.1,0,0.0,0,0.0,16,2.0,834,2.0
"12085","1","49111","77","0","2000","A","","Martin County, Florida","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,269,11281396,0,0,806,41925,"",0.10,0.78,0.98,0.00,0.00,1.25,1.25,"",0,0.0,3,1.1,344261,3.1,0,0.0,0,0.0,16,2.0,834,2.0
