"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13099","0","10","70","0","2000","A","","Early County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",322,4473,133633087,0,0,575,29875,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-7,-2.1,-44,-1.0,7094451,5.6,0,0.0,0,0.0,36,6.7,1859,6.6
"13099","1","10","71","0","2000","A","","Early County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,58,1764517,0,0,585,30423,"",3.91,0.59,0.46,0.00,0.00,0.78,0.78,"",0,0.0,6,11.5,124765,7.6,0,0.0,0,0.0,-24,-3.9,-1263,-4.0
"13099","1","102","72","0","2000","A","","Early County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,58,1764517,0,0,585,30423,"",3.92,0.60,0.47,0.00,0.00,0.78,0.78,"",0,0.0,6,11.5,124765,7.6,0,0.0,0,0.0,-24,-3.9,-1263,-4.0
"13099","1","1021","73","0","2000","A","","Early County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,26,819386,0,0,610,31718,"",3.83,0.77,0.69,0.00,0.00,0.89,0.90,"",0,0.0,-2,-7.1,10490,1.3,0,0.0,0,0.0,44,7.8,2304,7.8
"13099","1","1024","73","0","2000","A","","Early County, Georgia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,254135,0,0,961,49994,"",15.27,2.53,2.97,0.00,0.00,1.15,1.16,"",0,0.0,0,0.0,8121,3.3,0,0.0,0,0.0,15,1.6,791,1.6
"13099","1","1028","73","0","2000","A","","Early County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,27,690996,0,0,491,25514,"",3.71,0.54,0.33,0.00,0.00,0.61,0.61,"",0,0.0,8,42.1,106154,18.2,0,0.0,0,0.0,-93,-15.9,-4867,-16.0
"13099","1","48-49","74","0","2000","A","","Early County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,26,819386,0,0,610,31718,"",3.96,0.83,0.72,0.00,0.00,0.87,0.87,"",0,0.0,-2,-7.1,10490,1.3,0,0.0,0,0.0,44,7.8,2304,7.8
"13099","1","491","75","0","2000","A","","Early County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,26,819386,0,0,610,31718,"",4.03,0.86,0.76,0.00,0.00,0.89,0.89,"",0,0.0,-2,-7.1,10490,1.3,0,0.0,0,0.0,44,7.8,2304,7.8
"13099","1","4911","76","0","2000","A","","Early County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,26,819386,0,0,610,31718,"",4.03,0.86,0.76,0.00,0.00,0.89,0.89,"",0,0.0,-2,-7.1,10490,1.3,0,0.0,0,0.0,44,7.8,2304,7.8
"13099","1","49111","77","0","2000","A","","Early County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,26,819386,0,0,610,31718,"",4.03,0.86,0.76,0.00,0.00,0.89,0.89,"",0,0.0,-2,-7.1,10490,1.3,0,0.0,0,0.0,44,7.8,2304,7.8
"13099","1","491110","78","0","2000","A","","Early County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,26,819386,0,0,610,31718,"",4.03,0.86,0.76,0.00,0.00,0.89,0.89,"",0,0.0,-2,-7.1,10490,1.3,0,0.0,0,0.0,44,7.8,2304,7.8
"13099","1","54","74","0","2000","A","","Early County, Georgia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,254135,0,0,961,49994,"",16.01,2.61,3.00,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,8121,3.3,0,0.0,0,0.0,15,1.6,791,1.6
