"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13177","0","10","70","0","2000","A","","Lee County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",291,3958,80992205,0,0,394,20463,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-10,-3.3,466,13.3,3036166,3.9,0,0.0,0,0.0,-35,-8.2,-1861,-8.3
"13177","1","10","71","0","2000","A","","Lee County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,43,1266557,0,0,569,29569,"",3.79,0.49,0.54,0.00,0.00,1.10,1.10,"",2,40.0,8,22.9,198978,18.6,0,0.0,0,0.0,-13,-2.2,-717,-2.4
"13177","1","102","72","0","2000","A","","Lee County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,43,1266557,0,0,569,29569,"",3.79,0.50,0.55,0.00,0.00,1.11,1.11,"",2,40.0,8,22.9,198978,18.6,0,0.0,0,0.0,-13,-2.2,-717,-2.4
"13177","1","1021","73","0","2000","A","","Lee County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,28,899533,0,0,612,31842,"",4.24,0.94,1.24,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,86846,10.7,0,0.0,0,0.0,47,8.3,2468,8.4
"13177","1","1028","73","0","2000","A","","Lee County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,15,367024,0,0,484,25167,"",4.11,0.34,0.29,0.00,0.00,0.88,0.88,"",2,100.0,7,87.5,112132,44.0,0,0.0,0,0.0,-162,-25.1,-8445,-25.1
"13177","1","48-49","74","0","2000","A","","Lee County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,28,899533,0,0,612,31842,"",4.38,1.01,1.30,0.00,0.00,1.27,1.28,"",0,0.0,0,0.0,86846,10.7,0,0.0,0,0.0,47,8.3,2468,8.4
"13177","1","491","75","0","2000","A","","Lee County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,28,899533,0,0,612,31842,"",4.46,1.04,1.38,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,86846,10.7,0,0.0,0,0.0,47,8.3,2468,8.4
"13177","1","4911","76","0","2000","A","","Lee County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,28,899533,0,0,612,31842,"",4.46,1.04,1.38,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,86846,10.7,0,0.0,0,0.0,47,8.3,2468,8.4
"13177","1","49111","77","0","2000","A","","Lee County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,28,899533,0,0,612,31842,"",4.46,1.04,1.38,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,86846,10.7,0,0.0,0,0.0,47,8.3,2468,8.4
"13177","1","491110","78","0","2000","A","","Lee County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,28,899533,0,0,612,31842,"",4.46,1.04,1.38,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,86846,10.7,0,0.0,0,0.0,47,8.3,2468,8.4
"13177","1","92","74","0","2000","A","","Lee County, Georgia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,15,367024,0,0,484,25167,"",4.11,0.34,0.29,0.00,0.00,0.88,0.88,"",2,100.0,7,87.5,112132,44.0,0,0.0,0,0.0,-162,-25.1,-8445,-25.1
"13177","1","924","75","0","2000","A","","Lee County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,250905,0,0,573,29810,"",9.03,2.35,2.74,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,-3987,-1.6,0,0.0,0,0.0,-73,-11.3,-3802,-11.3
"13177","1","9241","76","0","2000","A","","Lee County, Georgia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,250905,0,0,573,29810,"",9.03,2.35,2.74,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,-3987,-1.6,0,0.0,0,0.0,-73,-11.3,-3802,-11.3
"13177","1","92412","77","0","2000","A","","Lee County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,250905,0,0,573,29810,"",9.20,2.78,3.51,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,-3987,-1.6,0,0.0,0,0.0,-73,-11.3,-3802,-11.3
"13177","1","924120","78","0","2000","A","","Lee County, Georgia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,250905,0,0,573,29810,"",9.20,2.78,3.51,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,-3987,-1.6,0,0.0,0,0.0,-73,-11.3,-3802,-11.3
"13177","1","926","75","0","2000","A","","Lee County, Georgia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,110623,0,0,375,19522,"",2.56,0.70,0.53,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13177","1","9261","76","0","2000","A","","Lee County, Georgia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,110623,0,0,375,19522,"",2.56,0.70,0.53,0.00,0.00,0.80,0.80,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13177","1","92611","77","0","2000","A","","Lee County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,110623,0,0,375,19522,"",5.16,1.24,1.39,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13177","1","926110","78","0","2000","A","","Lee County, Georgia","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,110623,0,0,375,19522,"",5.16,1.24,1.39,0.00,0.00,1.18,1.19,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
