"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13205","0","10","70","0","2000","A","","Mitchell County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",496,8847,173373604,0,0,377,19596,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",17,3.5,275,3.2,9749497,6.0,0,0.0,0,0.0,10,2.7,507,2.7
"13205","1","10","71","0","2000","A","","Mitchell County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,88,3086487,0,0,675,35107,"",2.54,0.45,0.62,0.00,0.00,1.37,1.37,"",0,0.0,9,11.4,232189,8.1,0,0.0,0,0.0,-17,-2.5,-872,-2.4
"13205","1","102","72","0","2000","A","","Mitchell County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,88,3086487,0,0,675,35107,"",2.54,0.46,0.63,0.00,0.00,1.37,1.37,"",0,0.0,9,11.4,232189,8.1,0,0.0,0,0.0,-17,-2.5,-872,-2.4
"13205","1","1021","73","0","2000","A","","Mitchell County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,38,1279500,0,0,645,33524,"",2.49,0.57,0.83,0.00,0.00,1.44,1.44,"",0,0.0,-1,-2.6,57528,4.7,0,0.0,0,0.0,45,7.5,2325,7.5
"13205","1","1023","73","0","2000","A","","Mitchell County, Georgia","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,168469,0,0,748,38877,"",14.82,3.86,4.75,0.00,0.00,1.13,1.14,"",0,0.0,-1,-20.0,668,0.4,0,0.0,0,0.0,44,6.2,2266,6.2
"13205","1","1028","73","0","2000","A","","Mitchell County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,45,1638518,0,0,694,36077,"",2.41,0.45,0.61,0.00,0.00,1.32,1.32,"",0,0.0,9,25.0,173993,11.9,0,0.0,0,0.0,-97,-12.3,-5081,-12.3
"13205","1","48-49","74","0","2000","A","","Mitchell County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,38,1279500,0,0,645,33524,"",2.57,0.62,0.87,0.00,0.00,1.40,1.40,"",0,0.0,-1,-2.6,57528,4.7,0,0.0,0,0.0,45,7.5,2325,7.5
"13205","1","491","75","0","2000","A","","Mitchell County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,38,1279500,0,0,645,33524,"",2.62,0.63,0.92,0.00,0.00,1.44,1.44,"",0,0.0,-1,-2.6,57528,4.7,0,0.0,0,0.0,45,7.5,2325,7.5
"13205","1","4911","76","0","2000","A","","Mitchell County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,38,1279500,0,0,645,33524,"",2.62,0.63,0.92,0.00,0.00,1.44,1.44,"",0,0.0,-1,-2.6,57528,4.7,0,0.0,0,0.0,45,7.5,2325,7.5
"13205","1","49111","77","0","2000","A","","Mitchell County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,38,1279500,0,0,645,33524,"",2.62,0.63,0.92,0.00,0.00,1.44,1.44,"",0,0.0,-1,-2.6,57528,4.7,0,0.0,0,0.0,45,7.5,2325,7.5
