"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"13239","0","10","70","0","2000","A","","Quitman County, Georgia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",42,278,5698401,0,0,394,20492,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,7.7,10,3.7,199483,3.6,0,0.0,0,0.0,-1,-0.3,-33,-0.2
"13239","1","10","71","0","2000","A","","Quitman County, Georgia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,11,273757,0,0,497,25867,"",18.73,1.79,1.66,0.00,0.00,0.96,0.96,"",1,25.0,3,37.5,35960,15.1,0,0.0,0,0.0,-46,-8.5,-2386,-8.4
"13239","1","102","72","0","2000","A","","Quitman County, Georgia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,11,273757,0,0,497,25867,"",18.78,1.83,1.70,0.00,0.00,0.97,0.97,"",1,25.0,3,37.5,35960,15.1,0,0.0,0,0.0,-46,-8.5,-2386,-8.4
"13239","1","1021","73","0","2000","A","","Quitman County, Georgia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,9,250509,0,0,530,27579,"",39.17,4.30,4.92,0.00,0.00,1.13,1.13,"",1,33.3,1,12.5,13942,5.9,0,0.0,0,0.0,-21,-3.8,-1096,-3.8
"13239","1","1028","73","0","2000","A","","Quitman County, Georgia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",1,2,23248,0,0,298,15499,"",7.11,0.64,0.26,0.00,0.00,0.54,0.54,"",0,0.0,2,100.0,22018,1790.1,0,0.0,0,0.0,156,109.9,8119,110.0
"13239","1","48-49","74","0","2000","A","","Quitman County, Georgia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,9,250509,0,0,530,27579,"",40.45,4.64,5.16,0.00,0.00,1.10,1.10,"",1,33.3,1,12.5,13942,5.9,0,0.0,0,0.0,-21,-3.8,-1096,-3.8
"13239","1","491","75","0","2000","A","","Quitman County, Georgia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,9,250509,0,0,530,27579,"",41.20,4.78,5.46,0.00,0.00,1.13,1.13,"",1,33.3,1,12.5,13942,5.9,0,0.0,0,0.0,-21,-3.8,-1096,-3.8
"13239","1","4911","76","0","2000","A","","Quitman County, Georgia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,9,250509,0,0,530,27579,"",41.20,4.78,5.46,0.00,0.00,1.13,1.13,"",1,33.3,1,12.5,13942,5.9,0,0.0,0,0.0,-21,-3.8,-1096,-3.8
"13239","1","49111","77","0","2000","A","","Quitman County, Georgia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,9,250509,0,0,530,27579,"",41.20,4.78,5.46,0.00,0.00,1.13,1.13,"",1,33.3,1,12.5,13942,5.9,0,0.0,0,0.0,-21,-3.8,-1096,-3.8
"13239","1","491110","78","0","2000","A","","Quitman County, Georgia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,9,250509,0,0,530,27579,"",41.20,4.78,5.46,0.00,0.00,1.13,1.13,"",1,33.3,1,12.5,13942,5.9,0,0.0,0,0.0,-21,-3.8,-1096,-3.8
