"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"17173","0","10","70","0","2000","A","","Shelby County, Illinois","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",511,5751,128089714,0,0,428,22274,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,1.6,95,1.7,4707517,3.8,0,0.0,0,0.0,8,1.9,459,2.1
"17173","1","10","71","0","2000","A","","Shelby County, Illinois","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,132,3995877,0,0,584,30387,"",1.85,1.04,1.08,0.00,0.00,1.04,1.04,"",0,0.0,18,15.8,522896,15.1,0,0.0,0,0.0,0,0.0,11,0.0
"17173","1","102","72","0","2000","A","","Shelby County, Illinois","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,132,3995877,0,0,584,30387,"",1.85,1.06,1.10,0.00,0.00,1.04,1.04,"",0,0.0,18,15.8,522896,15.1,0,0.0,0,0.0,0,0.0,11,0.0
"17173","1","1021","73","0","2000","A","","Shelby County, Illinois","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,61,1860199,0,0,584,30371,"",0.80,1.41,1.63,0.00,0.00,1.15,1.15,"",0,0.0,-2,-3.2,-14923,-0.8,0,0.0,0,0.0,15,2.6,764,2.6
"17173","1","1024","73","0","2000","A","","Shelby County, Illinois","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,36,1160627,0,0,621,32314,"",9.62,14.15,14.14,0.00,0.00,1.00,1.00,"",0,0.0,3,9.1,185583,19.0,0,0.0,0,0.0,48,8.4,2542,8.5
"17173","1","1028","73","0","2000","A","","Shelby County, Illinois","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,34,975051,0,0,546,28400,"",2.34,0.53,0.49,0.00,0.00,0.91,0.91,"",0,0.0,16,88.9,352236,56.6,0,0.0,0,0.0,-110,-16.8,-5727,-16.8
"17173","1","48-49","74","0","2000","A","","Shelby County, Illinois","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,61,1860199,0,0,584,30371,"",0.83,1.52,1.71,0.00,0.00,1.12,1.12,"",0,0.0,-2,-3.2,-14923,-0.8,0,0.0,0,0.0,15,2.6,764,2.6
"17173","1","491","75","0","2000","A","","Shelby County, Illinois","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,61,1860199,0,0,584,30371,"",0.85,1.57,1.80,0.00,0.00,1.15,1.15,"",0,0.0,-2,-3.2,-14923,-0.8,0,0.0,0,0.0,15,2.6,764,2.6
"17173","1","4911","76","0","2000","A","","Shelby County, Illinois","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,61,1860199,0,0,584,30371,"",0.85,1.57,1.80,0.00,0.00,1.15,1.15,"",0,0.0,-2,-3.2,-14923,-0.8,0,0.0,0,0.0,15,2.6,764,2.6
"17173","1","49111","77","0","2000","A","","Shelby County, Illinois","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,61,1860199,0,0,584,30371,"",0.85,1.57,1.80,0.00,0.00,1.15,1.15,"",0,0.0,-2,-3.2,-14923,-0.8,0,0.0,0,0.0,15,2.6,764,2.6
"17173","1","491110","78","0","2000","A","","Shelby County, Illinois","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,61,1860199,0,0,584,30371,"",0.85,1.57,1.80,0.00,0.00,1.15,1.15,"",0,0.0,-2,-3.2,-14923,-0.8,0,0.0,0,0.0,15,2.6,764,2.6
"17173","1","54","74","0","2000","A","","Shelby County, Illinois","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,36,1160627,0,0,621,32314,"",10.09,14.60,14.29,0.00,0.00,0.98,0.98,"",0,0.0,3,9.1,185583,19.0,0,0.0,0,0.0,48,8.4,2542,8.5
"17173","1","541","75","0","2000","A","","Shelby County, Illinois","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,36,1160627,0,0,621,32314,"",10.09,14.60,14.29,0.00,0.00,0.98,0.98,"",0,0.0,3,9.1,185583,19.0,0,0.0,0,0.0,48,8.4,2542,8.5
"17173","1","5413","76","0","2000","A","","Shelby County, Illinois","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,36,1160627,0,0,621,32314,"",16.67,22.62,22.89,0.00,0.00,1.01,1.01,"",0,0.0,3,9.1,185583,19.0,0,0.0,0,0.0,48,8.4,2542,8.5
"17173","1","54133","77","0","2000","A","","Shelby County, Illinois","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,36,1160627,0,0,621,32314,"",16.90,24.04,24.20,0.00,0.00,1.01,1.01,"",0,0.0,3,9.1,185583,19.0,0,0.0,0,0.0,48,8.4,2542,8.5
"17173","1","541330","78","0","2000","A","","Shelby County, Illinois","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,36,1160627,0,0,621,32314,"",16.90,24.04,24.20,0.00,0.00,1.01,1.01,"",0,0.0,3,9.1,185583,19.0,0,0.0,0,0.0,48,8.4,2542,8.5
