"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18015","0","10","70","0","2000","A","","Carroll County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",438,5772,131826770,0,0,439,22838,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-1.8,-42,-0.7,3831891,3.0,0,0.0,0,0.0,16,3.8,822,3.7
"18015","1","10","71","0","2000","A","","Carroll County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,74,2385947,0,0,622,32352,"",3.23,0.58,0.63,0.00,0.00,1.08,1.08,"",0,0.0,5,7.2,214743,9.9,0,0.0,0,0.0,14,2.3,733,2.3
"18015","1","102","72","0","2000","A","","Carroll County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,74,2385947,0,0,622,32352,"",3.24,0.59,0.64,0.00,0.00,1.08,1.08,"",0,0.0,5,7.2,214743,9.9,0,0.0,0,0.0,14,2.3,733,2.3
"18015","1","1021","73","0","2000","A","","Carroll County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,45,1269305,0,0,546,28417,"",3.76,1.04,1.08,0.00,0.00,1.05,1.05,"",0,0.0,1,2.3,16965,1.4,0,0.0,0,0.0,4,0.7,222,0.8
"18015","1","1028","73","0","2000","A","","Carroll County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,29,1116642,0,0,738,38395,"",3.41,0.45,0.54,0.00,0.00,1.20,1.20,"",0,0.0,5,20.8,197778,21.5,0,0.0,0,0.0,9,1.2,504,1.3
"18015","1","48-49","74","0","2000","A","","Carroll County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,45,1269305,0,0,546,28417,"",3.88,1.12,1.13,0.00,0.00,1.02,1.02,"",0,0.0,1,2.3,16965,1.4,0,0.0,0,0.0,4,0.7,222,0.8
"18015","1","491","75","0","2000","A","","Carroll County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,45,1269305,0,0,546,28417,"",3.95,1.15,1.19,0.00,0.00,1.05,1.05,"",0,0.0,1,2.3,16965,1.4,0,0.0,0,0.0,4,0.7,222,0.8
"18015","1","4911","76","0","2000","A","","Carroll County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,45,1269305,0,0,546,28417,"",3.95,1.15,1.19,0.00,0.00,1.05,1.05,"",0,0.0,1,2.3,16965,1.4,0,0.0,0,0.0,4,0.7,222,0.8
"18015","1","49111","77","0","2000","A","","Carroll County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,45,1269305,0,0,546,28417,"",3.95,1.15,1.19,0.00,0.00,1.05,1.05,"",0,0.0,1,2.3,16965,1.4,0,0.0,0,0.0,4,0.7,222,0.8
"18015","1","491110","78","0","2000","A","","Carroll County, Indiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,45,1269305,0,0,546,28417,"",3.95,1.15,1.19,0.00,0.00,1.05,1.05,"",0,0.0,1,2.3,16965,1.4,0,0.0,0,0.0,4,0.7,222,0.8
"18015","1","92","74","0","2000","A","","Carroll County, Indiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,29,1116642,0,0,738,38395,"",3.41,0.45,0.54,0.00,0.00,1.20,1.20,"",0,0.0,5,20.8,197778,21.5,0,0.0,0,0.0,9,1.2,504,1.3
"18015","1","924","75","0","2000","A","","Carroll County, Indiana","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,74482,0,0,1074,55862,"",3.00,0.20,0.50,0.00,0.00,1.86,1.86,"",0,0.0,0,0.0,8092,12.2,0,0.0,0,0.0,116,12.1,6069,12.2
"18015","1","9241","76","0","2000","A","","Carroll County, Indiana","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,74482,0,0,1074,55862,"",3.00,0.20,0.50,0.00,0.00,1.86,1.86,"",0,0.0,0,0.0,8092,12.2,0,0.0,0,0.0,116,12.1,6069,12.2
"18015","1","92412","77","0","2000","A","","Carroll County, Indiana","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,74482,0,0,1074,55862,"",3.06,0.24,0.64,0.00,0.00,2.01,2.01,"",0,0.0,0,0.0,8092,12.2,0,0.0,0,0.0,116,12.1,6069,12.2
"18015","1","924120","78","0","2000","A","","Carroll County, Indiana","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,74482,0,0,1074,55862,"",3.06,0.24,0.64,0.00,0.00,2.01,2.01,"",0,0.0,0,0.0,8092,12.2,0,0.0,0,0.0,116,12.1,6069,12.2
"18015","1","926","75","0","2000","A","","Carroll County, Indiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,26,973368,0,0,711,36963,"",5.10,2.09,2.87,0.00,0.00,1.35,1.35,"",0,0.0,4,18.2,171030,21.3,0,0.0,0,0.0,7,1.0,354,1.0
"18015","1","9261","76","0","2000","A","","Carroll County, Indiana","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,26,973368,0,0,711,36963,"",5.10,2.09,2.87,0.00,0.00,1.35,1.35,"",0,0.0,4,18.2,171030,21.3,0,0.0,0,0.0,7,1.0,354,1.0
"18015","1","92614","77","0","2000","A","","Carroll County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,25,948370,0,0,720,37436,"",8.73,10.74,13.32,0.00,0.00,1.22,1.22,"",0,0.0,4,19.0,154291,19.4,0,0.0,0,0.0,4,0.6,214,0.6
"18015","1","926140","78","0","2000","A","","Carroll County, Indiana","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,25,948370,0,0,720,37436,"",8.73,10.74,13.32,0.00,0.00,1.22,1.22,"",0,0.0,4,19.0,154291,19.4,0,0.0,0,0.0,4,0.6,214,0.6
"18015","1","928","75","0","2000","A","","Carroll County, Indiana","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,68792,0,0,934,48559,"",7.33,0.04,0.09,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,18656,37.2,0,0.0,0,0.0,-30,-3.1,-1577,-3.1
"18015","1","9281","76","0","2000","A","","Carroll County, Indiana","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,68792,0,0,934,48559,"",7.33,0.04,0.09,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,18656,37.2,0,0.0,0,0.0,-30,-3.1,-1577,-3.1
"18015","1","92811","77","0","2000","A","","Carroll County, Indiana","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,68792,0,0,934,48559,"",8.66,0.04,0.09,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,18656,37.2,0,0.0,0,0.0,-30,-3.1,-1577,-3.1
"18015","1","928110","78","0","2000","A","","Carroll County, Indiana","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,68792,0,0,934,48559,"",8.66,0.04,0.09,0.00,0.00,1.50,1.50,"",0,0.0,0,0.0,18656,37.2,0,0.0,0,0.0,-30,-3.1,-1577,-3.1
"18015","2","10","71","0","2000","A","","Carroll County, Indiana","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,63,1692557,0,0,518,26937,"",2.49,0.32,0.37,0.00,0.00,1.15,1.15,"",-1,-10.0,-1,-1.6,105272,6.6,0,0.0,0,0.0,39,8.1,2006,8.0
"18015","2","102","72","0","2000","A","","Carroll County, Indiana","State Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,63,1692557,0,0,518,26937,"",2.57,0.33,0.38,0.00,0.00,1.15,1.15,"",-1,-10.0,-1,-1.6,105272,6.6,0,0.0,0,0.0,39,8.1,2006,8.0
"18015","2","1028","73","0","2000","A","","Carroll County, Indiana","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,63,1692557,0,0,518,26937,"",3.59,0.77,0.84,0.00,0.00,1.10,1.10,"",-1,-10.0,-1,-1.6,105272,6.6,0,0.0,0,0.0,39,8.1,2006,8.0
"18015","2","92","74","0","2000","A","","Carroll County, Indiana","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,63,1692557,0,0,518,26937,"",3.59,0.77,0.84,0.00,0.00,1.10,1.10,"",-1,-10.0,-1,-1.6,105272,6.6,0,0.0,0,0.0,39,8.1,2006,8.0
"18015","3","10","71","0","2000","A","","Carroll County, Indiana","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,722,16096097,0,0,429,22291,"",2.04,1.29,1.37,0.00,0.00,1.07,1.07,"",-3,-15.8,28,4.0,431878,2.8,0,0.0,0,0.0,-5,-1.2,-277,-1.2
"18015","3","102","72","0","2000","A","","Carroll County, Indiana","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,722,16096097,0,0,429,22291,"",2.11,1.30,1.38,0.00,0.00,1.07,1.07,"",-3,-15.8,28,4.0,431878,2.8,0,0.0,0,0.0,-5,-1.2,-277,-1.2
"18015","3","1028","73","0","2000","A","","Carroll County, Indiana","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,238,4403816,0,0,356,18510,"",2.55,1.46,1.22,0.00,0.00,0.83,0.83,"",0,0.0,7,3.0,94420,2.2,0,0.0,0,0.0,-3,-0.8,-152,-0.8
"18015","3","92","74","0","2000","A","","Carroll County, Indiana","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,238,4403816,0,0,356,18510,"",2.55,1.46,1.22,0.00,0.00,0.83,0.83,"",0,0.0,7,3.0,94420,2.2,0,0.0,0,0.0,-3,-0.8,-152,-0.8
"18015","3","921","75","0","2000","A","","Carroll County, Indiana","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,238,4403816,0,0,356,18510,"",4.12,2.15,1.94,0.00,0.00,0.90,0.90,"",0,0.0,7,3.0,94420,2.2,0,0.0,0,0.0,-3,-0.8,-152,-0.8
"18015","3","9211","76","0","2000","A","","Carroll County, Indiana","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,238,4403816,0,0,356,18510,"",4.12,2.15,1.94,0.00,0.00,0.90,0.90,"",0,0.0,7,3.0,94420,2.2,0,0.0,0,0.0,-3,-0.8,-152,-0.8
"18015","3","92119","77","0","2000","A","","Carroll County, Indiana","Local Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,238,4403816,0,0,356,18510,"",39.34,23.19,22.39,0.00,0.00,0.97,0.97,"",0,0.0,7,3.0,94420,2.2,0,0.0,0,0.0,-3,-0.8,-152,-0.8
"18015","3","921190","78","0","2000","A","","Carroll County, Indiana","Local Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,238,4403816,0,0,356,18510,"",39.34,23.19,22.39,0.00,0.00,0.97,0.97,"",0,0.0,7,3.0,94420,2.2,0,0.0,0,0.0,-3,-0.8,-152,-0.8
"18015","5","10","71","0","2000","A","","Carroll County, Indiana","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",404,4914,111652169,0,0,437,22724,"",0.95,1.00,1.00,0.00,0.00,0.99,0.99,"",-5,-1.2,-73,-1.5,3079998,2.8,0,0.0,0,0.0,18,4.3,954,4.4
"18015","5","101","72","0","2000","A","","Carroll County, Indiana","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",127,2876,74074394,0,0,495,25760,"",1.75,2.52,2.47,0.00,0.00,0.98,0.98,"",-1,-0.8,6,0.2,2685804,3.8,0,0.0,0,0.0,17,3.6,883,3.5
"18015","5","1011","73","0","2000","A","","Carroll County, Indiana","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",27,247,5779493,0,0,450,23407,"",3.76,3.26,3.80,0.00,0.00,1.17,1.17,"",1,3.8,22,9.8,520125,9.9,0,0.0,0,0.0,0,0.0,23,0.1
"18015","5","1012","73","0","2000","A","","Carroll County, Indiana","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",66,256,5101003,0,0,383,19906,"",1.54,0.87,0.72,0.00,0.00,0.83,0.83,"",-2,-2.9,-4,-1.5,200103,4.1,0,0.0,0,0.0,20,5.5,1020,5.4
"18015","5","1013","73","0","2000","A","","Carroll County, Indiana","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",34,2372,63193898,0,0,512,26637,"",1.52,3.08,2.96,0.00,0.00,0.96,0.96,"",0,0.0,-13,-0.5,1965576,3.2,0,0.0,0,0.0,18,3.6,967,3.8
"18015","5","102","72","0","2000","A","","Carroll County, Indiana","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",278,2038,37577775,0,0,355,18439,"",0.79,0.54,0.46,0.00,0.00,0.85,0.85,"",-3,-1.1,-80,-3.8,394194,1.1,0,0.0,0,0.0,17,5.0,880,5.0
"18015","5","1021","73","0","2000","A","","Carroll County, Indiana","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",107,915,19378050,0,0,407,21182,"",1.04,0.80,0.85,0.00,0.00,1.06,1.06,"",1,0.9,-76,-7.7,-595226,-3.0,0,0.0,0,0.0,19,4.9,1027,5.1
"18015","5","1022","73","0","2000","A","","Carroll County, Indiana","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",7,30,985732,0,0,641,33321,"",0.86,0.19,0.16,0.00,0.00,0.88,0.88,"",0,0.0,2,7.1,58226,6.3,0,0.0,0,0.0,13,2.1,681,2.1
"18015","5","1023","73","0","2000","A","","Carroll County, Indiana","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",36,193,4383040,0,0,436,22671,"",0.91,0.57,0.38,0.00,0.00,0.67,0.67,"",0,0.0,-7,-3.5,-320597,-6.8,0,0.0,0,0.0,-17,-3.8,-867,-3.7
