"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"18121","0","10","70","0","2000","A","","Parke County, Indiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",317,3542,74031405,0,0,402,20899,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.3,-30,-0.8,3282181,4.6,0,0.0,0,0.0,21,5.5,1092,5.5
"18121","1","10","71","0","2000","A","","Parke County, Indiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,78,2243700,0,0,554,28796,"",4.47,1.00,1.05,0.00,0.00,1.05,1.05,"",0,0.0,19,32.2,419677,23.0,0,0.0,0,0.0,-38,-6.4,-1989,-6.5
"18121","1","102","72","0","2000","A","","Parke County, Indiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,78,2243700,0,0,554,28796,"",4.48,1.02,1.07,0.00,0.00,1.05,1.06,"",0,0.0,19,32.2,419677,23.0,0,0.0,0,0.0,-38,-6.4,-1989,-6.5
"18121","1","1021","73","0","2000","A","","Parke County, Indiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,44,1234516,0,0,545,28325,"",5.19,1.65,1.87,0.00,0.00,1.14,1.14,"",0,0.0,3,7.3,57769,4.9,0,0.0,0,0.0,-7,-1.3,-376,-1.3
"18121","1","1024","73","0","2000","A","","Parke County, Indiana","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,184266,0,0,773,40203,"",15.51,3.19,3.88,0.00,0.00,1.33,1.33,"",0,0.0,-1,-16.7,-6604,-3.5,0,0.0,0,0.0,106,15.9,5499,15.8
"18121","1","1028","73","0","2000","A","","Parke County, Indiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,30,824918,0,0,533,27728,"",3.77,0.76,0.71,0.00,0.00,0.95,0.95,"",0,0.0,17,130.8,368512,80.7,0,0.0,0,0.0,-155,-22.5,-8069,-22.5
"18121","1","48-49","74","0","2000","A","","Parke County, Indiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,44,1234516,0,0,545,28325,"",5.36,1.78,1.96,0.00,0.00,1.11,1.11,"",0,0.0,3,7.3,57769,4.9,0,0.0,0,0.0,-7,-1.3,-376,-1.3
"18121","1","491","75","0","2000","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,44,1234516,0,0,545,28325,"",5.46,1.83,2.07,0.00,0.00,1.14,1.14,"",0,0.0,3,7.3,57769,4.9,0,0.0,0,0.0,-7,-1.3,-376,-1.3
"18121","1","4911","76","0","2000","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,44,1234516,0,0,545,28325,"",5.46,1.83,2.07,0.00,0.00,1.14,1.14,"",0,0.0,3,7.3,57769,4.9,0,0.0,0,0.0,-7,-1.3,-376,-1.3
"18121","1","49111","77","0","2000","A","","Parke County, Indiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,44,1234516,0,0,545,28325,"",5.46,1.83,2.07,0.00,0.00,1.14,1.14,"",0,0.0,3,7.3,57769,4.9,0,0.0,0,0.0,-7,-1.3,-376,-1.3
