"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19061","0","10","70","0","2000","A","","Dubuque County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2894,50510,1386467968,0,0,528,27450,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",73,2.6,-17,0.0,38554053,2.9,0,0.0,0,0.0,15,2.9,773,2.9
"19061","1","10","71","0","2000","A","","Dubuque County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",15,321,12517655,0,0,749,38965,"",0.82,0.29,0.31,0.00,0.00,1.08,1.08,"",0,0.0,19,6.3,859400,7.4,0,0.0,0,0.0,6,0.8,340,0.9
"19061","1","102","72","0","2000","A","","Dubuque County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",15,321,12517655,0,0,749,38965,"",0.82,0.29,0.32,0.00,0.00,1.09,1.09,"",0,0.0,19,6.3,859400,7.4,0,0.0,0,0.0,6,0.8,340,0.9
"19061","1","1021","73","0","2000","A","","Dubuque County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,233,9178672,0,0,759,39464,"",0.43,0.61,0.74,0.00,0.00,1.21,1.21,"",0,0.0,3,1.3,367443,4.2,0,0.0,0,0.0,21,2.8,1113,2.9
"19061","1","1024","73","0","2000","A","","Dubuque County, Iowa","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,20,837338,0,0,809,42042,"",3.40,0.90,0.94,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,70617,9.2,0,0.0,0,0.0,72,9.8,3706,9.7
"19061","1","1028","73","0","2000","A","","Dubuque County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,69,2501645,0,0,700,36388,"",1.03,0.12,0.12,0.00,0.00,0.95,0.95,"",0,0.0,17,32.7,421340,20.3,0,0.0,0,0.0,-68,-8.9,-3554,-8.9
"19061","1","48-49","74","0","2000","A","","Dubuque County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,233,9178672,0,0,759,39464,"",0.44,0.66,0.78,0.00,0.00,1.18,1.18,"",0,0.0,3,1.3,367443,4.2,0,0.0,0,0.0,21,2.8,1113,2.9
"19061","1","491","75","0","2000","A","","Dubuque County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,233,9178672,0,0,759,39464,"",0.45,0.68,0.82,0.00,0.00,1.21,1.21,"",0,0.0,3,1.3,367443,4.2,0,0.0,0,0.0,21,2.8,1113,2.9
"19061","1","4911","76","0","2000","A","","Dubuque County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,233,9178672,0,0,759,39464,"",0.45,0.68,0.82,0.00,0.00,1.21,1.21,"",0,0.0,3,1.3,367443,4.2,0,0.0,0,0.0,21,2.8,1113,2.9
"19061","1","49111","77","0","2000","A","","Dubuque County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,233,9178672,0,0,759,39464,"",0.45,0.68,0.82,0.00,0.00,1.21,1.21,"",0,0.0,3,1.3,367443,4.2,0,0.0,0,0.0,21,2.8,1113,2.9
"19061","1","491110","78","0","2000","A","","Dubuque County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,233,9178672,0,0,759,39464,"",0.45,0.68,0.82,0.00,0.00,1.21,1.21,"",0,0.0,3,1.3,367443,4.2,0,0.0,0,0.0,21,2.8,1113,2.9
"19061","1","54","74","0","2000","A","","Dubuque County, Iowa","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,20,837338,0,0,809,42042,"",3.56,0.92,0.95,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,70617,9.2,0,0.0,0,0.0,72,9.8,3706,9.7
"19061","1","541","75","0","2000","A","","Dubuque County, Iowa","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,20,837338,0,0,809,42042,"",3.56,0.92,0.95,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,70617,9.2,0,0.0,0,0.0,72,9.8,3706,9.7
"19061","1","5413","76","0","2000","A","","Dubuque County, Iowa","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,20,837338,0,0,809,42042,"",5.89,1.43,1.53,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,70617,9.2,0,0.0,0,0.0,72,9.8,3706,9.7
"19061","1","54133","77","0","2000","A","","Dubuque County, Iowa","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,20,837338,0,0,809,42042,"",5.97,1.52,1.61,0.00,0.00,1.06,1.07,"",0,0.0,0,0.0,70617,9.2,0,0.0,0,0.0,72,9.8,3706,9.7
"19061","1","541330","78","0","2000","A","","Dubuque County, Iowa","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,20,837338,0,0,809,42042,"",5.97,1.52,1.61,0.00,0.00,1.06,1.07,"",0,0.0,0,0.0,70617,9.2,0,0.0,0,0.0,72,9.8,3706,9.7
"19061","1","92","74","0","2000","A","","Dubuque County, Iowa","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,69,2501645,0,0,700,36388,"",1.03,0.12,0.12,0.00,0.00,0.95,0.95,"",0,0.0,17,32.7,421340,20.3,0,0.0,0,0.0,-68,-8.9,-3554,-8.9
"19061","1","921","75","0","2000","A","","Dubuque County, Iowa","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,106903,0,0,1028,53452,"",1.31,0.03,0.04,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,7748,7.8,0,0.0,0,0.0,75,7.9,3874,7.8
"19061","1","9211","76","0","2000","A","","Dubuque County, Iowa","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,106903,0,0,1028,53452,"",1.31,0.03,0.04,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,7748,7.8,0,0.0,0,0.0,75,7.9,3874,7.8
"19061","1","92113","77","0","2000","A","","Dubuque County, Iowa","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,106903,0,0,1028,53452,"",3.05,0.04,0.05,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,7748,7.8,0,0.0,0,0.0,75,7.9,3874,7.8
"19061","1","921130","78","0","2000","A","","Dubuque County, Iowa","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,106903,0,0,1028,53452,"",3.05,0.04,0.05,0.00,0.00,1.39,1.39,"",0,0.0,0,0.0,7748,7.8,0,0.0,0,0.0,75,7.9,3874,7.8
"19061","1","922","75","0","2000","A","","Dubuque County, Iowa","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"",1.83,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"19061","1","9221","76","0","2000","A","","Dubuque County, Iowa","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,"",1.83,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
