"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19111","0","10","70","0","2000","A","","Lee County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1224,18333,479432718,0,0,503,26151,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,0.7,-607,-3.2,-21289,0.0,0,0.0,0,0.0,16,3.3,837,3.3
"19111","1","10","71","0","2000","A","","Lee County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,128,4396852,0,0,661,34350,"",1.41,0.32,0.32,0.00,0.00,1.00,1.00,"",1,10.0,14,12.3,330187,8.1,0,0.0,0,0.0,-23,-3.4,-1193,-3.4
"19111","1","102","72","0","2000","A","","Lee County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,128,4396852,0,0,661,34350,"",1.42,0.32,0.32,0.00,0.00,1.01,1.01,"",1,10.0,14,12.3,330187,8.1,0,0.0,0,0.0,-23,-3.4,-1193,-3.4
"19111","1","1021","73","0","2000","A","","Lee County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,88,3037088,0,0,663,34480,"",1.01,0.64,0.71,0.00,0.00,1.11,1.11,"",0,0.0,-1,-1.1,-29874,-1.0,0,0.0,0,0.0,-3,-0.5,-142,-0.4
"19111","1","1023","73","0","2000","A","","Lee County, Iowa","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,3,134090,0,0,860,44697,"",6.01,1.40,1.37,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,-305,-0.2,0,0.0,0,0.0,22,2.6,1109,2.5
"19111","1","1024","73","0","2000","A","","Lee County, Iowa","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,14,612750,0,0,873,45389,"",4.02,1.73,1.99,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,19983,3.4,0,0.0,0,0.0,49,5.9,2538,5.9
"19111","1","1028","73","0","2000","A","","Lee County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,23,612924,0,0,503,26175,"",1.46,0.11,0.08,0.00,0.00,0.72,0.72,"",1,20.0,14,155.6,340383,124.9,0,0.0,0,0.0,-85,-14.5,-4390,-14.4
"19111","1","48-49","74","0","2000","A","","Lee County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,88,3037088,0,0,663,34480,"",1.04,0.69,0.74,0.00,0.00,1.08,1.08,"",0,0.0,-1,-1.1,-29874,-1.0,0,0.0,0,0.0,-3,-0.5,-142,-0.4
"19111","1","491","75","0","2000","A","","Lee County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,88,3037088,0,0,663,34480,"",1.06,0.71,0.79,0.00,0.00,1.11,1.11,"",0,0.0,-1,-1.1,-29874,-1.0,0,0.0,0,0.0,-3,-0.5,-142,-0.4
"19111","1","4911","76","0","2000","A","","Lee County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,88,3037088,0,0,663,34480,"",1.06,0.71,0.79,0.00,0.00,1.11,1.11,"",0,0.0,-1,-1.1,-29874,-1.0,0,0.0,0,0.0,-3,-0.5,-142,-0.4
