"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"19147","0","10","70","0","2000","A","","Palo Alto County, Iowa","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",406,3808,79046508,0,0,399,20758,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",6,1.5,-58,-1.5,2526106,3.3,0,0.0,0,0.0,18,4.7,964,4.9
"19147","1","10","71","0","2000","A","","Palo Alto County, Iowa","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,59,1733459,0,0,570,29632,"",3.49,0.70,0.76,0.00,0.00,1.09,1.09,"",1,12.5,4,7.3,107993,6.6,0,0.0,0,0.0,2,0.4,78,0.3
"19147","1","102","72","0","2000","A","","Palo Alto County, Iowa","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,59,1733459,0,0,570,29632,"",3.50,0.71,0.77,0.00,0.00,1.09,1.09,"",1,12.5,4,7.3,107993,6.6,0,0.0,0,0.0,2,0.4,78,0.3
"19147","1","1021","73","0","2000","A","","Palo Alto County, Iowa","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,36,1111963,0,0,590,30675,"",3.04,1.26,1.58,0.00,0.00,1.25,1.25,"",0,0.0,-1,-2.7,46636,4.4,0,0.0,0,0.0,40,7.3,2076,7.3
"19147","1","1028","73","0","2000","A","","Palo Alto County, Iowa","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,22,621496,0,0,537,27932,"",4.42,0.52,0.50,0.00,0.00,0.96,0.96,"",1,20.0,4,22.2,61357,11.0,0,0.0,0,0.0,-70,-11.5,-3625,-11.5
"19147","1","48-49","74","0","2000","A","","Palo Alto County, Iowa","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,36,1111963,0,0,590,30675,"",3.14,1.35,1.65,0.00,0.00,1.21,1.21,"",0,0.0,-1,-2.7,46636,4.4,0,0.0,0,0.0,40,7.3,2076,7.3
"19147","1","491","75","0","2000","A","","Palo Alto County, Iowa","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,36,1111963,0,0,590,30675,"",3.20,1.40,1.75,0.00,0.00,1.24,1.24,"",0,0.0,-1,-2.7,46636,4.4,0,0.0,0,0.0,40,7.3,2076,7.3
"19147","1","4911","76","0","2000","A","","Palo Alto County, Iowa","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,36,1111963,0,0,590,30675,"",3.20,1.40,1.75,0.00,0.00,1.24,1.24,"",0,0.0,-1,-2.7,46636,4.4,0,0.0,0,0.0,40,7.3,2076,7.3
"19147","1","49111","77","0","2000","A","","Palo Alto County, Iowa","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,36,1111963,0,0,590,30675,"",3.20,1.40,1.75,0.00,0.00,1.24,1.24,"",0,0.0,-1,-2.7,46636,4.4,0,0.0,0,0.0,40,7.3,2076,7.3
"19147","1","491110","78","0","2000","A","","Palo Alto County, Iowa","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,36,1111963,0,0,590,30675,"",3.20,1.40,1.75,0.00,0.00,1.24,1.24,"",0,0.0,-1,-2.7,46636,4.4,0,0.0,0,0.0,40,7.3,2076,7.3
