"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20063","0","10","70","0","2000","A","","Gove County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",139,1171,21960061,0,0,361,18751,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",7,5.3,47,4.2,2185967,11.1,0,0.0,0,0.0,23,6.8,1165,6.6
"20063","1","10","71","0","2000","A","","Gove County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,23,673776,0,0,567,29508,"",5.66,0.89,1.06,0.00,0.00,1.20,1.20,"",1,25.0,0,0.0,75939,12.7,0,0.0,0,0.0,58,11.4,3036,11.5
"20063","1","102","72","0","2000","A","","Gove County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,23,673776,0,0,567,29508,"",5.67,0.91,1.08,0.00,0.00,1.20,1.21,"",1,25.0,0,0.0,75939,12.7,0,0.0,0,0.0,58,11.4,3036,11.5
"20063","1","1021","73","0","2000","A","","Gove County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,15,396580,0,0,511,26586,"",2.96,1.70,2.02,0.00,0.00,1.19,1.20,"",0,0.0,0,0.0,5208,1.3,0,0.0,0,0.0,20,4.1,1062,4.2
"20063","1","1028","73","0","2000","A","","Gove County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,8,277196,0,0,673,35014,"",8.60,0.61,0.81,0.00,0.00,1.33,1.34,"",1,33.3,1,14.3,70731,34.3,0,0.0,0,0.0,125,22.8,6536,23.0
"20063","1","48-49","74","0","2000","A","","Gove County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,396580,0,0,511,26586,"",3.06,1.83,2.12,0.00,0.00,1.16,1.16,"",0,0.0,0,0.0,5208,1.3,0,0.0,0,0.0,20,4.1,1062,4.2
"20063","1","491","75","0","2000","A","","Gove County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,396580,0,0,511,26586,"",3.11,1.89,2.24,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,5208,1.3,0,0.0,0,0.0,20,4.1,1062,4.2
"20063","1","4911","76","0","2000","A","","Gove County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,396580,0,0,511,26586,"",3.11,1.89,2.24,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,5208,1.3,0,0.0,0,0.0,20,4.1,1062,4.2
"20063","1","49111","77","0","2000","A","","Gove County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,396580,0,0,511,26586,"",3.11,1.89,2.24,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,5208,1.3,0,0.0,0,0.0,20,4.1,1062,4.2
"20063","1","491110","78","0","2000","A","","Gove County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,396580,0,0,511,26586,"",3.11,1.89,2.24,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,5208,1.3,0,0.0,0,0.0,20,4.1,1062,4.2
