"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"20101","0","10","70","0","2000","A","","Lane County, Kansas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",100,777,16131240,0,0,399,20768,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-3.8,-35,-4.3,354814,2.2,0,0.0,0,0.0,25,6.7,1327,6.8
"20101","1","10","71","0","2000","A","","Lane County, Kansas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,15,472572,0,0,599,31159,"",6.29,0.87,1.01,0.00,0.00,1.15,1.15,"",1,33.3,1,7.1,91998,24.2,0,0.0,0,0.0,67,12.6,3481,12.6
"20101","1","102","72","0","2000","A","","Lane County, Kansas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,15,472572,0,0,599,31159,"",6.31,0.89,1.04,0.00,0.00,1.15,1.15,"",1,33.3,1,7.1,91998,24.2,0,0.0,0,0.0,67,12.6,3481,12.6
"20101","1","1021","73","0","2000","A","","Lane County, Kansas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,172736,0,0,486,25278,"",4.11,1.20,1.20,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,3106,1.8,0,0.0,0,0.0,-16,-3.2,-819,-3.1
"20101","1","1028","73","0","2000","A","","Lane County, Kansas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,299836,0,0,692,35980,"",8.96,0.92,1.19,0.00,0.00,1.24,1.24,"",1,50.0,1,14.3,88892,42.1,0,0.0,0,0.0,132,23.6,6884,23.7
"20101","1","48-49","74","0","2000","A","","Lane County, Kansas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,7,172736,0,0,486,25278,"",4.25,1.29,1.26,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,3106,1.8,0,0.0,0,0.0,-16,-3.2,-819,-3.1
"20101","1","491","75","0","2000","A","","Lane County, Kansas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,7,172736,0,0,486,25278,"",4.33,1.33,1.33,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,3106,1.8,0,0.0,0,0.0,-16,-3.2,-819,-3.1
"20101","1","4911","76","0","2000","A","","Lane County, Kansas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,7,172736,0,0,486,25278,"",4.33,1.33,1.33,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,3106,1.8,0,0.0,0,0.0,-16,-3.2,-819,-3.1
"20101","1","49111","77","0","2000","A","","Lane County, Kansas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,172736,0,0,486,25278,"",4.33,1.33,1.33,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,3106,1.8,0,0.0,0,0.0,-16,-3.2,-819,-3.1
"20101","1","491110","78","0","2000","A","","Lane County, Kansas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,172736,0,0,486,25278,"",4.33,1.33,1.33,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,3106,1.8,0,0.0,0,0.0,-16,-3.2,-819,-3.1
