"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21073","0","10","70","0","2000","A","","Franklin County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1435,32727,1017816098,0,0,598,31100,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",56,4.1,250,0.8,47752788,4.9,0,0.0,0,0.0,24,4.2,1231,4.1
"21073","1","10","71","0","2000","A","","Franklin County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",22,504,20766841,0,0,793,41224,"",2.41,0.70,0.71,0.00,0.00,1.01,1.01,"",0,0.0,34,7.2,2153783,11.6,0,0.0,0,0.0,31,4.1,1601,4.0
"21073","1","102","72","0","2000","A","","Franklin County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",22,504,20766841,0,0,793,41224,"",2.42,0.71,0.72,0.00,0.00,1.02,1.02,"",0,0.0,34,7.2,2153783,11.6,0,0.0,0,0.0,31,4.1,1601,4.0
"21073","1","1021","73","0","2000","A","","Franklin County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,141,6405073,0,0,873,45372,"",0.86,0.57,0.70,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,251805,4.1,0,0.0,0,0.0,36,4.3,1860,4.3
"21073","1","1024","73","0","2000","A","","Franklin County, Kentucky","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,6,265946,0,0,877,45591,"",6.85,0.41,0.41,0.00,0.00,1.01,1.01,"",1,100.0,0,0.0,51402,24.0,0,0.0,0,0.0,127,16.9,6583,16.9
"21073","1","1028","73","0","2000","A","","Franklin County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",17,357,14095822,0,0,760,39512,"",3.54,0.98,0.89,0.00,0.00,0.91,0.91,"",0,0.0,34,10.5,1850576,15.1,0,0.0,0,0.0,31,4.3,1581,4.2
"21073","1","48-49","74","0","2000","A","","Franklin County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,141,6405073,0,0,873,45372,"",0.89,0.62,0.74,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,251805,4.1,0,0.0,0,0.0,36,4.3,1860,4.3
"21073","1","488","75","0","2000","A","","Franklin County, Kentucky","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,29,1821202,0,0,1229,63902,"",17.65,4.61,4.02,0.00,0.00,0.89,0.89,"",0,0.0,-2,-6.5,30539,1.7,0,0.0,0,0.0,133,12.1,6905,12.1
"21073","1","4881","76","0","2000","A","","Franklin County, Kentucky","Federal Government","Support activities for air transportation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,29,1821202,0,0,1229,63902,"",17.65,4.61,4.02,0.00,0.00,0.89,0.89,"",0,0.0,-2,-6.5,30539,1.7,0,0.0,0,0.0,133,12.1,6905,12.1
"21073","1","48811","77","0","2000","A","","Franklin County, Kentucky","Federal Government","Airport operations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,29,1821202,0,0,1229,63902,"",17.65,4.61,4.02,0.00,0.00,0.89,0.89,"",0,0.0,-2,-6.5,30539,1.7,0,0.0,0,0.0,133,12.1,6905,12.1
