"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21089","0","10","70","0","2000","A","","Greenup County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",592,8097,218313337,0,0,519,26963,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",19,3.3,1235,18.0,45723676,26.5,0,0.0,0,0.0,35,7.2,1810,7.2
"21089","1","10","71","0","2000","A","","Greenup County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,91,3022372,0,0,637,33122,"",1.86,0.51,0.48,0.00,0.00,0.94,0.94,"",1,16.7,17,23.0,487838,19.2,0,0.0,0,0.0,-23,-3.5,-1206,-3.5
"21089","1","102","72","0","2000","A","","Greenup County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,91,3022372,0,0,637,33122,"",1.87,0.52,0.49,0.00,0.00,0.94,0.94,"",1,16.7,17,23.0,487838,19.2,0,0.0,0,0.0,-23,-3.5,-1206,-3.5
"21089","1","1021","73","0","2000","A","","Greenup County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,51,1798363,0,0,676,35147,"",2.08,0.84,0.92,0.00,0.00,1.10,1.10,"",0,0.0,-2,-3.8,49506,2.8,0,0.0,0,0.0,36,5.6,1888,5.7
"21089","1","1024","73","0","2000","A","","Greenup County, Kentucky","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,19,819183,0,0,811,42190,"",8.31,5.30,5.86,0.00,0.00,1.08,1.08,"",0,0.0,1,5.6,131378,19.1,0,0.0,0,0.0,59,7.8,3073,7.9
"21089","1","1028","73","0","2000","A","","Greenup County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,21,404826,0,0,377,19588,"",1.51,0.23,0.12,0.00,0.00,0.52,0.52,"",1,50.0,17,425.0,306954,313.6,0,0.0,0,0.0,-136,-26.5,-7104,-26.6
"21089","1","48-49","74","0","2000","A","","Greenup County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,51,1798363,0,0,676,35147,"",2.15,0.90,0.97,0.00,0.00,1.07,1.07,"",0,0.0,-2,-3.8,49506,2.8,0,0.0,0,0.0,36,5.6,1888,5.7
"21089","1","491","75","0","2000","A","","Greenup County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,51,1798363,0,0,676,35147,"",2.19,0.93,1.02,0.00,0.00,1.09,1.10,"",0,0.0,-2,-3.8,49506,2.8,0,0.0,0,0.0,36,5.6,1888,5.7
"21089","1","4911","76","0","2000","A","","Greenup County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,51,1798363,0,0,676,35147,"",2.19,0.93,1.02,0.00,0.00,1.09,1.10,"",0,0.0,-2,-3.8,49506,2.8,0,0.0,0,0.0,36,5.6,1888,5.7
"21089","1","49111","77","0","2000","A","","Greenup County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,51,1798363,0,0,676,35147,"",2.19,0.93,1.02,0.00,0.00,1.09,1.10,"",0,0.0,-2,-3.8,49506,2.8,0,0.0,0,0.0,36,5.6,1888,5.7
