"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21155","0","10","70","0","2000","A","","Marion County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",414,6026,133808176,0,0,427,22206,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,0.7,116,2.0,8912312,7.1,0,0.0,0,0.0,21,5.2,1072,5.1
"21155","1","10","71","0","2000","A","","Marion County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,69,1909099,0,0,536,27870,"",3.04,0.52,0.49,0.00,0.00,0.96,0.96,"",0,0.0,15,27.8,233447,13.9,0,0.0,0,0.0,-60,-10.1,-3113,-10.0
"21155","1","102","72","0","2000","A","","Marion County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,69,1909099,0,0,536,27870,"",3.05,0.53,0.50,0.00,0.00,0.96,0.96,"",0,0.0,15,27.8,233447,13.9,0,0.0,0,0.0,-60,-10.1,-3113,-10.0
"21155","1","1021","73","0","2000","A","","Marion County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,44,1344099,0,0,587,30548,"",2.98,0.97,1.13,0.00,0.00,1.16,1.16,"",0,0.0,2,4.8,47867,3.7,0,0.0,0,0.0,-9,-1.5,-438,-1.4
"21155","1","1027","73","0","2000","A","","Marion County, Kentucky","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,3,105514,0,0,676,35171,"",196.80,8.58,15.67,0.00,0.00,1.83,1.83,"",0,0.0,0,0.0,994,1.0,0,0.0,0,0.0,6,0.9,331,1.0
"21155","1","1028","73","0","2000","A","","Marion County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,22,459486,0,0,411,21371,"",2.89,0.33,0.22,0.00,0.00,0.69,0.69,"",0,0.0,13,144.4,184586,67.1,0,0.0,0,0.0,-161,-28.1,-8348,-28.1
"21155","1","48-49","74","0","2000","A","","Marion County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,44,1344099,0,0,587,30548,"",3.08,1.05,1.18,0.00,0.00,1.13,1.13,"",0,0.0,2,4.8,47867,3.7,0,0.0,0,0.0,-9,-1.5,-438,-1.4
"21155","1","491","75","0","2000","A","","Marion County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,44,1344099,0,0,587,30548,"",3.13,1.08,1.25,0.00,0.00,1.16,1.16,"",0,0.0,2,4.8,47867,3.7,0,0.0,0,0.0,-9,-1.5,-438,-1.4
"21155","1","4911","76","0","2000","A","","Marion County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,44,1344099,0,0,587,30548,"",3.13,1.08,1.25,0.00,0.00,1.16,1.16,"",0,0.0,2,4.8,47867,3.7,0,0.0,0,0.0,-9,-1.5,-438,-1.4
"21155","1","49111","77","0","2000","A","","Marion County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,44,1344099,0,0,587,30548,"",3.13,1.08,1.25,0.00,0.00,1.16,1.16,"",0,0.0,2,4.8,47867,3.7,0,0.0,0,0.0,-9,-1.5,-438,-1.4
