"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"21235","0","10","70","0","2000","A","","Whitley County, Kentucky","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",759,11810,260893805,0,0,425,22090,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",24,3.3,37,0.3,8443866,3.3,0,0.0,0,0.0,13,3.2,647,3.0
"21235","1","10","71","0","2000","A","","Whitley County, Kentucky","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,187,4953751,0,0,510,26526,"",1.87,0.72,0.66,0.00,0.00,0.92,0.92,"",0,0.0,79,73.1,1500621,43.5,0,0.0,0,0.0,-105,-17.1,-5472,-17.1
"21235","1","102","72","0","2000","A","","Whitley County, Kentucky","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,187,4953751,0,0,510,26526,"",1.87,0.73,0.67,0.00,0.00,0.92,0.92,"",0,0.0,79,73.1,1500621,43.5,0,0.0,0,0.0,-105,-17.1,-5472,-17.1
"21235","1","1021","73","0","2000","A","","Whitley County, Kentucky","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,94,3094622,0,0,636,33068,"",1.63,1.06,1.33,0.00,0.00,1.26,1.26,"",0,0.0,4,4.4,189658,6.5,0,0.0,0,0.0,18,2.9,910,2.8
"21235","1","1024","73","0","2000","A","","Whitley County, Kentucky","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,4,168229,0,0,809,42057,"",12.96,0.77,1.01,0.00,0.00,1.31,1.31,"",0,0.0,-3,-42.9,-107158,-38.9,0,0.0,0,0.0,15,1.9,749,1.8
"21235","1","1028","73","0","2000","A","","Whitley County, Kentucky","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,89,1690900,0,0,365,18963,"",1.57,0.67,0.41,0.00,0.00,0.61,0.61,"",0,0.0,78,709.1,1418121,519.9,0,0.0,0,0.0,-116,-24.1,-6024,-24.1
"21235","1","48-49","74","0","2000","A","","Whitley County, Kentucky","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,94,3094622,0,0,636,33068,"",1.68,1.14,1.39,0.00,0.00,1.23,1.23,"",0,0.0,4,4.4,189658,6.5,0,0.0,0,0.0,18,2.9,910,2.8
"21235","1","491","75","0","2000","A","","Whitley County, Kentucky","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,94,3094622,0,0,636,33068,"",1.71,1.18,1.47,0.00,0.00,1.26,1.26,"",0,0.0,4,4.4,189658,6.5,0,0.0,0,0.0,18,2.9,910,2.8
"21235","1","4911","76","0","2000","A","","Whitley County, Kentucky","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,94,3094622,0,0,636,33068,"",1.71,1.18,1.47,0.00,0.00,1.26,1.26,"",0,0.0,4,4.4,189658,6.5,0,0.0,0,0.0,18,2.9,910,2.8
"21235","1","49111","77","0","2000","A","","Whitley County, Kentucky","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,94,3094622,0,0,636,33068,"",1.71,1.18,1.47,0.00,0.00,1.26,1.26,"",0,0.0,4,4.4,189658,6.5,0,0.0,0,0.0,18,2.9,910,2.8
