"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"22107","0","10","70","0","2000","A","","Tensas Parish, Louisiana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",166,1853,39868143,0,0,414,21514,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.2,61,3.4,4793469,13.7,0,0.0,0,0.0,38,10.1,1942,9.9
"22107","1","10","71","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,25,785293,0,0,610,31729,"",7.58,0.61,0.68,0.00,0.00,1.13,1.13,"",1,14.3,3,13.6,67605,9.4,0,0.0,0,0.0,-27,-4.2,-1395,-4.2
"22107","1","102","72","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,25,785293,0,0,610,31729,"",7.60,0.62,0.70,0.00,0.00,1.13,1.13,"",1,14.3,3,13.6,67605,9.4,0,0.0,0,0.0,-27,-4.2,-1395,-4.2
"22107","1","1021","73","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,11,337268,0,0,581,30203,"",9.91,0.79,0.95,0.00,0.00,1.18,1.18,"",0,0.0,-1,-8.3,-1031,-0.3,0,0.0,0,0.0,15,2.7,786,2.7
"22107","1","1028","73","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,14,448025,0,0,634,32983,"",7.20,0.68,0.72,0.00,0.00,1.10,1.10,"",1,33.3,4,40.0,68636,18.1,0,0.0,0,0.0,-84,-11.7,-4334,-11.6
"22107","1","48-49","74","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,11,337268,0,0,581,30203,"",10.24,0.85,0.99,0.00,0.00,1.15,1.15,"",0,0.0,-1,-8.3,-1031,-0.3,0,0.0,0,0.0,15,2.7,786,2.7
"22107","1","491","75","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,11,337268,0,0,581,30203,"",10.42,0.88,1.05,0.00,0.00,1.18,1.18,"",0,0.0,-1,-8.3,-1031,-0.3,0,0.0,0,0.0,15,2.7,786,2.7
"22107","1","4911","76","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,11,337268,0,0,581,30203,"",10.42,0.88,1.05,0.00,0.00,1.18,1.18,"",0,0.0,-1,-8.3,-1031,-0.3,0,0.0,0,0.0,15,2.7,786,2.7
"22107","1","49111","77","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,11,337268,0,0,581,30203,"",10.42,0.88,1.05,0.00,0.00,1.18,1.18,"",0,0.0,-1,-8.3,-1031,-0.3,0,0.0,0,0.0,15,2.7,786,2.7
"22107","1","491110","78","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,11,337268,0,0,581,30203,"",10.42,0.88,1.05,0.00,0.00,1.18,1.18,"",0,0.0,-1,-8.3,-1031,-0.3,0,0.0,0,0.0,15,2.7,786,2.7
"22107","1","92","74","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,14,448025,0,0,634,32983,"",7.20,0.68,0.72,0.00,0.00,1.10,1.10,"",1,33.3,4,40.0,68636,18.1,0,0.0,0,0.0,-84,-11.7,-4334,-11.6
"22107","1","924","75","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,74260,0,0,714,37130,"",7.91,1.25,1.65,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,4340,6.2,0,0.0,0,0.0,42,6.2,2170,6.2
"22107","1","9241","76","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,74260,0,0,714,37130,"",7.91,1.25,1.65,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,4340,6.2,0,0.0,0,0.0,42,6.2,2170,6.2
"22107","1","92412","77","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,74260,0,0,714,37130,"",8.07,1.48,2.11,0.00,0.00,1.42,1.42,"",0,0.0,0,0.0,4340,6.2,0,0.0,0,0.0,42,6.2,2170,6.2
"22107","1","924120","78","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,74260,0,0,714,37130,"",8.07,1.48,2.11,0.00,0.00,1.42,1.42,"",0,0.0,0,0.0,4340,6.2,0,0.0,0,0.0,42,6.2,2170,6.2
"22107","1","926","75","0","2000","A","","Tensas Parish, Louisiana","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,12,373765,0,0,621,32267,"",13.44,3.01,3.64,0.00,0.00,1.25,1.25,"",1,50.0,4,50.0,64296,20.8,0,0.0,0,0.0,-108,-14.8,-5627,-14.8
