"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24009","0","10","70","0","2000","A","","Calvert County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1443,16882,510363575,0,0,581,30231,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",16,1.1,411,2.5,14973183,3.0,0,0.0,0,0.0,3,0.5,155,0.5
"24009","1","10","71","0","2000","A","","Calvert County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",21,146,5348871,0,0,704,36615,"",2.29,0.39,0.36,0.00,0.00,0.93,0.93,"",1,5.0,25,20.7,685872,14.7,0,0.0,0,0.0,-35,-4.7,-1816,-4.7
"24009","1","102","72","0","2000","A","","Calvert County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,146,5348871,0,0,704,36615,"",2.30,0.40,0.37,0.00,0.00,0.93,0.93,"",1,5.0,25,20.7,685872,14.7,0,0.0,0,0.0,-35,-4.7,-1816,-4.7
"24009","1","1021","73","0","2000","A","","Calvert County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",14,80,3204215,0,0,770,40053,"",3.99,0.63,0.70,0.00,0.00,1.12,1.12,"",-1,-6.7,1,1.3,129481,4.2,0,0.0,0,0.0,23,3.1,1214,3.1
"24009","1","1028","73","0","2000","A","","Calvert County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,66,2144656,0,0,624,32454,"",1.45,0.35,0.27,0.00,0.00,0.77,0.77,"",1,16.7,24,57.1,556391,35.0,0,0.0,0,0.0,-100,-13.8,-5212,-13.8
"24009","1","48-49","74","0","2000","A","","Calvert County, Maryland","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",14,80,3204215,0,0,770,40053,"",4.12,0.68,0.74,0.00,0.00,1.09,1.09,"",-1,-6.7,1,1.3,129481,4.2,0,0.0,0,0.0,23,3.1,1214,3.1
"24009","1","491","75","0","2000","A","","Calvert County, Maryland","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,80,3204215,0,0,770,40053,"",4.20,0.70,0.78,0.00,0.00,1.11,1.11,"",-1,-6.7,1,1.3,129481,4.2,0,0.0,0,0.0,23,3.1,1214,3.1
"24009","1","4911","76","0","2000","A","","Calvert County, Maryland","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",14,80,3204215,0,0,770,40053,"",4.20,0.70,0.78,0.00,0.00,1.11,1.11,"",-1,-6.7,1,1.3,129481,4.2,0,0.0,0,0.0,23,3.1,1214,3.1
"24009","1","49111","77","0","2000","A","","Calvert County, Maryland","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",14,80,3204215,0,0,770,40053,"",4.20,0.70,0.78,0.00,0.00,1.11,1.11,"",-1,-6.7,1,1.3,129481,4.2,0,0.0,0,0.0,23,3.1,1214,3.1
"24009","1","491110","78","0","2000","A","","Calvert County, Maryland","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",14,80,3204215,0,0,770,40053,"",4.20,0.70,0.78,0.00,0.00,1.11,1.11,"",-1,-6.7,1,1.3,129481,4.2,0,0.0,0,0.0,23,3.1,1214,3.1
"24009","1","92","74","0","2000","A","","Calvert County, Maryland","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,66,2144656,0,0,624,32454,"",1.45,0.35,0.27,0.00,0.00,0.77,0.77,"",1,16.7,24,57.1,556391,35.0,0,0.0,0,0.0,-100,-13.8,-5212,-13.8
"24009","1","924","75","0","2000","A","","Calvert County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,100420,0,0,799,41553,"",0.91,0.14,0.17,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,18069,21.9,0,0.0,0,0.0,120,17.7,6260,17.7
"24009","1","9241","76","0","2000","A","","Calvert County, Maryland","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,100420,0,0,799,41553,"",0.91,0.14,0.17,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,18069,21.9,0,0.0,0,0.0,120,17.7,6260,17.7
"24009","1","92412","77","0","2000","A","","Calvert County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,100420,0,0,799,41553,"",0.93,0.16,0.22,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,18069,21.9,0,0.0,0,0.0,120,17.7,6260,17.7
"24009","1","924120","78","0","2000","A","","Calvert County, Maryland","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,100420,0,0,799,41553,"",0.93,0.16,0.22,0.00,0.00,1.13,1.13,"",0,0.0,0,0.0,18069,21.9,0,0.0,0,0.0,120,17.7,6260,17.7
"24009","1","926","75","0","2000","A","","Calvert County, Maryland","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,35,577111,0,0,319,16608,"",2.58,0.96,0.44,0.00,0.00,0.46,0.46,"",1,25.0,27,337.5,301704,109.5,0,0.0,0,0.0,-379,-54.3,-19709,-54.3
