"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"24033","0","10","70","0","2000","A","","Prince George's County, Maryland","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",14310,303252,11237398147,0,0,713,37056,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",66,0.5,5540,1.9,919253276,8.9,0,0.0,0,0.0,46,6.9,2398,6.9
"24033","1","10","71","0","2000","A","","Prince George's County, Maryland","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",102,26138,1497068373,0,0,1101,57277,"",1.12,3.90,4.61,0.00,0.00,1.18,1.18,"",1,1.0,325,1.3,134011561,9.8,0,0.0,0,0.0,86,8.5,4472,8.5
"24033","1","102","72","0","2000","A","","Prince George's County, Maryland","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",102,26138,1497068373,0,0,1101,57277,"",1.12,3.98,4.71,0.00,0.00,1.18,1.18,"",1,1.0,325,1.3,134011561,9.8,0,0.0,0,0.0,86,8.5,4472,8.5
"24033","1","1021","73","0","2000","A","","Prince George's County, Maryland","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",28,4148,182415947,0,0,846,43974,"",0.80,1.82,1.82,0.00,0.00,1.00,1.00,"",0,0.0,-161,-3.7,15989297,9.6,0,0.0,0,0.0,103,13.9,5353,13.9
"24033","1","1023","73","0","2000","A","","Prince George's County, Maryland","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,1,107092,0,0,1454,75594,"",0.51,0.03,0.05,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,33095,44.7,0,0.0,0,0.0,31,2.2,1597,2.2
"24033","1","1024","73","0","2000","A","","Prince George's County, Maryland","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",5,392,28378589,0,0,1392,72364,"",1.72,2.92,3.94,0.00,0.00,1.35,1.35,"",0,0.0,-12,-3.0,2167709,8.3,0,0.0,0,0.0,143,11.4,7405,11.4
"24033","1","1026","73","0","2000","A","","Prince George's County, Maryland","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",2,244,10817918,0,0,851,44275,"",1.03,1.89,3.18,0.00,0.00,1.68,1.69,"",0,0.0,54,28.4,2822026,35.3,0,0.0,0,0.0,41,5.1,2173,5.2
"24033","1","1028","73","0","2000","A","","Prince George's County, Maryland","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",66,21351,1275348827,0,0,1149,59732,"",1.38,6.29,7.27,0.00,0.00,1.15,1.15,"",2,3.1,442,2.1,112999434,9.7,0,0.0,0,0.0,80,7.5,4142,7.5
"24033","1","44-45","74","0","2000","A","","Prince George's County, Maryland","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",1,114,3173256,0,0,534,27775,"",1.21,0.85,1.19,0.00,0.00,1.40,1.40,"",0,0.0,-5,-4.2,507269,19.0,0,0.0,0,0.0,105,24.5,5450,24.4
"24033","1","445","75","0","2000","A","","Prince George's County, Maryland","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,114,3173256,0,0,534,27775,"",3.02,4.41,4.03,0.00,0.00,0.91,0.91,"",0,0.0,-5,-4.2,507269,19.0,0,0.0,0,0.0,105,24.5,5450,24.4
