"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"25005","0","10","70","0","2000","A","","Bristol County, Massachusetts","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",13406,220983,6821318065,0,0,594,30868,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",156,1.2,4805,2.2,445682101,7.0,0,0.0,0,0.0,27,4.8,1375,4.7
"25005","1","10","71","0","2000","A","","Bristol County, Massachusetts","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",45,1377,58193045,0,0,813,42258,"",0.53,0.28,0.30,0.00,0.00,1.05,1.05,"",-13,-22.4,150,12.2,6095066,11.7,0,0.0,0,0.0,-4,-0.5,-213,-0.5
"25005","1","102","72","0","2000","A","","Bristol County, Massachusetts","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",45,1377,58193045,0,0,813,42258,"",0.53,0.29,0.30,0.00,0.00,1.05,1.05,"",-13,-22.4,150,12.2,6095066,11.7,0,0.0,0,0.0,-4,-0.5,-213,-0.5
"25005","1","1021","73","0","2000","A","","Bristol County, Massachusetts","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,968,44850467,0,0,891,46337,"",0.80,0.58,0.74,0.00,0.00,1.26,1.27,"",0,0.0,-7,-0.7,2799768,6.7,0,0.0,0,0.0,62,7.5,3219,7.5
"25005","1","1024","73","0","2000","A","","Bristol County, Massachusetts","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,49,3330178,0,0,1305,67847,"",0.73,0.50,0.76,0.00,0.00,1.52,1.52,"",-2,-50.0,-1,-2.0,114878,3.6,0,0.0,0,0.0,79,6.4,4072,6.4
"25005","1","1025","73","0","2000","A","","Bristol County, Massachusetts","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,21,721015,0,0,660,34334,"",1.06,0.05,0.04,0.00,0.00,0.83,0.84,"",0,0.0,1,5.0,146932,25.6,0,0.0,0,0.0,119,22.0,6216,22.1
"25005","1","1026","73","0","2000","A","","Bristol County, Massachusetts","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",0.55,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25005","1","1028","73","0","2000","A","","Bristol County, Massachusetts","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",16,339,9291385,0,0,527,27401,"",0.36,0.14,0.09,0.00,0.00,0.63,0.64,"",-11,-40.7,158,87.3,3033488,48.5,0,0.0,0,0.0,-139,-20.9,-7253,-20.9
"25005","1","48-49","74","0","2000","A","","Bristol County, Massachusetts","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",26,968,44850467,0,0,891,46337,"",0.82,0.63,0.77,0.00,0.00,1.23,1.23,"",0,0.0,-7,-0.7,2799768,6.7,0,0.0,0,0.0,62,7.5,3219,7.5
"25005","1","488","75","0","2000","A","","Bristol County, Massachusetts","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,47684,0,0,1100,57221,"",1.89,0.02,0.02,0.00,0.00,0.80,0.80,"",-1,-50.0,0,0.0,19859,71.4,0,0.0,0,0.0,183,20.0,9521,20.0
