"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"26111","0","10","70","0","2000","A","","Midland County, Michigan","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1930,35236,1508501463,0,0,823,42812,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",62,3.3,85,0.2,133648192,9.7,0,0.0,0,0.0,71,9.4,3700,9.5
"26111","1","10","71","0","2000","A","","Midland County, Michigan","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,241,7795712,0,0,623,32403,"",0.98,0.31,0.18,0.00,0.00,0.58,0.58,"",-1,-7.7,57,31.0,1016370,15.0,0,0.0,0,0.0,-84,-11.9,-4375,-11.9
"26111","1","102","72","0","2000","A","","Midland County, Michigan","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,241,7795712,0,0,623,32403,"",0.98,0.32,0.18,0.00,0.00,0.58,0.58,"",-1,-7.7,57,31.0,1016370,15.0,0,0.0,0,0.0,-84,-11.9,-4375,-11.9
"26111","1","1021","73","0","2000","A","","Midland County, Michigan","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,164,6231497,0,0,730,37978,"",1.28,0.62,0.46,0.00,0.00,0.75,0.75,"",0,0.0,1,0.6,213842,3.6,0,0.0,0,0.0,18,2.5,965,2.6
"26111","1","1023","73","0","2000","A","","Midland County, Michigan","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.81,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-42465,-100.0,0,0.0,0,0.0,-1400,-100.0,-72797,-100.0
"26111","1","1028","73","0","2000","A","","Midland County, Michigan","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,77,1564215,0,0,393,20447,"",0.77,0.20,0.07,0.00,0.00,0.34,0.34,"",-1,-16.7,56,266.7,844993,117.5,0,0.0,0,0.0,-260,-39.8,-13532,-39.8
"26111","1","48-49","74","0","2000","A","","Midland County, Michigan","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,164,6231497,0,0,730,37978,"",1.32,0.67,0.49,0.00,0.00,0.73,0.73,"",0,0.0,1,0.6,213842,3.6,0,0.0,0,0.0,18,2.5,965,2.6
"26111","1","491","75","0","2000","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,164,6231497,0,0,730,37978,"",1.34,0.69,0.51,0.00,0.00,0.75,0.75,"",0,0.0,1,0.6,213842,3.6,0,0.0,0,0.0,18,2.5,965,2.6
"26111","1","4911","76","0","2000","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,164,6231497,0,0,730,37978,"",1.34,0.69,0.51,0.00,0.00,0.75,0.75,"",0,0.0,1,0.6,213842,3.6,0,0.0,0,0.0,18,2.5,965,2.6
"26111","1","49111","77","0","2000","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,164,6231497,0,0,730,37978,"",1.34,0.69,0.51,0.00,0.00,0.75,0.75,"",0,0.0,1,0.6,213842,3.6,0,0.0,0,0.0,18,2.5,965,2.6
"26111","1","491110","78","0","2000","A","","Midland County, Michigan","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,164,6231497,0,0,730,37978,"",1.34,0.69,0.51,0.00,0.00,0.75,0.75,"",0,0.0,1,0.6,213842,3.6,0,0.0,0,0.0,18,2.5,965,2.6
"26111","1","52","74","0","2000","A","","Midland County, Michigan","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",3.84,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-42465,-100.0,0,0.0,0,0.0,-1400,-100.0,-72797,-100.0
"26111","1","522","75","0","2000","A","","Midland County, Michigan","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.43,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-42465,-100.0,0,0.0,0,0.0,-1400,-100.0,-72797,-100.0
"26111","1","5222","76","0","2000","A","","Midland County, Michigan","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.44,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-42465,-100.0,0,0.0,0,0.0,-1400,-100.0,-72797,-100.0
"26111","1","52229","77","0","2000","A","","Midland County, Michigan","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.44,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-42465,-100.0,0,0.0,0,0.0,-1400,-100.0,-72797,-100.0
