"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"27045","0","10","70","0","2000","A","","Fillmore County, Minnesota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",653,6791,146771907,0,0,416,21613,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",6,0.9,37,0.5,5225592,3.7,0,0.0,0,0.0,13,3.2,655,3.1
"27045","1","10","71","0","2000","A","","Fillmore County, Minnesota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,88,2733842,0,0,600,31214,"",4.58,0.59,0.64,0.00,0.00,1.10,1.10,"",1,5.6,10,12.8,383523,16.3,0,0.0,0,0.0,22,3.8,1146,3.8
"27045","1","102","72","0","2000","A","","Fillmore County, Minnesota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,88,2733842,0,0,600,31214,"",4.59,0.60,0.66,0.00,0.00,1.10,1.11,"",1,5.6,10,12.8,383523,16.3,0,0.0,0,0.0,22,3.8,1146,3.8
"27045","1","1021","73","0","2000","A","","Fillmore County, Minnesota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",13,70,2186697,0,0,599,31127,"",8.19,1.37,1.67,0.00,0.00,1.21,1.21,"",1,8.3,1,1.4,167201,8.3,0,0.0,0,0.0,38,6.8,1929,6.6
"27045","1","1023","73","0","2000","A","","Fillmore County, Minnesota","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.26,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18774,-100.0,0,0.0,0,0.0,-722,-100.0,-37548,-100.0
"27045","1","1028","73","0","2000","A","","Fillmore County, Minnesota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,17,547145,0,0,607,31566,"",2.29,0.22,0.24,0.00,0.00,1.04,1.05,"",0,0.0,8,88.9,235096,75.3,0,0.0,0,0.0,-99,-14.0,-5146,-14.0
"27045","1","48-49","74","0","2000","A","","Fillmore County, Minnesota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",13,70,2186697,0,0,599,31127,"",8.46,1.48,1.75,0.00,0.00,1.18,1.18,"",1,8.3,1,1.4,167201,8.3,0,0.0,0,0.0,38,6.8,1929,6.6
"27045","1","491","75","0","2000","A","","Fillmore County, Minnesota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,70,2186697,0,0,599,31127,"",8.61,1.52,1.85,0.00,0.00,1.21,1.21,"",1,8.3,1,1.4,167201,8.3,0,0.0,0,0.0,38,6.8,1929,6.6
"27045","1","4911","76","0","2000","A","","Fillmore County, Minnesota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,70,2186697,0,0,599,31127,"",8.61,1.52,1.85,0.00,0.00,1.21,1.21,"",1,8.3,1,1.4,167201,8.3,0,0.0,0,0.0,38,6.8,1929,6.6
"27045","1","49111","77","0","2000","A","","Fillmore County, Minnesota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",13,70,2186697,0,0,599,31127,"",8.61,1.52,1.85,0.00,0.00,1.21,1.21,"",1,8.3,1,1.4,167201,8.3,0,0.0,0,0.0,38,6.8,1929,6.6
"27045","1","491110","78","0","2000","A","","Fillmore County, Minnesota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",13,70,2186697,0,0,599,31127,"",8.61,1.52,1.85,0.00,0.00,1.21,1.21,"",1,8.3,1,1.4,167201,8.3,0,0.0,0,0.0,38,6.8,1929,6.6
"27045","1","52","74","0","2000","A","","Fillmore County, Minnesota","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",11.34,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18774,-100.0,0,0.0,0,0.0,-722,-100.0,-37548,-100.0
"27045","1","522","75","0","2000","A","","Fillmore County, Minnesota","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",13.10,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18774,-100.0,0,0.0,0,0.0,-722,-100.0,-37548,-100.0
"27045","1","5222","76","0","2000","A","","Fillmore County, Minnesota","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",13.13,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18774,-100.0,0,0.0,0,0.0,-722,-100.0,-37548,-100.0
"27045","1","52229","77","0","2000","A","","Fillmore County, Minnesota","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",13.13,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18774,-100.0,0,0.0,0,0.0,-722,-100.0,-37548,-100.0
"27045","1","522298","78","0","2000","A","","Fillmore County, Minnesota","Federal Government","All other nondepository credit intermediation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",40.61,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,-1,-100.0,-18774,-100.0,0,0.0,0,0.0,-722,-100.0,-37548,-100.0
"27045","1","92","74","0","2000","A","","Fillmore County, Minnesota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,17,547145,0,0,607,31566,"",2.29,0.22,0.24,0.00,0.00,1.04,1.05,"",0,0.0,8,88.9,235096,75.3,0,0.0,0,0.0,-99,-14.0,-5146,-14.0
"27045","1","922","75","0","2000","A","","Fillmore County, Minnesota","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,12807,0,0,985,51228,"",4.06,0.00,0.05,0.00,0.00,1.43,1.43,"",0,0.0,-1,-100.0,-6738,-34.5,0,0.0,0,0.0,341,53.0,17722,52.9
"27045","1","9221","76","0","2000","A","","Fillmore County, Minnesota","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,12807,0,0,985,51228,"",4.06,0.00,0.05,0.00,0.00,1.43,1.43,"",0,0.0,-1,-100.0,-6738,-34.5,0,0.0,0,0.0,341,53.0,17722,52.9
"27045","1","92219","77","0","2000","A","","Fillmore County, Minnesota","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,0,12807,0,0,985,51228,"",11.13,0.00,1.79,0.00,0.00,1.67,1.67,"",0,0.0,-1,-100.0,-6738,-34.5,0,0.0,0,0.0,341,53.0,17722,52.9
"27045","1","922190","78","0","2000","A","","Fillmore County, Minnesota","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,0,12807,0,0,985,51228,"",11.13,0.00,1.79,0.00,0.00,1.67,1.67,"",0,0.0,-1,-100.0,-6738,-34.5,0,0.0,0,0.0,341,53.0,17722,52.9
"27045","1","924","75","0","2000","A","","Fillmore County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,96098,0,0,924,48049,"",2.01,0.34,0.58,0.00,0.00,1.69,1.69,"",0,0.0,-1,-33.3,4849,5.3,0,0.0,0,0.0,266,40.4,13831,40.4
"27045","1","9241","76","0","2000","A","","Fillmore County, Minnesota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,96098,0,0,924,48049,"",2.01,0.34,0.58,0.00,0.00,1.69,1.69,"",0,0.0,-1,-33.3,4849,5.3,0,0.0,0,0.0,266,40.4,13831,40.4
