"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29001","0","10","70","0","2000","A","","Adair County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",693,10855,245537072,0,0,435,22620,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-8,-1.1,-28,-0.3,8410158,3.5,0,0.0,0,0.0,16,3.8,832,3.8
"29001","1","10","71","0","2000","A","","Adair County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,96,3492510,0,0,698,36286,"",2.95,0.40,0.49,0.00,0.00,1.23,1.23,"",1,8.3,7,7.9,244829,7.5,0,0.0,0,0.0,-8,-1.1,-411,-1.1
"29001","1","102","72","0","2000","A","","Adair County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,96,3492510,0,0,698,36286,"",2.96,0.41,0.50,0.00,0.00,1.23,1.23,"",1,8.3,7,7.9,244829,7.5,0,0.0,0,0.0,-8,-1.1,-411,-1.1
"29001","1","1021","73","0","2000","A","","Adair County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,52,1760505,0,0,657,34185,"",1.78,0.64,0.80,0.00,0.00,1.27,1.27,"",0,0.0,-1,-1.9,25100,1.4,0,0.0,0,0.0,31,5.0,1646,5.1
"29001","1","1023","73","0","2000","A","","Adair County, Missouri","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,8,381195,0,0,916,47649,"",10.61,6.29,7.59,0.00,0.00,1.20,1.21,"",0,0.0,0,0.0,4759,1.3,0,0.0,0,0.0,56,6.5,2924,6.5
"29001","1","1028","73","0","2000","A","","Adair County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,37,1350810,0,0,707,36757,"",3.88,0.30,0.35,0.00,0.00,1.16,1.16,"",1,12.5,10,37.0,214970,18.9,0,0.0,0,0.0,-110,-13.5,-5704,-13.4
"29001","1","48-49","74","0","2000","A","","Adair County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,52,1760505,0,0,657,34185,"",1.84,0.69,0.84,0.00,0.00,1.24,1.24,"",0,0.0,-1,-1.9,25100,1.4,0,0.0,0,0.0,31,5.0,1646,5.1
"29001","1","491","75","0","2000","A","","Adair County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,52,1760505,0,0,657,34185,"",1.87,0.71,0.89,0.00,0.00,1.27,1.27,"",0,0.0,-1,-1.9,25100,1.4,0,0.0,0,0.0,31,5.0,1646,5.1
"29001","1","4911","76","0","2000","A","","Adair County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,52,1760505,0,0,657,34185,"",1.87,0.71,0.89,0.00,0.00,1.27,1.27,"",0,0.0,-1,-1.9,25100,1.4,0,0.0,0,0.0,31,5.0,1646,5.1
"29001","1","49111","77","0","2000","A","","Adair County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,52,1760505,0,0,657,34185,"",1.87,0.71,0.89,0.00,0.00,1.27,1.27,"",0,0.0,-1,-1.9,25100,1.4,0,0.0,0,0.0,31,5.0,1646,5.1
"29001","1","491110","78","0","2000","A","","Adair County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,52,1760505,0,0,657,34185,"",1.87,0.71,0.89,0.00,0.00,1.27,1.27,"",0,0.0,-1,-1.9,25100,1.4,0,0.0,0,0.0,31,5.0,1646,5.1
"29001","1","52","74","0","2000","A","","Adair County, Missouri","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,8,381195,0,0,916,47649,"",10.69,6.42,7.62,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,4759,1.3,0,0.0,0,0.0,56,6.5,2924,6.5
"29001","1","522","75","0","2000","A","","Adair County, Missouri","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,8,381195,0,0,916,47649,"",12.34,13.23,19.56,0.00,0.00,1.48,1.48,"",0,0.0,0,0.0,4759,1.3,0,0.0,0,0.0,56,6.5,2924,6.5
"29001","1","5222","76","0","2000","A","","Adair County, Missouri","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,8,381195,0,0,916,47649,"",12.37,13.58,20.21,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,4759,1.3,0,0.0,0,0.0,56,6.5,2924,6.5
"29001","1","52229","77","0","2000","A","","Adair County, Missouri","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,8,381195,0,0,916,47649,"",12.37,13.58,20.21,0.00,0.00,1.49,1.49,"",0,0.0,0,0.0,4759,1.3,0,0.0,0,0.0,56,6.5,2924,6.5
"29001","1","522292","78","0","2000","A","","Adair County, Missouri","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,8,381195,0,0,916,47649,"",24.42,21.94,34.55,0.00,0.00,1.57,1.57,"",0,0.0,0,0.0,4759,1.3,0,0.0,0,0.0,56,6.5,2924,6.5
"29001","1","92","74","0","2000","A","","Adair County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",9,37,1350810,0,0,707,36757,"",3.88,0.30,0.35,0.00,0.00,1.16,1.16,"",1,12.5,10,37.0,214970,18.9,0,0.0,0,0.0,-110,-13.5,-5704,-13.4
"29001","1","922","75","0","2000","A","","Adair County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,77571,0,0,1492,77571,"",3.82,0.08,0.17,0.00,0.00,2.07,2.07,"",0,0.0,0,0.0,6728,9.5,0,0.0,0,0.0,130,9.5,6728,9.5
"29001","1","9221","76","0","2000","A","","Adair County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,77571,0,0,1492,77571,"",3.82,0.08,0.17,0.00,0.00,2.07,2.07,"",0,0.0,0,0.0,6728,9.5,0,0.0,0,0.0,130,9.5,6728,9.5
"29001","1","92212","77","0","2000","A","","Adair County, Missouri","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,77571,0,0,1492,77571,"",11.14,0.24,0.45,0.00,0.00,1.92,1.92,"",0,0.0,0,0.0,6728,9.5,0,0.0,0,0.0,130,9.5,6728,9.5
"29001","1","922120","78","0","2000","A","","Adair County, Missouri","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,77571,0,0,1492,77571,"",11.14,0.24,0.45,0.00,0.00,1.92,1.92,"",0,0.0,0,0.0,6728,9.5,0,0.0,0,0.0,130,9.5,6728,9.5
"29001","1","923","75","0","2000","A","","Adair County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,9,403511,0,0,862,44835,"",5.31,0.79,1.12,0.00,0.00,1.41,1.41,"",0,0.0,1,12.5,70608,21.2,0,0.0,0,0.0,27,3.2,1413,3.3
"29001","1","9231","76","0","2000","A","","Adair County, Missouri","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,9,403511,0,0,862,44835,"",5.31,0.79,1.12,0.00,0.00,1.41,1.41,"",0,0.0,1,12.5,70608,21.2,0,0.0,0,0.0,27,3.2,1413,3.3
"29001","1","92313","77","0","2000","A","","Adair County, Missouri","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,9,403511,0,0,862,44835,"",7.18,1.45,2.38,0.00,0.00,1.64,1.64,"",0,0.0,1,12.5,70608,21.2,0,0.0,0,0.0,27,3.2,1413,3.3
"29001","1","923130","78","0","2000","A","","Adair County, Missouri","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,9,403511,0,0,862,44835,"",7.18,1.45,2.38,0.00,0.00,1.64,1.64,"",0,0.0,1,12.5,70608,21.2,0,0.0,0,0.0,27,3.2,1413,3.3
"29001","1","924","75","0","2000","A","","Adair County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,323917,0,0,571,29672,"",3.79,1.18,1.17,0.00,0.00,1.00,1.00,"",0,0.0,2,22.2,31200,10.7,0,0.0,0,0.0,-43,-7.0,-2261,-7.1
"29001","1","9241","76","0","2000","A","","Adair County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,323917,0,0,571,29672,"",3.79,1.18,1.17,0.00,0.00,1.00,1.00,"",0,0.0,2,22.2,31200,10.7,0,0.0,0,0.0,-43,-7.0,-2261,-7.1
"29001","1","92412","77","0","2000","A","","Adair County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,323917,0,0,571,29672,"",3.86,1.39,1.49,0.00,0.00,1.08,1.08,"",0,0.0,2,22.2,31200,10.7,0,0.0,0,0.0,-43,-7.0,-2261,-7.1
"29001","1","924120","78","0","2000","A","","Adair County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,323917,0,0,571,29672,"",3.86,1.39,1.49,0.00,0.00,1.08,1.08,"",0,0.0,2,22.2,31200,10.7,0,0.0,0,0.0,-43,-7.0,-2261,-7.1
"29001","1","926","75","0","2000","A","","Adair County, Missouri","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,13,459958,0,0,689,35841,"",4.29,0.56,0.73,0.00,0.00,1.32,1.33,"",1,33.3,7,116.7,97513,26.9,0,0.0,0,0.0,-489,-41.5,-25417,-41.5
"29001","1","9261","76","0","2000","A","","Adair County, Missouri","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,13,459958,0,0,689,35841,"",4.29,0.56,0.73,0.00,0.00,1.32,1.33,"",1,33.3,7,116.7,97513,26.9,0,0.0,0,0.0,-489,-41.5,-25417,-41.5
"29001","1","92611","77","0","2000","A","","Adair County, Missouri","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,145255,0,0,346,17970,"",4.34,0.60,0.60,0.00,0.00,0.99,0.99,"",1,100.0,8,100.0,144213,13840.0,0,0.0,0,0.0,106,44.2,5466,43.7
"29001","1","926110","78","0","2000","A","","Adair County, Missouri","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,145255,0,0,346,17970,"",4.34,0.60,0.60,0.00,0.00,0.99,0.99,"",1,100.0,8,100.0,144213,13840.0,0,0.0,0,0.0,106,44.2,5466,43.7
"29001","1","92614","77","0","2000","A","","Adair County, Missouri","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,156637,0,0,1246,64815,"",2.76,0.46,1.18,0.00,0.00,2.14,2.14,"",0,0.0,0,0.0,35073,28.9,0,0.0,0,0.0,-29,-2.3,-1493,-2.3
"29001","1","926140","78","0","2000","A","","Adair County, Missouri","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,156637,0,0,1246,64815,"",2.76,0.46,1.18,0.00,0.00,2.14,2.14,"",0,0.0,0,0.0,35073,28.9,0,0.0,0,0.0,-29,-2.3,-1493,-2.3
"29001","1","928","75","0","2000","A","","Adair County, Missouri","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,85853,0,0,550,28618,"",4.63,0.06,0.06,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,8921,11.6,0,0.0,0,0.0,57,11.6,2974,11.6
"29001","1","9281","76","0","2000","A","","Adair County, Missouri","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,3,85853,0,0,550,28618,"",4.63,0.06,0.06,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,8921,11.6,0,0.0,0,0.0,57,11.6,2974,11.6
"29001","1","92811","77","0","2000","A","","Adair County, Missouri","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,3,85853,0,0,550,28618,"",5.47,0.07,0.06,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,8921,11.6,0,0.0,0,0.0,57,11.6,2974,11.6
"29001","1","928110","78","0","2000","A","","Adair County, Missouri","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,3,85853,0,0,550,28618,"",5.47,0.07,0.06,0.00,0.00,0.89,0.89,"",0,0.0,0,0.0,8921,11.6,0,0.0,0,0.0,57,11.6,2974,11.6
"29001","2","10","71","0","2000","A","","Adair County, Missouri","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",30,1116,39772465,0,0,686,35646,"",5.25,3.06,4.68,0.00,0.00,1.53,1.53,"",1,3.4,17,1.5,2000897,5.3,0,0.0,0,0.0,25,3.8,1290,3.8
"29001","2","1028","73","0","2000","A","","Adair County, Missouri","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",24,117,3284058,0,0,538,27989,"",6.06,0.76,0.88,0.00,0.00,1.16,1.16,"",1,4.3,7,6.4,251332,8.3,0,0.0,0,0.0,10,1.9,523,1.9
"29001","2","92","74","0","2000","A","","Adair County, Missouri","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",24,117,3284058,0,0,538,27989,"",6.06,0.76,0.88,0.00,0.00,1.16,1.16,"",1,4.3,7,6.4,251332,8.3,0,0.0,0,0.0,10,1.9,523,1.9
"29001","2","923","75","0","2000","A","","Adair County, Missouri","State Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,37,947762,0,0,498,25907,"",7.39,1.05,1.12,0.00,0.00,1.08,1.08,"",1,20.0,1,2.8,43592,4.8,0,0.0,0,0.0,9,1.8,497,2.0
"29001","2","9231","76","0","2000","A","","Adair County, Missouri","State Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,37,947762,0,0,498,25907,"",7.39,1.05,1.12,0.00,0.00,1.08,1.08,"",1,20.0,1,2.8,43592,4.8,0,0.0,0,0.0,9,1.8,497,2.0
"29001","3","10","71","0","2000","A","","Adair County, Missouri","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",40,1080,21223872,0,0,378,19658,"",3.22,1.02,0.97,0.00,0.00,0.95,0.95,"",0,0.0,49,4.8,948066,4.7,0,0.0,0,0.0,0,0.0,-7,0.0
"29001","3","1025","73","0","2000","A","","Adair County, Missouri","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",14,757,15130186,0,0,384,19983,"",2.93,1.14,1.14,0.00,0.00,0.99,0.99,"",0,0.0,30,4.1,766610,5.3,0,0.0,0,0.0,4,1.1,214,1.1
"29001","3","1028","73","0","2000","A","","Adair County, Missouri","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",14,168,3596426,0,0,412,21439,"",2.83,0.55,0.53,0.00,0.00,0.97,0.97,"",0,0.0,-5,-2.9,77182,2.2,0,0.0,0,0.0,20,5.1,1057,5.2
"29001","3","92","74","0","2000","A","","Adair County, Missouri","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",14,168,3596426,0,0,412,21439,"",2.83,0.55,0.53,0.00,0.00,0.97,0.97,"",0,0.0,-5,-2.9,77182,2.2,0,0.0,0,0.0,20,5.1,1057,5.2
"29001","3","921","75","0","2000","A","","Adair County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,72,1254917,0,0,335,17409,"",1.95,0.35,0.30,0.00,0.00,0.86,0.86,"",0,0.0,-8,-10.0,-11274,-0.9,0,0.0,0,0.0,31,10.2,1582,10.0
"29001","3","9211","76","0","2000","A","","Adair County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,72,1254917,0,0,335,17409,"",1.95,0.35,0.30,0.00,0.00,0.86,0.86,"",0,0.0,-8,-10.0,-11274,-0.9,0,0.0,0,0.0,31,10.2,1582,10.0
"29001","5","10","71","0","2000","A","","Adair County, Missouri","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",610,8563,181048225,0,0,407,21143,"",0.91,0.93,0.87,0.00,0.00,0.93,0.93,"",-11,-1.8,-101,-1.2,5216366,3.0,0,0.0,0,0.0,17,4.4,849,4.2
"29001","5","101","72","0","2000","A","","Adair County, Missouri","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",75,1795,54721260,0,0,586,30488,"",0.65,0.84,0.98,0.00,0.00,1.17,1.17,"",-2,-2.6,-63,-3.4,1239428,2.3,0,0.0,0,0.0,32,5.8,1705,5.9
"29001","5","1013","73","0","2000","A","","Adair County, Missouri","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",14,1449,44482938,0,0,590,30699,"",0.39,1.00,1.12,0.00,0.00,1.11,1.12,"",0,0.0,-75,-4.9,382164,0.9,0,0.0,0,0.0,34,6.1,1768,6.1
"29001","5","102","72","0","2000","A","","Adair County, Missouri","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",536,6768,126326965,0,0,359,18665,"",0.96,0.96,0.83,0.00,0.00,0.86,0.86,"",-7,-1.3,-38,-0.6,3976938,3.3,0,0.0,0,0.0,13,3.8,689,3.8
"29001","5","1021","73","0","2000","A","","Adair County, Missouri","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",167,1971,33465386,0,0,327,16980,"",1.03,0.91,0.78,0.00,0.00,0.86,0.86,"",-2,-1.2,-57,-2.8,38812,0.1,0,0.0,0,0.0,10,3.2,495,3.0
"29001","5","1022","73","0","2000","A","","Adair County, Missouri","Private","Information","County, by Supersector -- by ownership sector","All establishment sizes",16,209,5179120,0,0,476,24731,"",1.24,0.69,0.46,0.00,0.00,0.66,0.66,"",2,14.3,6,3.0,573677,12.5,0,0.0,0,0.0,40,9.2,2081,9.2
"29001","5","1023","73","0","2000","A","","Adair County, Missouri","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",55,469,11177060,0,0,458,23832,"",0.88,0.74,0.52,0.00,0.00,0.71,0.71,"",-1,-1.8,9,2.0,789372,7.6,0,0.0,0,0.0,23,5.3,1225,5.4
"29001","5","1024","73","0","2000","A","","Adair County, Missouri","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",59,279,5454105,0,0,376,19572,"",0.55,0.20,0.14,0.00,0.00,0.72,0.72,"",2,3.5,-15,-5.1,-159136,-2.8,0,0.0,0,0.0,9,2.5,501,2.6
"29001","5","1025","73","0","2000","A","","Adair County, Missouri","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",102,2180,54628422,0,0,482,25056,"",1.72,1.81,2.27,0.00,0.00,1.25,1.25,"",-5,-4.7,21,1.0,2514228,4.8,0,0.0,0,0.0,18,3.9,917,3.8
"29001","5","1026","73","0","2000","A","","Adair County, Missouri","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",59,1356,11994900,0,0,170,8848,"",1.07,1.37,1.25,0.00,0.00,0.91,0.91,"",-5,-7.8,1,0.1,188488,1.6,0,0.0,0,0.0,2,1.2,132,1.5
"29001","5","1027","73","0","2000","A","","Adair County, Missouri","Private","Other services","County, by Supersector -- by ownership sector","All establishment sizes",79,304,4427972,0,0,280,14546,"",0.95,0.88,0.89,0.00,0.00,1.02,1.02,"",2,2.6,-4,-1.3,31497,0.7,0,0.0,0,0.0,5,1.8,272,1.9
"29001","5","2361","76","0","2000","A","","Adair County, Missouri","Private","Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",18,51,855005,0,0,323,16820,"",1.16,0.81,0.62,0.00,0.00,0.77,0.77,"",-1,-5.3,0,0.0,22302,2.7,0,0.0,0,0.0,6,1.9,331,2.0
"29001","5","23611","77","0","2000","A","","Adair County, Missouri","Private","Residential building construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",18,51,855005,0,0,323,16820,"",1.16,0.81,0.62,0.00,0.00,0.77,0.77,"",-1,-5.3,0,0.0,22302,2.7,0,0.0,0,0.0,6,1.9,331,2.0
"29001","5","237","75","0","2000","A","","Adair County, Missouri","Private","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,67,2942492,0,0,845,43918,"",1.13,0.86,1.42,0.00,0.00,1.66,1.66,"",-2,-25.0,-3,-4.3,111177,3.9,0,0.0,0,0.0,71,9.2,3662,9.1
"29001","5","238","75","0","2000","A","","Adair County, Missouri","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",30,164,4706624,0,0,551,28655,"",0.71,0.47,0.60,0.00,0.00,1.27,1.27,"",0,0.0,20,13.9,951052,25.3,0,0.0,0,0.0,51,10.2,2650,10.2
