"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29035","0","10","70","0","2000","A","","Carter County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",161,1290,23586269,0,0,352,18279,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,5.2,57,4.6,1250969,5.6,0,0.0,0,0.0,4,1.1,164,0.9
"29035","1","10","71","0","2000","A","","Carter County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,78,2702826,0,0,667,34689,"",6.84,2.74,3.97,0.00,0.00,1.45,1.45,"",1,16.7,7,9.9,308978,12.9,0,0.0,0,0.0,21,3.3,1091,3.2
"29035","1","102","72","0","2000","A","","Carter County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,78,2702826,0,0,667,34689,"",6.86,2.79,4.05,0.00,0.00,1.45,1.45,"",1,16.7,7,9.9,308978,12.9,0,0.0,0,0.0,21,3.3,1091,3.2
"29035","1","1021","73","0","2000","A","","Carter County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,67,2401938,0,0,693,36029,"",12.77,6.90,11.41,0.00,0.00,1.66,1.66,"",0,0.0,3,4.7,198810,9.0,0,0.0,0,0.0,28,4.2,1425,4.1
"29035","1","1028","73","0","2000","A","","Carter County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,11,300888,0,0,514,26746,"",3.71,0.76,0.82,0.00,0.00,1.04,1.05,"",1,100.0,3,37.5,110168,57.8,0,0.0,0,0.0,30,6.2,1596,6.3
"29035","1","48-49","74","0","2000","A","","Carter County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,67,2401938,0,0,693,36029,"",13.19,7.44,11.96,0.00,0.00,1.61,1.62,"",0,0.0,3,4.7,198810,9.0,0,0.0,0,0.0,28,4.2,1425,4.1
"29035","1","487","75","0","2000","A","","Carter County, Missouri","Federal Government","Scenic and sightseeing transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,56,2087977,0,0,717,37285,"",7012.57,29213.39,101311.88,0.00,0.00,3.46,3.46,"",0,0.0,3,5.7,176615,9.2,0,0.0,0,0.0,29,4.2,1503,4.2
"29035","1","4872","76","0","2000","A","","Carter County, Missouri","Federal Government","Scenic and sightseeing transportation, water","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,56,2087977,0,0,717,37285,"",12271.99,67929.92,159529.00,0.00,0.00,2.36,2.36,"",0,0.0,3,5.7,176615,9.2,0,0.0,0,0.0,29,4.2,1503,4.2
"29035","1","48721","77","0","2000","A","","Carter County, Missouri","Federal Government","Scenic and sightseeing transportation, water","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,56,2087977,0,0,717,37285,"",12271.99,67929.92,159529.00,0.00,0.00,2.36,2.36,"",0,0.0,3,5.7,176615,9.2,0,0.0,0,0.0,29,4.2,1503,4.2
"29035","1","487210","78","0","2000","A","","Carter County, Missouri","Federal Government","Scenic and sightseeing transportation, water","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,56,2087977,0,0,717,37285,"",12271.99,67929.92,159529.00,0.00,0.00,2.36,2.36,"",0,0.0,3,5.7,176615,9.2,0,0.0,0,0.0,29,4.2,1503,4.2
