"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29041","0","10","70","0","2000","A","","Chariton County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",270,2156,42529147,0,0,379,19729,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.4,120,5.9,4625648,12.2,0,0.0,0,0.0,21,5.9,1108,6.0
"29041","1","10","71","0","2000","A","","Chariton County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,61,1769800,0,0,555,28855,"",6.41,1.28,1.44,0.00,0.00,1.12,1.12,"",0,0.0,7,13.0,242449,15.9,0,0.0,0,0.0,9,1.6,483,1.7
"29041","1","102","72","0","2000","A","","Chariton County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,61,1769800,0,0,555,28855,"",6.43,1.31,1.47,0.00,0.00,1.12,1.12,"",0,0.0,7,13.0,242449,15.9,0,0.0,0,0.0,9,1.6,483,1.7
"29041","1","1021","73","0","2000","A","","Chariton County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,36,1011688,0,0,545,28365,"",9.14,2.22,2.66,0.00,0.00,1.21,1.21,"",0,0.0,1,2.9,65932,7.0,0,0.0,0,0.0,28,5.4,1471,5.5
"29041","1","1028","73","0","2000","A","","Chariton County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,26,758112,0,0,568,29537,"",5.53,1.08,1.14,0.00,0.00,1.07,1.07,"",0,0.0,7,36.8,176517,30.4,0,0.0,0,0.0,-31,-5.2,-1620,-5.2
"29041","1","48-49","74","0","2000","A","","Chariton County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,36,1011688,0,0,545,28365,"",9.44,2.39,2.79,0.00,0.00,1.18,1.18,"",0,0.0,1,2.9,65932,7.0,0,0.0,0,0.0,28,5.4,1471,5.5
"29041","1","491","75","0","2000","A","","Chariton County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,36,1011688,0,0,545,28365,"",9.61,2.47,2.95,0.00,0.00,1.21,1.21,"",0,0.0,1,2.9,65932,7.0,0,0.0,0,0.0,28,5.4,1471,5.5
"29041","1","4911","76","0","2000","A","","Chariton County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,36,1011688,0,0,545,28365,"",9.61,2.47,2.95,0.00,0.00,1.21,1.21,"",0,0.0,1,2.9,65932,7.0,0,0.0,0,0.0,28,5.4,1471,5.5
"29041","1","49111","77","0","2000","A","","Chariton County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,36,1011688,0,0,545,28365,"",9.61,2.47,2.95,0.00,0.00,1.21,1.21,"",0,0.0,1,2.9,65932,7.0,0,0.0,0,0.0,28,5.4,1471,5.5
"29041","1","491110","78","0","2000","A","","Chariton County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,36,1011688,0,0,545,28365,"",9.61,2.47,2.95,0.00,0.00,1.21,1.21,"",0,0.0,1,2.9,65932,7.0,0,0.0,0,0.0,28,5.4,1471,5.5
