"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29089","0","10","70","0","2000","A","","Howard County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",256,2400,47865546,0,0,384,19944,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.4,-64,-2.6,-113944,-0.2,0,0.0,0,0.0,10,2.7,471,2.4
"29089","1","10","71","0","2000","A","","Howard County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,49,1452666,0,0,575,29901,"",6.76,0.92,1.05,0.00,0.00,1.14,1.15,"",0,0.0,7,16.7,171297,13.4,0,0.0,0,0.0,-7,-1.2,-368,-1.2
"29089","1","102","72","0","2000","A","","Howard County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,49,1452666,0,0,575,29901,"",6.78,0.94,1.07,0.00,0.00,1.15,1.15,"",0,0.0,7,16.7,171297,13.4,0,0.0,0,0.0,-7,-1.2,-368,-1.2
"29089","1","1021","73","0","2000","A","","Howard County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,28,856859,0,0,580,30153,"",9.64,1.55,2.00,0.00,0.00,1.27,1.27,"",0,0.0,-1,-3.4,-5746,-0.7,0,0.0,0,0.0,6,1.0,322,1.1
"29089","1","1024","73","0","2000","A","","Howard County, Missouri","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,5,163965,0,0,676,35135,"",19.21,4.71,5.35,0.00,0.00,1.21,1.22,"",0,0.0,0,0.0,9773,6.3,0,0.0,0,0.0,83,14.0,4297,13.9
"29089","1","1028","73","0","2000","A","","Howard County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,16,431842,0,0,536,27861,"",4.67,0.60,0.58,0.00,0.00,1.00,1.00,"",0,0.0,8,100.0,167270,63.2,0,0.0,0,0.0,-69,-11.4,-3573,-11.4
"29089","1","48-49","74","0","2000","A","","Howard County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,28,856859,0,0,580,30153,"",9.96,1.67,2.10,0.00,0.00,1.24,1.24,"",0,0.0,-1,-3.4,-5746,-0.7,0,0.0,0,0.0,6,1.0,322,1.1
"29089","1","491","75","0","2000","A","","Howard County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,28,856859,0,0,580,30153,"",10.14,1.72,2.22,0.00,0.00,1.27,1.27,"",0,0.0,-1,-3.4,-5746,-0.7,0,0.0,0,0.0,6,1.0,322,1.1
"29089","1","4911","76","0","2000","A","","Howard County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,28,856859,0,0,580,30153,"",10.14,1.72,2.22,0.00,0.00,1.27,1.27,"",0,0.0,-1,-3.4,-5746,-0.7,0,0.0,0,0.0,6,1.0,322,1.1
"29089","1","49111","77","0","2000","A","","Howard County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,28,856859,0,0,580,30153,"",10.14,1.72,2.22,0.00,0.00,1.27,1.27,"",0,0.0,-1,-3.4,-5746,-0.7,0,0.0,0,0.0,6,1.0,322,1.1
"29089","1","491110","78","0","2000","A","","Howard County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,28,856859,0,0,580,30153,"",10.14,1.72,2.22,0.00,0.00,1.27,1.27,"",0,0.0,-1,-3.4,-5746,-0.7,0,0.0,0,0.0,6,1.0,322,1.1
"29089","1","54","74","0","2000","A","","Howard County, Missouri","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,5,163965,0,0,676,35135,"",20.14,4.86,5.40,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,9773,6.3,0,0.0,0,0.0,83,14.0,4297,13.9
"29089","1","541","75","0","2000","A","","Howard County, Missouri","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,5,163965,0,0,676,35135,"",20.14,4.86,5.40,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,9773,6.3,0,0.0,0,0.0,83,14.0,4297,13.9
"29089","1","5413","76","0","2000","A","","Howard County, Missouri","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,5,163965,0,0,676,35135,"",33.27,7.53,8.65,0.00,0.00,1.23,1.23,"",0,0.0,0,0.0,9773,6.3,0,0.0,0,0.0,83,14.0,4297,13.9
"29089","1","54133","77","0","2000","A","","Howard County, Missouri","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,5,163965,0,0,676,35135,"",33.74,8.00,9.15,0.00,0.00,1.22,1.23,"",0,0.0,0,0.0,9773,6.3,0,0.0,0,0.0,83,14.0,4297,13.9
"29089","1","541330","78","0","2000","A","","Howard County, Missouri","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,5,163965,0,0,676,35135,"",33.74,8.00,9.15,0.00,0.00,1.22,1.23,"",0,0.0,0,0.0,9773,6.3,0,0.0,0,0.0,83,14.0,4297,13.9
"29089","1","92","74","0","2000","A","","Howard County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,16,431842,0,0,536,27861,"",4.67,0.60,0.58,0.00,0.00,1.00,1.00,"",0,0.0,8,100.0,167270,63.2,0,0.0,0,0.0,-69,-11.4,-3573,-11.4
"29089","1","924","75","0","2000","A","","Howard County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,12,316946,0,0,515,26784,"",10.26,5.81,5.86,0.00,0.00,1.02,1.02,"",0,0.0,5,71.4,99339,45.7,0,0.0,0,0.0,-49,-8.7,-2556,-8.7
"29089","1","9241","76","0","2000","A","","Howard County, Missouri","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,12,316946,0,0,515,26784,"",10.26,5.81,5.86,0.00,0.00,1.02,1.02,"",0,0.0,5,71.4,99339,45.7,0,0.0,0,0.0,-49,-8.7,-2556,-8.7
"29089","1","92412","77","0","2000","A","","Howard County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,316946,0,0,515,26784,"",10.46,6.88,7.50,0.00,0.00,1.10,1.11,"",0,0.0,5,71.4,99339,45.7,0,0.0,0,0.0,-49,-8.7,-2556,-8.7
"29089","1","924120","78","0","2000","A","","Howard County, Missouri","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,316946,0,0,515,26784,"",10.46,6.88,7.50,0.00,0.00,1.10,1.11,"",0,0.0,5,71.4,99339,45.7,0,0.0,0,0.0,-49,-8.7,-2556,-8.7
"29089","1","926","75","0","2000","A","","Howard County, Missouri","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,4,114896,0,0,603,31335,"",5.81,0.77,0.93,0.00,0.00,1.31,1.31,"",0,0.0,3,300.0,67931,144.6,0,0.0,0,0.0,-300,-33.2,-15630,-33.3
"29089","1","9261","76","0","2000","A","","Howard County, Missouri","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,4,114896,0,0,603,31335,"",5.81,0.77,0.93,0.00,0.00,1.31,1.31,"",0,0.0,3,300.0,67931,144.6,0,0.0,0,0.0,-300,-33.2,-15630,-33.3
"29089","1","92614","77","0","2000","A","","Howard County, Missouri","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,46737,0,0,899,46737,"",7.47,1.03,1.81,0.00,0.00,1.75,1.75,"",0,0.0,0,0.0,679,1.5,0,0.0,0,0.0,13,1.5,679,1.5
"29089","1","926140","78","0","2000","A","","Howard County, Missouri","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,46737,0,0,899,46737,"",7.47,1.03,1.81,0.00,0.00,1.75,1.75,"",0,0.0,0,0.0,679,1.5,0,0.0,0,0.0,13,1.5,679,1.5
"29089","3","102","72","0","2000","A","","Howard County, Missouri","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",24,437,8206955,0,0,361,18773,"",5.41,1.89,1.94,0.00,0.00,1.02,1.03,"",0,0.0,-2,-0.5,262744,3.3,0,0.0,0,0.0,13,3.7,684,3.8
"29089","3","1028","73","0","2000","A","","Howard County, Missouri","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,139,1838549,0,0,254,13211,"",8.20,2.06,1.40,0.00,0.00,0.68,0.68,"",0,0.0,-6,-4.1,63368,3.6,0,0.0,0,0.0,18,7.6,933,7.6
"29089","3","92","74","0","2000","A","","Howard County, Missouri","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",15,139,1838549,0,0,254,13211,"",8.20,2.06,1.40,0.00,0.00,0.68,0.68,"",0,0.0,-6,-4.1,63368,3.6,0,0.0,0,0.0,18,7.6,933,7.6
"29089","3","921","75","0","2000","A","","Howard County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,89,1386124,0,0,300,15618,"",5.29,1.93,1.68,0.00,0.00,0.87,0.87,"",0,0.0,-1,-1.1,55798,4.2,0,0.0,0,0.0,14,4.9,768,5.2
"29089","3","9211","76","0","2000","A","","Howard County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,89,1386124,0,0,300,15618,"",5.29,1.93,1.68,0.00,0.00,0.87,0.87,"",0,0.0,-1,-1.1,55798,4.2,0,0.0,0,0.0,14,4.9,768,5.2
"29089","5","10","71","0","2000","A","","Howard County, Missouri","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",209,1863,36875048,0,0,381,19797,"",0.84,0.92,0.91,0.00,0.00,0.99,0.99,"",-2,-0.9,-70,-3.6,-706006,-1.9,0,0.0,0,0.0,7,1.9,359,1.8
