"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29199","0","10","70","0","2000","A","","Scotland County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",152,1292,22952827,0,0,342,17770,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.7,20,1.6,703577,3.2,0,0.0,0,0.0,6,1.8,275,1.6
"29199","1","10","71","0","2000","A","","Scotland County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,34,934035,0,0,528,27472,"",6.21,1.19,1.41,0.00,0.00,1.18,1.18,"",0,0.0,4,13.3,79135,9.3,0,0.0,0,0.0,-29,-5.2,-1508,-5.2
"29199","1","102","72","0","2000","A","","Scotland County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,34,934035,0,0,528,27472,"",6.23,1.21,1.44,0.00,0.00,1.18,1.18,"",0,0.0,4,13.3,79135,9.3,0,0.0,0,0.0,-29,-5.2,-1508,-5.2
"29199","1","1021","73","0","2000","A","","Scotland County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,20,566551,0,0,554,28808,"",8.12,2.06,2.76,0.00,0.00,1.36,1.37,"",0,0.0,0,0.0,10126,1.8,0,0.0,0,0.0,12,2.2,635,2.3
"29199","1","1028","73","0","2000","A","","Scotland County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,14,367484,0,0,493,25638,"",5.90,0.97,1.03,0.00,0.00,1.03,1.03,"",0,0.0,4,40.0,69009,23.1,0,0.0,0,0.0,-96,-16.3,-4975,-16.3
"29199","1","48-49","74","0","2000","A","","Scotland County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,20,566551,0,0,554,28808,"",8.38,2.22,2.90,0.00,0.00,1.33,1.33,"",0,0.0,0,0.0,10126,1.8,0,0.0,0,0.0,12,2.2,635,2.3
"29199","1","491","75","0","2000","A","","Scotland County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,20,566551,0,0,554,28808,"",8.54,2.29,3.06,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,10126,1.8,0,0.0,0,0.0,12,2.2,635,2.3
"29199","1","4911","76","0","2000","A","","Scotland County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,20,566551,0,0,554,28808,"",8.54,2.29,3.06,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,10126,1.8,0,0.0,0,0.0,12,2.2,635,2.3
"29199","1","49111","77","0","2000","A","","Scotland County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,20,566551,0,0,554,28808,"",8.54,2.29,3.06,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,10126,1.8,0,0.0,0,0.0,12,2.2,635,2.3
"29199","1","491110","78","0","2000","A","","Scotland County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,20,566551,0,0,554,28808,"",8.54,2.29,3.06,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,10126,1.8,0,0.0,0,0.0,12,2.2,635,2.3
