"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"29209","0","10","70","0","2000","A","","Stone County, Missouri","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",707,6379,128105268,0,0,386,20081,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",11,1.6,-213,-3.2,3394941,2.7,0,0.0,0,0.0,22,6.0,1161,6.1
"29209","1","10","71","0","2000","A","","Stone County, Missouri","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,41,1161095,0,0,548,28493,"",2.89,0.29,0.31,0.00,0.00,1.08,1.08,"",1,8.3,3,7.9,112411,10.7,0,0.0,0,0.0,15,2.8,774,2.8
"29209","1","102","72","0","2000","A","","Stone County, Missouri","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,41,1161095,0,0,548,28493,"",2.90,0.30,0.32,0.00,0.00,1.09,1.09,"",1,8.3,3,7.9,112411,10.7,0,0.0,0,0.0,15,2.8,774,2.8
"29209","1","1021","73","0","2000","A","","Stone County, Missouri","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",10,39,1137027,0,0,559,29092,"",5.82,0.81,0.99,0.00,0.00,1.22,1.22,"",0,0.0,2,5.4,104212,10.1,0,0.0,0,0.0,28,5.3,1489,5.4
"29209","1","1028","73","0","2000","A","","Stone County, Missouri","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,2,24068,0,0,278,14441,"",1.27,0.03,0.01,0.00,0.00,0.52,0.52,"",1,50.0,2,100.0,8199,51.7,0,0.0,0,0.0,-454,-62.0,-23645,-62.1
"29209","1","48-49","74","0","2000","A","","Stone County, Missouri","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",10,39,1137027,0,0,559,29092,"",6.01,0.88,1.04,0.00,0.00,1.19,1.19,"",0,0.0,2,5.4,104212,10.1,0,0.0,0,0.0,28,5.3,1489,5.4
"29209","1","491","75","0","2000","A","","Stone County, Missouri","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,39,1137027,0,0,559,29092,"",6.12,0.90,1.10,0.00,0.00,1.22,1.22,"",0,0.0,2,5.4,104212,10.1,0,0.0,0,0.0,28,5.3,1489,5.4
"29209","1","4911","76","0","2000","A","","Stone County, Missouri","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,39,1137027,0,0,559,29092,"",6.12,0.90,1.10,0.00,0.00,1.22,1.22,"",0,0.0,2,5.4,104212,10.1,0,0.0,0,0.0,28,5.3,1489,5.4
"29209","1","49111","77","0","2000","A","","Stone County, Missouri","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,39,1137027,0,0,559,29092,"",6.12,0.90,1.10,0.00,0.00,1.22,1.22,"",0,0.0,2,5.4,104212,10.1,0,0.0,0,0.0,28,5.3,1489,5.4
"29209","1","491110","78","0","2000","A","","Stone County, Missouri","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",10,39,1137027,0,0,559,29092,"",6.12,0.90,1.10,0.00,0.00,1.22,1.22,"",0,0.0,2,5.4,104212,10.1,0,0.0,0,0.0,28,5.3,1489,5.4
"29209","1","92","74","0","2000","A","","Stone County, Missouri","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,2,24068,0,0,278,14441,"",1.27,0.03,0.01,0.00,0.00,0.52,0.52,"",1,50.0,2,100.0,8199,51.7,0,0.0,0,0.0,-454,-62.0,-23645,-62.1
"29209","1","922","75","0","2000","A","","Stone County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,7528,0,0,193,10037,"",3.75,0.14,0.03,0.00,0.00,0.30,0.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29209","1","9221","76","0","2000","A","","Stone County, Missouri","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,7528,0,0,193,10037,"",3.75,0.14,0.03,0.00,0.00,0.30,0.30,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29209","1","92213","77","0","2000","A","","Stone County, Missouri","Federal Government","Legal counsel and prosecution","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,7528,0,0,193,10037,"",40.07,0.84,0.17,0.00,0.00,0.26,0.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29209","1","922130","78","0","2000","A","","Stone County, Missouri","Federal Government","Legal counsel and prosecution","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,7528,0,0,193,10037,"",40.07,0.84,0.17,0.00,0.00,0.26,0.26,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29209","2","10","71","0","2000","A","","Stone County, Missouri","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,67,1698367,0,0,487,25317,"",1.72,0.31,0.38,0.00,0.00,1.23,1.23,"",0,0.0,-1,-1.5,31524,1.9,0,0.0,0,0.0,18,3.8,954,3.9
"29209","3","10","71","0","2000","A","","Stone County, Missouri","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",26,895,20881862,0,0,449,23343,"",2.05,1.44,1.83,0.00,0.00,1.27,1.27,"",0,0.0,29,3.3,1503753,7.8,0,0.0,0,0.0,19,4.4,971,4.3
"29209","3","1025","73","0","2000","A","","Stone County, Missouri","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",8,659,16168664,0,0,472,24535,"",1.64,1.70,2.33,0.00,0.00,1.37,1.37,"",0,0.0,23,3.6,1003069,6.6,0,0.0,0,0.0,14,3.1,705,3.0
"29209","3","1028","73","0","2000","A","","Stone County, Missouri","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",13,179,3614334,0,0,388,20182,"",2.57,1.00,1.03,0.00,0.00,1.03,1.03,"",0,0.0,5,2.9,429574,13.5,0,0.0,0,0.0,35,9.9,1844,10.1
"29209","3","6111","76","0","2000","A","","Stone County, Missouri","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,644,15835686,0,0,473,24574,"",1.42,1.97,2.70,0.00,0.00,1.37,1.37,"",0,0.0,22,3.5,1003903,6.8,0,0.0,0,0.0,14,3.1,719,3.0
"29209","3","61111","77","0","2000","A","","Stone County, Missouri","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,644,15835686,0,0,473,24574,"",1.42,1.97,2.70,0.00,0.00,1.37,1.37,"",0,0.0,22,3.5,1003903,6.8,0,0.0,0,0.0,14,3.1,719,3.0
"29209","3","611110","78","0","2000","A","","Stone County, Missouri","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,644,15835686,0,0,473,24574,"",1.42,1.97,2.70,0.00,0.00,1.37,1.37,"",0,0.0,22,3.5,1003903,6.8,0,0.0,0,0.0,14,3.1,719,3.0
"29209","3","92","74","0","2000","A","","Stone County, Missouri","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",13,179,3614334,0,0,388,20182,"",2.57,1.00,1.03,0.00,0.00,1.03,1.03,"",0,0.0,5,2.9,429574,13.5,0,0.0,0,0.0,35,9.9,1844,10.1
"29209","3","921","75","0","2000","A","","Stone County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,105,2028823,0,0,373,19415,"",2.55,0.86,0.92,0.00,0.00,1.08,1.08,"",0,0.0,-6,-5.4,41151,2.1,0,0.0,0,0.0,28,8.1,1468,8.2
"29209","3","9211","76","0","2000","A","","Stone County, Missouri","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,105,2028823,0,0,373,19415,"",2.55,0.86,0.92,0.00,0.00,1.08,1.08,"",0,0.0,-6,-5.4,41151,2.1,0,0.0,0,0.0,28,8.1,1468,8.2
"29209","5","10","71","0","2000","A","","Stone County, Missouri","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",658,5377,104363944,0,0,373,19409,"",0.96,1.00,0.96,0.00,0.00,0.96,0.97,"",10,1.5,-242,-4.3,1747253,1.7,0,0.0,0,0.0,22,6.3,1147,6.3
