"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"30099","0","10","70","0","2000","A","","Teton County, Montana","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",231,1581,30923418,0,0,376,19566,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,4.1,-50,-3.1,687491,2.3,0,0.0,0,0.0,20,5.6,1030,5.6
"30099","1","10","71","0","2000","A","","Teton County, Montana","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",14,71,2218241,0,0,602,31280,"",9.54,2.03,2.48,0.00,0.00,1.22,1.22,"",1,7.7,7,10.9,363283,19.6,0,0.0,0,0.0,42,7.5,2183,7.5
"30099","1","102","72","0","2000","A","","Teton County, Montana","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",14,71,2218241,0,0,602,31280,"",9.56,2.07,2.53,0.00,0.00,1.23,1.22,"",1,7.7,7,10.9,363283,19.6,0,0.0,0,0.0,42,7.5,2183,7.5
"30099","1","1021","73","0","2000","A","","Teton County, Montana","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,24,622658,0,0,494,25677,"",10.68,2.02,2.26,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,28254,4.8,0,0.0,0,0.0,14,2.9,737,3.0
"30099","1","1023","73","0","2000","A","","Teton County, Montana","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,72725,0,0,579,30093,"",31.83,10.80,11.50,0.00,0.00,0.88,0.88,"",0,0.0,-1,-33.3,-4762,-6.1,0,0.0,0,0.0,-17,-2.9,-902,-2.9
"30099","1","1028","73","0","2000","A","","Teton County, Montana","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,44,1522858,0,0,662,34415,"",9.05,2.49,3.15,0.00,0.00,1.26,1.26,"",1,16.7,7,18.9,339791,28.7,0,0.0,0,0.0,54,8.9,2796,8.8
"30099","1","48-49","74","0","2000","A","","Teton County, Montana","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,24,622658,0,0,494,25677,"",11.03,2.17,2.37,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,28254,4.8,0,0.0,0,0.0,14,2.9,737,3.0
"30099","1","491","75","0","2000","A","","Teton County, Montana","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,24,622658,0,0,494,25677,"",11.24,2.24,2.50,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,28254,4.8,0,0.0,0,0.0,14,2.9,737,3.0
"30099","1","4911","76","0","2000","A","","Teton County, Montana","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,24,622658,0,0,494,25677,"",11.24,2.24,2.50,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,28254,4.8,0,0.0,0,0.0,14,2.9,737,3.0
"30099","1","49111","77","0","2000","A","","Teton County, Montana","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,24,622658,0,0,494,25677,"",11.24,2.24,2.50,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,28254,4.8,0,0.0,0,0.0,14,2.9,737,3.0
"30099","1","491110","78","0","2000","A","","Teton County, Montana","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,24,622658,0,0,494,25677,"",11.24,2.24,2.50,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,28254,4.8,0,0.0,0,0.0,14,2.9,737,3.0
"30099","1","52","74","0","2000","A","","Teton County, Montana","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,72725,0,0,579,30093,"",32.06,11.02,11.55,0.00,0.00,0.87,0.87,"",0,0.0,-1,-33.3,-4762,-6.1,0,0.0,0,0.0,-17,-2.9,-902,-2.9
"30099","1","522","75","0","2000","A","","Teton County, Montana","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,72725,0,0,579,30093,"",37.03,22.72,29.62,0.00,0.00,1.08,1.08,"",0,0.0,-1,-33.3,-4762,-6.1,0,0.0,0,0.0,-17,-2.9,-902,-2.9
"30099","1","5222","76","0","2000","A","","Teton County, Montana","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,72725,0,0,579,30093,"",37.11,23.32,30.61,0.00,0.00,1.09,1.09,"",0,0.0,-1,-33.3,-4762,-6.1,0,0.0,0,0.0,-17,-2.9,-902,-2.9
"30099","1","52229","77","0","2000","A","","Teton County, Montana","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,72725,0,0,579,30093,"",37.11,23.32,30.61,0.00,0.00,1.09,1.09,"",0,0.0,-1,-33.3,-4762,-6.1,0,0.0,0,0.0,-17,-2.9,-902,-2.9
"30099","1","522292","78","0","2000","A","","Teton County, Montana","Federal Government","Real estate credit","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,72725,0,0,579,30093,"",73.26,37.67,52.33,0.00,0.00,1.15,1.15,"",0,0.0,-1,-33.3,-4762,-6.1,0,0.0,0,0.0,-17,-2.9,-902,-2.9
"30099","1","92","74","0","2000","A","","Teton County, Montana","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",7,44,1522858,0,0,662,34415,"",9.05,2.49,3.15,0.00,0.00,1.26,1.26,"",1,16.7,7,18.9,339791,28.7,0,0.0,0,0.0,54,8.9,2796,8.8
"30099","1","924","75","0","2000","A","","Teton County, Montana","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,39,1365681,0,0,682,35472,"",17.06,28.64,39.06,0.00,0.00,1.38,1.38,"",0,0.0,4,11.4,319290,30.5,0,0.0,0,0.0,99,17.0,5142,17.0
"30099","1","9241","76","0","2000","A","","Teton County, Montana","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,39,1365681,0,0,682,35472,"",17.06,28.64,39.06,0.00,0.00,1.38,1.38,"",0,0.0,4,11.4,319290,30.5,0,0.0,0,0.0,99,17.0,5142,17.0
"30099","1","92412","77","0","2000","A","","Teton County, Montana","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,39,1365681,0,0,682,35472,"",17.39,33.93,50.01,0.00,0.00,1.49,1.49,"",0,0.0,4,11.4,319290,30.5,0,0.0,0,0.0,99,17.0,5142,17.0
