"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31077","0","10","70","0","2000","A","","Greeley County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",104,645,11147430,0,0,332,17290,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,4.0,-12,-1.8,294231,2.7,0,0.0,0,0.0,14,4.4,773,4.7
"31077","1","10","71","0","2000","A","","Greeley County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,23,578732,0,0,493,25627,"",6.05,1.62,1.80,0.00,0.00,1.13,1.13,"",1,33.3,6,35.3,143481,33.0,0,0.0,0,0.0,12,2.5,637,2.5
"31077","1","102","72","0","2000","A","","Greeley County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,23,578732,0,0,493,25627,"",6.07,1.65,1.83,0.00,0.00,1.14,1.14,"",1,33.3,6,35.3,143481,33.0,0,0.0,0,0.0,12,2.5,637,2.5
"31077","1","1021","73","0","2000","A","","Greeley County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,14,367890,0,0,518,26919,"",3.96,2.88,3.70,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,35941,10.8,0,0.0,0,0.0,59,12.9,3066,12.9
"31077","1","1028","73","0","2000","A","","Greeley County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,9,210842,0,0,455,23646,"",8.62,1.25,1.21,0.00,0.00,0.98,0.98,"",1,50.0,5,125.0,107540,104.1,0,0.0,0,0.0,-113,-19.9,-5869,-19.9
"31077","1","48-49","74","0","2000","A","","Greeley County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,14,367890,0,0,518,26919,"",4.08,3.11,3.88,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,35941,10.8,0,0.0,0,0.0,59,12.9,3066,12.9
"31077","1","491","75","0","2000","A","","Greeley County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,367890,0,0,518,26919,"",4.16,3.20,4.10,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,35941,10.8,0,0.0,0,0.0,59,12.9,3066,12.9
"31077","1","4911","76","0","2000","A","","Greeley County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,367890,0,0,518,26919,"",4.16,3.20,4.10,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,35941,10.8,0,0.0,0,0.0,59,12.9,3066,12.9
"31077","1","49111","77","0","2000","A","","Greeley County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,367890,0,0,518,26919,"",4.16,3.20,4.10,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,35941,10.8,0,0.0,0,0.0,59,12.9,3066,12.9
"31077","1","491110","78","0","2000","A","","Greeley County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,367890,0,0,518,26919,"",4.16,3.20,4.10,0.00,0.00,1.31,1.31,"",0,0.0,0,0.0,35941,10.8,0,0.0,0,0.0,59,12.9,3066,12.9
