"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31085","0","10","70","0","2000","A","","Hayes County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",36,204,3736679,0,0,352,18325,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,16.1,7,3.6,168895,4.7,0,0.0,0,0.0,3,0.9,191,1.1
"31085","1","10","71","0","2000","A","","Hayes County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,10,277048,0,0,561,29163,"",17.48,2.22,2.57,0.00,0.00,1.22,1.22,"",-1,-20.0,-3,-23.1,-73572,-21.0,0,0.0,0,0.0,49,9.6,2534,9.5
"31085","1","102","72","0","2000","A","","Hayes County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,10,277048,0,0,561,29163,"",17.53,2.26,2.62,0.00,0.00,1.22,1.22,"",-1,-20.0,-3,-23.1,-73572,-21.0,0,0.0,0,0.0,49,9.6,2534,9.5
"31085","1","1021","73","0","2000","A","","Hayes County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,53021,0,0,510,26511,"",11.43,1.30,1.59,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,2229,4.4,0,0.0,0,0.0,0,0.0,11,0.0
"31085","1","1028","73","0","2000","A","","Hayes County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,8,224027,0,0,574,29870,"",24.90,3.51,3.84,0.00,0.00,1.17,1.17,"",-1,-25.0,-3,-27.3,-75801,-25.3,0,0.0,0,0.0,61,11.9,3219,12.1
"31085","1","48-49","74","0","2000","A","","Hayes County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,53021,0,0,510,26511,"",11.80,1.40,1.67,0.00,0.00,1.19,1.19,"",0,0.0,0,0.0,2229,4.4,0,0.0,0,0.0,0,0.0,11,0.0
"31085","1","491","75","0","2000","A","","Hayes County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,53021,0,0,510,26511,"",12.02,1.45,1.76,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,2229,4.4,0,0.0,0,0.0,0,0.0,11,0.0
"31085","1","4911","76","0","2000","A","","Hayes County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,53021,0,0,510,26511,"",12.02,1.45,1.76,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,2229,4.4,0,0.0,0,0.0,0,0.0,11,0.0
"31085","1","49111","77","0","2000","A","","Hayes County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,53021,0,0,510,26511,"",12.02,1.45,1.76,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,2229,4.4,0,0.0,0,0.0,0,0.0,11,0.0
"31085","1","491110","78","0","2000","A","","Hayes County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,53021,0,0,510,26511,"",12.02,1.45,1.76,0.00,0.00,1.22,1.22,"",0,0.0,0,0.0,2229,4.4,0,0.0,0,0.0,0,0.0,11,0.0
"31085","1","92","74","0","2000","A","","Hayes County, Nebraska","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,8,224027,0,0,574,29870,"",24.90,3.51,3.84,0.00,0.00,1.17,1.17,"",-1,-25.0,-3,-27.3,-75801,-25.3,0,0.0,0,0.0,61,11.9,3219,12.1
"31085","1","924","75","0","2000","A","","Hayes County, Nebraska","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,221628,0,0,581,30222,"",72.97,39.84,52.45,0.00,0.00,1.26,1.26,"",0,0.0,-4,-36.4,-78024,-26.0,0,0.0,0,0.0,69,13.5,3586,13.5
"31085","1","9241","76","0","2000","A","","Hayes County, Nebraska","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,221628,0,0,581,30222,"",72.97,39.84,52.45,0.00,0.00,1.26,1.26,"",0,0.0,-4,-36.4,-78024,-26.0,0,0.0,0,0.0,69,13.5,3586,13.5
