"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31111","0","10","70","0","2000","A","","Lincoln County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1004,13007,290846141,0,0,430,22361,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",21,2.1,-269,-2.0,9982029,3.6,0,0.0,0,0.0,23,5.7,1205,5.7
"31111","1","10","71","0","2000","A","","Lincoln County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",18,266,10068989,0,0,727,37818,"",2.82,0.93,1.20,0.00,0.00,1.29,1.29,"",1,5.9,30,12.7,822160,8.9,0,0.0,0,0.0,-25,-3.3,-1308,-3.3
"31111","1","102","72","0","2000","A","","Lincoln County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",18,266,10068989,0,0,727,37818,"",2.83,0.94,1.22,0.00,0.00,1.29,1.30,"",1,5.9,30,12.7,822160,8.9,0,0.0,0,0.0,-25,-3.3,-1308,-3.3
"31111","1","1021","73","0","2000","A","","Lincoln County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,126,4677810,0,0,715,37199,"",0.41,1.29,1.80,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,190682,4.2,0,0.0,0,0.0,31,4.5,1610,4.5
"31111","1","1023","73","0","2000","A","","Lincoln County, Nebraska","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,6,229667,0,0,757,39371,"",7.32,3.94,3.86,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,8687,3.9,0,0.0,0,0.0,49,6.9,2541,6.9
"31111","1","1024","73","0","2000","A","","Lincoln County, Nebraska","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,22,1266839,0,0,1124,58469,"",4.90,3.82,6.80,0.00,0.00,1.80,1.81,"",0,0.0,0,0.0,107261,9.3,0,0.0,0,0.0,91,8.8,4743,8.8
"31111","1","1028","73","0","2000","A","","Lincoln County, Nebraska","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,113,3894673,0,0,663,34466,"",4.46,0.78,0.86,0.00,0.00,1.10,1.10,"",1,7.1,30,36.1,515530,15.3,0,0.0,0,0.0,-123,-15.6,-6411,-15.7
"31111","1","48-49","74","0","2000","A","","Lincoln County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,126,4677810,0,0,715,37199,"",0.42,1.39,1.89,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,190682,4.2,0,0.0,0,0.0,31,4.5,1610,4.5
"31111","1","491","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,126,4677810,0,0,715,37199,"",0.43,1.43,2.00,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,190682,4.2,0,0.0,0,0.0,31,4.5,1610,4.5
"31111","1","4911","76","0","2000","A","","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,126,4677810,0,0,715,37199,"",0.43,1.43,2.00,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,190682,4.2,0,0.0,0,0.0,31,4.5,1610,4.5
"31111","1","49111","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,126,4677810,0,0,715,37199,"",0.43,1.43,2.00,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,190682,4.2,0,0.0,0,0.0,31,4.5,1610,4.5
"31111","1","491110","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,126,4677810,0,0,715,37199,"",0.43,1.43,2.00,0.00,0.00,1.40,1.40,"",0,0.0,0,0.0,190682,4.2,0,0.0,0,0.0,31,4.5,1610,4.5
"31111","1","52","74","0","2000","A","","Lincoln County, Nebraska","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,6,229667,0,0,757,39371,"",7.38,4.02,3.88,0.00,0.00,0.99,0.99,"",0,0.0,0,0.0,8687,3.9,0,0.0,0,0.0,49,6.9,2541,6.9
"31111","1","522","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,6,229667,0,0,757,39371,"",8.52,8.28,9.95,0.00,0.00,1.23,1.24,"",0,0.0,0,0.0,8687,3.9,0,0.0,0,0.0,49,6.9,2541,6.9
"31111","1","5222","76","0","2000","A","","Lincoln County, Nebraska","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,6,229667,0,0,757,39371,"",8.54,8.50,10.28,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,8687,3.9,0,0.0,0,0.0,49,6.9,2541,6.9
"31111","1","52229","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Other nondepository credit intermediation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,229667,0,0,757,39371,"",8.54,8.50,10.28,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,8687,3.9,0,0.0,0,0.0,49,6.9,2541,6.9
"31111","1","522294","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Secondary market financing","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,229667,0,0,757,39371,"",50.79,65.98,87.35,0.00,0.00,1.36,1.36,"",0,0.0,0,0.0,8687,3.9,0,0.0,0,0.0,49,6.9,2541,6.9
"31111","1","54","74","0","2000","A","","Lincoln County, Nebraska","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,1266839,0,0,1124,58469,"",5.13,3.95,6.87,0.00,0.00,1.77,1.77,"",0,0.0,0,0.0,107261,9.3,0,0.0,0,0.0,91,8.8,4743,8.8
"31111","1","541","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,1266839,0,0,1124,58469,"",5.13,3.95,6.87,0.00,0.00,1.77,1.77,"",0,0.0,0,0.0,107261,9.3,0,0.0,0,0.0,91,8.8,4743,8.8
"31111","1","5416","76","0","2000","A","","Lincoln County, Nebraska","Federal Government","Management and technical consulting services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,1266839,0,0,1124,58469,"",78.72,195.44,338.05,0.00,0.00,1.76,1.76,"",0,0.0,0,0.0,107261,9.3,0,0.0,0,0.0,91,8.8,4743,8.8
"31111","1","54161","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Management consulting services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,1266839,0,0,1124,58469,"",138.10,708.64,1855.25,0.00,0.00,2.65,2.65,"",0,0.0,0,0.0,107261,9.3,0,0.0,0,0.0,91,8.8,4743,8.8
"31111","1","541612","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Human resources consulting services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,1266839,0,0,1124,58469,"",191.99,882.24,2239.30,0.00,0.00,2.57,2.57,"",0,0.0,0,0.0,107261,9.3,0,0.0,0,0.0,91,8.8,4743,8.8
"31111","1","92","74","0","2000","A","","Lincoln County, Nebraska","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",15,113,3894673,0,0,663,34466,"",4.46,0.78,0.86,0.00,0.00,1.10,1.10,"",1,7.1,30,36.1,515530,15.3,0,0.0,0,0.0,-123,-15.6,-6411,-15.7
"31111","1","921","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,13,588382,0,0,865,44972,"",7.57,0.65,0.95,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,6074,1.0,0,0.0,0,0.0,-8,-0.9,-403,-0.9
"31111","1","9211","76","0","2000","A","","Lincoln County, Nebraska","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,13,588382,0,0,865,44972,"",7.57,0.65,0.95,0.00,0.00,1.45,1.45,"",0,0.0,0,0.0,6074,1.0,0,0.0,0,0.0,-8,-0.9,-403,-0.9
"31111","1","92113","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,7,387272,0,0,1064,55325,"",8.81,0.51,0.90,0.00,0.00,1.76,1.76,"",0,0.0,-1,-12.5,-6200,-1.6,0,0.0,0,0.0,98,10.1,5095,10.1
"31111","1","921130","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,7,387272,0,0,1064,55325,"",8.81,0.51,0.90,0.00,0.00,1.76,1.76,"",0,0.0,-1,-12.5,-6200,-1.6,0,0.0,0,0.0,98,10.1,5095,10.1
"31111","1","92119","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Other general government support","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,6,201110,0,0,636,33059,"",6.72,1.38,1.50,0.00,0.00,1.08,1.08,"",0,0.0,1,20.0,12274,6.5,0,0.0,0,0.0,-90,-12.4,-4708,-12.5
"31111","1","921190","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Other general government support","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,6,201110,0,0,636,33059,"",6.72,1.38,1.50,0.00,0.00,1.08,1.08,"",0,0.0,1,20.0,12274,6.5,0,0.0,0,0.0,-90,-12.4,-4708,-12.5
"31111","1","922","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,796339,0,0,1425,74078,"",7.92,0.76,1.49,0.00,0.00,2.00,2.00,"",0,0.0,5,83.3,382437,92.4,0,0.0,0,0.0,151,11.9,7854,11.9
"31111","1","9221","76","0","2000","A","","Lincoln County, Nebraska","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,796339,0,0,1425,74078,"",7.92,0.76,1.49,0.00,0.00,2.00,2.00,"",0,0.0,5,83.3,382437,92.4,0,0.0,0,0.0,151,11.9,7854,11.9
"31111","1","92211","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Courts","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,76277,0,0,733,38139,"",17.42,0.59,0.65,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,4719,6.6,0,0.0,0,0.0,45,6.5,2360,6.6
"31111","1","922110","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Courts","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,76277,0,0,733,38139,"",17.42,0.59,0.65,0.00,0.00,1.10,1.10,"",0,0.0,0,0.0,4719,6.6,0,0.0,0,0.0,45,6.5,2360,6.6
"31111","1","92212","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Police protection","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,9,720062,0,0,1583,82293,"",15.37,1.78,3.56,0.00,0.00,2.06,2.06,"",0,0.0,5,125.0,377718,110.3,0,0.0,0,0.0,34,2.2,1741,2.2
"31111","1","922120","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Police protection","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,9,720062,0,0,1583,82293,"",15.37,1.78,3.56,0.00,0.00,2.06,2.06,"",0,0.0,5,125.0,377718,110.3,0,0.0,0,0.0,34,2.2,1741,2.2
"31111","1","923","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,14,294209,0,0,397,20646,"",3.67,1.03,0.69,0.00,0.00,0.66,0.66,"",0,0.0,2,16.7,-175112,-37.3,0,0.0,0,0.0,-382,-49.0,-19871,-49.0
"31111","1","9231","76","0","2000","A","","Lincoln County, Nebraska","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,14,294209,0,0,397,20646,"",3.67,1.03,0.69,0.00,0.00,0.66,0.66,"",0,0.0,2,16.7,-175112,-37.3,0,0.0,0,0.0,-382,-49.0,-19871,-49.0
"31111","1","92313","77","0","2000","A","","Lincoln County, Nebraska","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,14,294209,0,0,397,20646,"",4.96,1.88,1.47,0.00,0.00,0.77,0.77,"",0,0.0,2,16.7,-175112,-37.3,0,0.0,0,0.0,-382,-49.0,-19871,-49.0
"31111","1","923130","78","0","2000","A","","Lincoln County, Nebraska","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,14,294209,0,0,397,20646,"",4.96,1.88,1.47,0.00,0.00,0.77,0.77,"",0,0.0,2,16.7,-175112,-37.3,0,0.0,0,0.0,-382,-49.0,-19871,-49.0
"31111","1","924","75","0","2000","A","","Lincoln County, Nebraska","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,22,642871,0,0,560,29111,"",5.23,1.96,1.95,0.00,0.00,0.99,0.99,"",0,0.0,-1,-4.3,-56822,-8.1,0,0.0,0,0.0,-19,-3.3,-983,-3.3
