"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"31117","0","10","70","0","2000","A","","McPherson County, Nebraska","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",18,60,820285,0,0,263,13671,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,4,7.1,109146,15.3,0,0.0,0,0.0,20,8.2,1010,8.0
"31117","1","10","71","0","2000","A","","McPherson County, Nebraska","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",2,3,66320,0,0,403,20943,"",17.48,2.26,2.80,0.00,0.00,1.17,1.17,"",1,100.0,1,50.0,23892,56.3,0,0.0,0,0.0,-5,-1.2,-271,-1.3
"31117","1","102","72","0","2000","A","","McPherson County, Nebraska","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",2,3,66320,0,0,403,20943,"",17.53,2.31,2.86,0.00,0.00,1.17,1.17,"",1,100.0,1,50.0,23892,56.3,0,0.0,0,0.0,-5,-1.2,-271,-1.3
"31117","1","1021","73","0","2000","A","","McPherson County, Nebraska","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,2,52536,0,0,505,26268,"",22.85,4.43,7.17,0.00,0.00,1.62,1.62,"",0,0.0,0,0.0,10108,23.8,0,0.0,0,0.0,97,23.8,5054,23.8
"31117","1","48-49","74","0","2000","A","","McPherson County, Nebraska","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,2,52536,0,0,505,26268,"",23.60,4.77,7.52,0.00,0.00,1.57,1.58,"",0,0.0,0,0.0,10108,23.8,0,0.0,0,0.0,97,23.8,5054,23.8
"31117","1","491","75","0","2000","A","","McPherson County, Nebraska","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,52536,0,0,505,26268,"",24.03,4.92,7.95,0.00,0.00,1.61,1.62,"",0,0.0,0,0.0,10108,23.8,0,0.0,0,0.0,97,23.8,5054,23.8
"31117","1","4911","76","0","2000","A","","McPherson County, Nebraska","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,52536,0,0,505,26268,"",24.03,4.92,7.95,0.00,0.00,1.61,1.62,"",0,0.0,0,0.0,10108,23.8,0,0.0,0,0.0,97,23.8,5054,23.8
"31117","1","49111","77","0","2000","A","","McPherson County, Nebraska","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,52536,0,0,505,26268,"",24.03,4.92,7.95,0.00,0.00,1.61,1.62,"",0,0.0,0,0.0,10108,23.8,0,0.0,0,0.0,97,23.8,5054,23.8
"31117","1","491110","78","0","2000","A","","McPherson County, Nebraska","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,52536,0,0,505,26268,"",24.03,4.92,7.95,0.00,0.00,1.61,1.62,"",0,0.0,0,0.0,10108,23.8,0,0.0,0,0.0,97,23.8,5054,23.8
"31117","3","10","71","0","2000","A","","McPherson County, Nebraska","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,35,547319,0,0,299,15527,"",21.73,6.00,7.50,0.00,0.00,1.24,1.24,"",1,16.7,0,0.0,44644,8.9,0,0.0,0,0.0,25,9.1,1300,9.1
"31117","3","102","72","0","2000","A","","McPherson County, Nebraska","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,35,547319,0,0,299,15527,"",22.43,6.06,7.56,0.00,0.00,1.24,1.24,"",1,16.7,0,0.0,44644,8.9,0,0.0,0,0.0,25,9.1,1300,9.1
