"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"35059","0","10","70","0","2000","A","","Union County, New Mexico","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",178,1329,25206932,0,0,365,18966,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-1.1,6,0.5,1626557,6.9,0,0.0,0,0.0,22,6.4,1143,6.4
"35059","1","10","71","0","2000","A","","Union County, New Mexico","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,62,1747276,0,0,544,28296,"",7.96,2.11,2.40,0.00,0.00,1.14,1.14,"",0,0.0,4,6.9,169384,10.7,0,0.0,0,0.0,24,4.6,1246,4.6
"35059","1","102","72","0","2000","A","","Union County, New Mexico","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,62,1747276,0,0,544,28296,"",7.98,2.15,2.45,0.00,0.00,1.14,1.14,"",0,0.0,4,6.9,169384,10.7,0,0.0,0,0.0,24,4.6,1246,4.6
"35059","1","1021","73","0","2000","A","","Union County, New Mexico","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,22,570017,0,0,502,26108,"",2.31,2.20,2.53,0.00,0.00,1.16,1.16,"",0,0.0,-2,-8.3,37079,7.0,0,0.0,0,0.0,70,16.2,3669,16.4
"35059","1","1026","73","0","2000","A","","Union County, New Mexico","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,12,188556,0,0,315,16396,"",41.42,21.16,24.73,0.00,0.00,1.22,1.22,"",0,0.0,1,9.1,34512,22.4,0,0.0,0,0.0,39,14.1,2066,14.4
"35059","1","1028","73","0","2000","A","","Union County, New Mexico","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,28,988703,0,0,669,34793,"",11.75,1.88,2.51,0.00,0.00,1.31,1.31,"",0,0.0,4,16.7,97793,11.0,0,0.0,0,0.0,-50,-7.0,-2588,-6.9
"35059","1","48-49","74","0","2000","A","","Union County, New Mexico","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,22,570017,0,0,502,26108,"",2.39,2.37,2.66,0.00,0.00,1.13,1.13,"",0,0.0,-2,-8.3,37079,7.0,0,0.0,0,0.0,70,16.2,3669,16.4
"35059","1","491","75","0","2000","A","","Union County, New Mexico","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,22,570017,0,0,502,26108,"",2.43,2.44,2.81,0.00,0.00,1.16,1.16,"",0,0.0,-2,-8.3,37079,7.0,0,0.0,0,0.0,70,16.2,3669,16.4
"35059","1","4911","76","0","2000","A","","Union County, New Mexico","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,22,570017,0,0,502,26108,"",2.43,2.44,2.81,0.00,0.00,1.16,1.16,"",0,0.0,-2,-8.3,37079,7.0,0,0.0,0,0.0,70,16.2,3669,16.4
"35059","1","49111","77","0","2000","A","","Union County, New Mexico","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,22,570017,0,0,502,26108,"",2.43,2.44,2.81,0.00,0.00,1.16,1.16,"",0,0.0,-2,-8.3,37079,7.0,0,0.0,0,0.0,70,16.2,3669,16.4
"35059","1","491110","78","0","2000","A","","Union County, New Mexico","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,22,570017,0,0,502,26108,"",2.43,2.44,2.81,0.00,0.00,1.16,1.16,"",0,0.0,-2,-8.3,37079,7.0,0,0.0,0,0.0,70,16.2,3669,16.4
"35059","1","71","74","0","2000","A","","Union County, New Mexico","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",1,12,188556,0,0,315,16396,"",57.14,29.93,30.15,0.00,0.00,1.05,1.05,"",0,0.0,1,9.1,34512,22.4,0,0.0,0,0.0,39,14.1,2066,14.4
"35059","1","712","75","0","2000","A","","Union County, New Mexico","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,12,188556,0,0,315,16396,"",97.15,50.26,39.44,0.00,0.00,0.82,0.82,"",0,0.0,1,9.1,34512,22.4,0,0.0,0,0.0,39,14.1,2066,14.4
"35059","1","7121","76","0","2000","A","","Union County, New Mexico","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,12,188556,0,0,315,16396,"",97.15,50.26,39.44,0.00,0.00,0.82,0.82,"",0,0.0,1,9.1,34512,22.4,0,0.0,0,0.0,39,14.1,2066,14.4
"35059","1","71219","77","0","2000","A","","Union County, New Mexico","Federal Government","Nature parks and other similar institutions","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,12,188556,0,0,315,16396,"",109.09,73.84,63.68,0.00,0.00,0.90,0.90,"",0,0.0,1,9.1,34512,22.4,0,0.0,0,0.0,39,14.1,2066,14.4
"35059","1","712190","78","0","2000","A","","Union County, New Mexico","Federal Government","Nature parks and other similar institutions","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,12,188556,0,0,315,16396,"",109.09,73.84,63.68,0.00,0.00,0.90,0.90,"",0,0.0,1,9.1,34512,22.4,0,0.0,0,0.0,39,14.1,2066,14.4
