"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"37085","0","10","70","0","2000","A","","Harnett County, North Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1587,22255,530745359,0,0,459,23848,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",36,2.3,-161,-0.7,16159783,3.1,0,0.0,0,0.0,18,4.1,892,3.9
"37085","1","10","71","0","2000","A","","Harnett County, North Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",16,170,5322768,0,0,601,31234,"",1.59,0.35,0.35,0.00,0.00,1.00,1.00,"",-1,-5.9,49,40.5,1086497,25.6,0,0.0,0,0.0,-75,-11.1,-3897,-11.1
"37085","1","102","72","0","2000","A","","Harnett County, North Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",16,170,5322768,0,0,601,31234,"",1.59,0.35,0.35,0.00,0.00,1.00,1.00,"",-1,-5.9,49,40.5,1086497,25.6,0,0.0,0,0.0,-75,-11.1,-3897,-11.1
"37085","1","1021","73","0","2000","A","","Harnett County, North Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",9,105,3900784,0,0,713,37091,"",2.33,0.63,0.82,0.00,0.00,1.31,1.31,"",0,0.0,4,4.0,314424,8.8,0,0.0,0,0.0,31,4.5,1641,4.6
"37085","1","1023","73","0","2000","A","","Harnett County, North Carolina","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,"",4.63,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"37085","1","1028","73","0","2000","A","","Harnett County, North Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,65,1421984,0,0,419,21793,"",1.13,0.26,0.17,0.00,0.00,0.65,0.65,"",-1,-14.3,46,242.1,772073,118.8,0,0.0,0,0.0,-225,-34.9,-11679,-34.9
"37085","1","48-49","74","0","2000","A","","Harnett County, North Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",9,105,3900784,0,0,713,37091,"",2.41,0.68,0.86,0.00,0.00,1.27,1.28,"",0,0.0,4,4.0,314424,8.8,0,0.0,0,0.0,31,4.5,1641,4.6
"37085","1","491","75","0","2000","A","","Harnett County, North Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,105,3900784,0,0,713,37091,"",2.45,0.70,0.91,0.00,0.00,1.31,1.31,"",0,0.0,4,4.0,314424,8.8,0,0.0,0,0.0,31,4.5,1641,4.6
"37085","1","4911","76","0","2000","A","","Harnett County, North Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",9,105,3900784,0,0,713,37091,"",2.45,0.70,0.91,0.00,0.00,1.31,1.31,"",0,0.0,4,4.0,314424,8.8,0,0.0,0,0.0,31,4.5,1641,4.6
"37085","1","49111","77","0","2000","A","","Harnett County, North Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",9,105,3900784,0,0,713,37091,"",2.45,0.70,0.91,0.00,0.00,1.31,1.31,"",0,0.0,4,4.0,314424,8.8,0,0.0,0,0.0,31,4.5,1641,4.6
