"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38005","0","10","70","0","2000","A","","Benson County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",148,1837,39619912,0,0,415,21565,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.4,-49,-2.6,3278292,9.0,0,0.0,0,0.0,44,11.9,2297,11.9
"38005","1","10","71","0","2000","A","","Benson County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,130,4365549,0,0,647,33624,"",9.57,3.21,3.81,0.00,0.00,1.19,1.19,"",0,0.0,7,5.7,329639,8.2,0,0.0,0,0.0,18,2.9,900,2.8
"38005","1","102","72","0","2000","A","","Benson County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,130,4365549,0,0,647,33624,"",9.59,3.26,3.89,0.00,0.00,1.19,1.19,"",0,0.0,7,5.7,329639,8.2,0,0.0,0,0.0,18,2.9,900,2.8
"38005","1","1021","73","0","2000","A","","Benson County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,23,477099,0,0,405,21048,"",2.78,1.66,1.35,0.00,0.00,0.82,0.82,"",0,0.0,1,4.5,8223,1.8,0,0.0,0,0.0,-11,-2.6,-592,-2.7
"38005","1","1025","73","0","2000","A","","Benson County, North Dakota","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,49,2059335,0,0,810,42099,"",96.04,14.21,20.81,0.00,0.00,1.47,1.47,"",0,0.0,2,4.3,252504,14.0,0,0.0,0,0.0,71,9.6,3656,9.5
"38005","1","1027","73","0","2000","A","","Benson County, North Dakota","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,37,1342871,0,0,701,36458,"",550.51,346.99,673.70,0.00,0.00,1.95,1.95,"",0,0.0,-5,-11.9,-41959,-3.0,0,0.0,0,0.0,59,9.2,3089,9.3
"38005","1","1028","73","0","2000","A","","Benson County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,21,486244,0,0,437,22704,"",12.11,1.02,0.79,0.00,0.00,0.75,0.75,"",0,0.0,8,61.5,110871,29.5,0,0.0,0,0.0,-111,-20.3,-5805,-20.4
"38005","1","48-49","74","0","2000","A","","Benson County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,23,477099,0,0,405,21048,"",2.87,1.79,1.41,0.00,0.00,0.80,0.80,"",0,0.0,1,4.5,8223,1.8,0,0.0,0,0.0,-11,-2.6,-592,-2.7
"38005","1","491","75","0","2000","A","","Benson County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,23,477099,0,0,405,21048,"",2.92,1.85,1.49,0.00,0.00,0.82,0.82,"",0,0.0,1,4.5,8223,1.8,0,0.0,0,0.0,-11,-2.6,-592,-2.7
"38005","1","4911","76","0","2000","A","","Benson County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,23,477099,0,0,405,21048,"",2.92,1.85,1.49,0.00,0.00,0.82,0.82,"",0,0.0,1,4.5,8223,1.8,0,0.0,0,0.0,-11,-2.6,-592,-2.7
"38005","1","49111","77","0","2000","A","","Benson County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,23,477099,0,0,405,21048,"",2.92,1.85,1.49,0.00,0.00,0.82,0.82,"",0,0.0,1,4.5,8223,1.8,0,0.0,0,0.0,-11,-2.6,-592,-2.7
"38005","1","491110","78","0","2000","A","","Benson County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,23,477099,0,0,405,21048,"",2.92,1.85,1.49,0.00,0.00,0.82,0.82,"",0,0.0,1,4.5,8223,1.8,0,0.0,0,0.0,-11,-2.6,-592,-2.7
"38005","1","62","74","0","2000","A","","Benson County, North Dakota","Federal Government","Health care and social assistance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,49,2059335,0,0,810,42099,"",109.65,14.62,21.33,0.00,0.00,1.46,1.46,"",0,0.0,2,4.3,252504,14.0,0,0.0,0,0.0,71,9.6,3656,9.5
"38005","1","621","75","0","2000","A","","Benson County, North Dakota","Federal Government","Ambulatory health care services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,49,2059335,0,0,810,42099,"",693.50,860.93,1196.56,0.00,0.00,1.39,1.39,"",0,0.0,2,4.3,252504,14.0,0,0.0,0,0.0,71,9.6,3656,9.5
"38005","1","6211","76","0","2000","A","","Benson County, North Dakota","Federal Government","Offices of physicians","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,49,2059335,0,0,810,42099,"",1047.05,1551.45,2111.10,0.00,0.00,1.36,1.36,"",0,0.0,2,4.3,252504,14.0,0,0.0,0,0.0,71,9.6,3656,9.5
"38005","1","62111","77","0","2000","A","","Benson County, North Dakota","Federal Government","Offices of physicians","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,49,2059335,0,0,810,42099,"",1047.05,1551.45,2111.10,0.00,0.00,1.36,1.36,"",0,0.0,2,4.3,252504,14.0,0,0.0,0,0.0,71,9.6,3656,9.5
"38005","1","621111","78","0","2000","A","","Benson County, North Dakota","Federal Government","Offices of physicians, except mental health","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,49,2059335,0,0,810,42099,"",1047.05,1557.03,2115.60,0.00,0.00,1.36,1.36,"",0,0.0,2,4.3,252504,14.0,0,0.0,0,0.0,71,9.6,3656,9.5
"38005","1","81","74","0","2000","A","","Benson County, North Dakota","Federal Government","Other services, except public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",1,37,1342871,0,0,701,36458,"",550.51,346.99,673.70,0.00,0.00,1.95,1.95,"",0,0.0,-5,-11.9,-41959,-3.0,0,0.0,0,0.0,59,9.2,3089,9.3
"38005","1","813","75","0","2000","A","","Benson County, North Dakota","Federal Government","Membership associations and organizations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,37,1342871,0,0,701,36458,"",762.85,372.86,734.57,0.00,0.00,1.98,1.98,"",0,0.0,-5,-11.9,-41959,-3.0,0,0.0,0,0.0,59,9.2,3089,9.3
"38005","1","8133","76","0","2000","A","","Benson County, North Dakota","Federal Government","Social advocacy organizations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,37,1342871,0,0,701,36458,"",2542.85,1499.13,2857.34,0.00,0.00,1.91,1.91,"",0,0.0,-5,-11.9,-41959,-3.0,0,0.0,0,0.0,59,9.2,3089,9.3
"38005","1","81331","77","0","2000","A","","Benson County, North Dakota","Federal Government","Social advocacy organizations","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,37,1342871,0,0,701,36458,"",2542.85,1499.13,2857.34,0.00,0.00,1.91,1.91,"",0,0.0,-5,-11.9,-41959,-3.0,0,0.0,0,0.0,59,9.2,3089,9.3
"38005","1","813312","78","0","2000","A","","Benson County, North Dakota","Federal Government","Environment and conservation organizations","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,37,1342871,0,0,701,36458,"",26699.87,7495.63,14709.33,0.00,0.00,1.97,1.97,"",0,0.0,-5,-11.9,-41959,-3.0,0,0.0,0,0.0,59,9.2,3089,9.3
"38005","1","92","74","0","2000","A","","Benson County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,21,486244,0,0,437,22704,"",12.11,1.02,0.79,0.00,0.00,0.75,0.75,"",0,0.0,8,61.5,110871,29.5,0,0.0,0,0.0,-111,-20.3,-5805,-20.4
"38005","1","924","75","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,3,96915,0,0,604,31432,"",17.75,1.90,2.16,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,3761,4.0,0,0.0,0,0.0,-68,-10.1,-3501,-10.0
"38005","1","9241","76","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,3,96915,0,0,604,31432,"",17.75,1.90,2.16,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,3761,4.0,0,0.0,0,0.0,-68,-10.1,-3501,-10.0
"38005","1","92412","77","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,96915,0,0,604,31432,"",18.09,2.25,2.77,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,3761,4.0,0,0.0,0,0.0,-68,-10.1,-3501,-10.0
"38005","1","924120","78","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,96915,0,0,604,31432,"",18.09,2.25,2.77,0.00,0.00,1.20,1.20,"",0,0.0,0,0.0,3761,4.0,0,0.0,0,0.0,-68,-10.1,-3501,-10.0
"38005","1","926","75","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,17,336644,0,0,373,19422,"",15.08,4.30,3.30,0.00,0.00,0.75,0.75,"",0,0.0,7,70.0,102173,43.6,0,0.0,0,0.0,-102,-21.5,-5259,-21.3
"38005","1","9261","76","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,17,336644,0,0,373,19422,"",15.08,4.30,3.30,0.00,0.00,0.75,0.75,"",0,0.0,7,70.0,102173,43.6,0,0.0,0,0.0,-102,-21.5,-5259,-21.3
"38005","1","92611","77","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,126427,0,0,310,16140,"",20.31,3.57,3.25,0.00,0.00,0.93,0.93,"",0,0.0,7,700.0,76557,153.5,0,0.0,0,0.0,-512,-62.3,-26606,-62.2
"38005","1","926110","78","0","2000","A","","Benson County, North Dakota","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,126427,0,0,310,16140,"",20.31,3.57,3.25,0.00,0.00,0.93,0.93,"",0,0.0,7,700.0,76557,153.5,0,0.0,0,0.0,-512,-62.3,-26606,-62.2
"38005","1","92614","77","0","2000","A","","Benson County, North Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,210217,0,0,426,22128,"",12.92,13.50,9.82,0.00,0.00,0.77,0.77,"",0,0.0,2,25.0,25616,13.9,0,0.0,0,0.0,0,0.0,-24,-0.1
"38005","1","926140","78","0","2000","A","","Benson County, North Dakota","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,210217,0,0,426,22128,"",12.92,13.50,9.82,0.00,0.00,0.77,0.77,"",0,0.0,2,25.0,25616,13.9,0,0.0,0,0.0,0,0.0,-24,-0.1
"38005","1","928","75","0","2000","A","","Benson County, North Dakota","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,52685,0,0,1013,52685,"",21.69,0.13,0.22,0.00,0.00,1.71,1.71,"",0,0.0,0,0.0,4937,10.3,0,0.0,0,0.0,95,10.3,4937,10.3
"38005","1","9281","76","0","2000","A","","Benson County, North Dakota","Federal Government","National security and international affairs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,52685,0,0,1013,52685,"",21.69,0.13,0.22,0.00,0.00,1.71,1.71,"",0,0.0,0,0.0,4937,10.3,0,0.0,0,0.0,95,10.3,4937,10.3
"38005","1","92811","77","0","2000","A","","Benson County, North Dakota","Federal Government","National security","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,52685,0,0,1013,52685,"",25.64,0.14,0.24,0.00,0.00,1.72,1.72,"",0,0.0,0,0.0,4937,10.3,0,0.0,0,0.0,95,10.3,4937,10.3
"38005","1","928110","78","0","2000","A","","Benson County, North Dakota","Federal Government","National security","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,52685,0,0,1013,52685,"",25.64,0.14,0.24,0.00,0.00,1.72,1.72,"",0,0.0,0,0.0,4937,10.3,0,0.0,0,0.0,95,10.3,4937,10.3
"38005","3","102","72","0","2000","A","","Benson County, North Dakota","Local Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",21,302,6149972,0,0,391,20336,"",8.19,1.71,1.76,0.00,0.00,1.03,1.03,"",0,0.0,-8,-2.6,386500,6.7,0,0.0,0,0.0,34,9.5,1769,9.5
"38005","3","1025","73","0","2000","A","","Benson County, North Dakota","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",7,211,4812826,0,0,440,22855,"",6.85,1.88,2.24,0.00,0.00,1.19,1.19,"",0,0.0,3,1.4,439904,10.1,0,0.0,0,0.0,35,8.6,1781,8.5
"38005","3","1028","73","0","2000","A","","Benson County, North Dakota","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,85,1297715,0,0,294,15267,"",9.45,1.64,1.19,0.00,0.00,0.73,0.73,"",0,0.0,-11,-11.5,-57830,-4.3,0,0.0,0,0.0,22,8.1,1122,7.9
"38005","3","6111","76","0","2000","A","","Benson County, North Dakota","Local Government","Elementary and secondary schools","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,208,4773178,0,0,442,22994,"",6.80,2.21,2.63,0.00,0.00,1.19,1.19,"",0,0.0,3,1.5,439063,10.1,0,0.0,0,0.0,34,8.3,1800,8.5
"38005","3","61111","77","0","2000","A","","Benson County, North Dakota","Local Government","Elementary and secondary schools","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,208,4773178,0,0,442,22994,"",6.80,2.21,2.63,0.00,0.00,1.19,1.19,"",0,0.0,3,1.5,439063,10.1,0,0.0,0,0.0,34,8.3,1800,8.5
"38005","3","611110","78","0","2000","A","","Benson County, North Dakota","Local Government","Elementary and secondary schools","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,208,4773178,0,0,442,22994,"",6.80,2.21,2.63,0.00,0.00,1.19,1.19,"",0,0.0,3,1.5,439063,10.1,0,0.0,0,0.0,34,8.3,1800,8.5
"38005","3","92","74","0","2000","A","","Benson County, North Dakota","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",10,85,1297715,0,0,294,15267,"",9.45,1.64,1.19,0.00,0.00,0.73,0.73,"",0,0.0,-11,-11.5,-57830,-4.3,0,0.0,0,0.0,22,8.1,1122,7.9
"38005","3","921","75","0","2000","A","","Benson County, North Dakota","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,78,1255264,0,0,310,16110,"",10.68,2.21,1.84,0.00,0.00,0.83,0.83,"",0,0.0,-11,-12.4,-59732,-4.5,0,0.0,0,0.0,27,9.5,1376,9.3
"38005","3","9211","76","0","2000","A","","Benson County, North Dakota","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",7,78,1255264,0,0,310,16110,"",10.68,2.21,1.84,0.00,0.00,0.83,0.83,"",0,0.0,-11,-12.4,-59732,-4.5,0,0.0,0,0.0,27,9.5,1376,9.3
"38005","5","10","71","0","2000","A","","Benson County, North Dakota","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",113,1394,28876080,0,0,398,20722,"",0.79,0.90,0.86,0.00,0.00,0.96,0.96,"",1,0.9,-41,-2.9,2600602,9.9,0,0.0,0,0.0,46,13.1,2414,13.2
"38005","5","101","72","0","2000","A","","Benson County, North Dakota","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",22,232,5481289,0,0,454,23592,"",0.90,0.64,0.61,0.00,0.00,0.95,0.95,"",-1,-4.3,30,14.9,1145550,26.4,0,0.0,0,0.0,41,9.9,2092,9.7
"38005","5","1013","73","0","2000","A","","Benson County, North Dakota","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",7,209,4975301,0,0,458,23805,"",0.92,0.85,0.77,0.00,0.00,0.91,0.91,"",0,0.0,26,14.2,1013598,25.6,0,0.0,0,0.0,42,10.1,2166,10.0
"38005","5","102","72","0","2000","A","","Benson County, North Dakota","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",91,1161,23394791,0,0,387,20148,"",0.77,0.97,0.95,0.00,0.00,0.98,0.98,"",2,2.2,-73,-5.9,1455052,6.6,0,0.0,0,0.0,45,13.2,2361,13.3
"38005","5","1021","73","0","2000","A","","Benson County, North Dakota","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",42,135,2582527,0,0,369,19189,"",1.21,0.37,0.37,0.00,0.00,1.02,1.02,"",2,5.0,-10,-6.9,-138958,-5.1,0,0.0,0,0.0,8,2.2,409,2.2
"38005","5","1023","73","0","2000","A","","Benson County, North Dakota","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",17,86,2009025,0,0,449,23361,"",1.27,0.80,0.58,0.00,0.00,0.73,0.73,"",1,6.2,-10,-10.4,-142767,-6.6,0,0.0,0,0.0,17,3.9,888,4.0
"38005","5","1024","73","0","2000","A","","Benson County, North Dakota","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",7,14,202299,0,0,285,14802,"",0.30,0.06,0.03,0.00,0.00,0.57,0.57,"",1,16.7,5,55.6,60027,42.2,0,0.0,0,0.0,-11,-3.7,-579,-3.8
"38005","5","1026","73","0","2000","A","","Benson County, North Dakota","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",14,397,7252232,0,0,352,18287,"",1.19,2.37,4.68,0.00,0.00,1.98,1.98,"",-1,-6.7,-22,-5.3,919807,14.5,0,0.0,0,0.0,62,21.4,3186,21.1
"38005","5","31-33","74","0","2000","A","","Benson County, North Dakota","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",7,209,4975301,0,0,458,23805,"",0.92,0.85,0.77,0.00,0.00,0.91,0.91,"",0,0.0,26,14.2,1013598,25.6,0,0.0,0,0.0,42,10.1,2166,10.0
"38005","5","42","74","0","2000","A","","Benson County, North Dakota","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",10,53,1494537,0,0,539,28023,"",0.94,0.65,0.63,0.00,0.00,0.95,0.95,"",0,0.0,-1,-1.9,14466,1.0,0,0.0,0,0.0,16,3.1,824,3.0
"38005","5","44-45","74","0","2000","A","","Benson County, North Dakota","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",14,51,509235,0,0,194,10084,"",0.70,0.24,0.18,0.00,0.00,0.75,0.75,"",-1,-6.7,-10,-16.4,-120185,-19.1,0,0.0,0,0.0,-5,-2.5,-263,-2.5
"38005","5","445","75","0","2000","A","","Benson County, North Dakota","Private","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,28,235616,0,0,159,8291,"",1.89,0.67,0.51,0.00,0.00,0.76,0.76,"",0,0.0,0,0.0,-54008,-18.6,0,0.0,0,0.0,-38,-19.3,-1961,-19.1
"38005","5","4451","76","0","2000","A","","Benson County, North Dakota","Private","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,28,235616,0,0,159,8291,"",3.12,0.77,0.61,0.00,0.00,0.78,0.78,"",0,0.0,0,0.0,-54008,-18.6,0,0.0,0,0.0,-38,-19.3,-1961,-19.1
"38005","5","44511","77","0","2000","A","","Benson County, North Dakota","Private","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,28,235616,0,0,159,8291,"",4.36,0.82,0.64,0.00,0.00,0.77,0.77,"",0,0.0,0,0.0,-54008,-18.6,0,0.0,0,0.0,-38,-19.3,-1961,-19.1
