"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38023","0","10","70","0","2000","A","","Divide County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",97,692,10863653,0,0,302,15708,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,1.0,-16,-2.3,474492,4.6,0,0.0,0,0.0,20,7.1,1043,7.1
"38023","1","10","71","0","2000","A","","Divide County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",10,35,1127407,0,0,618,32135,"",16.22,2.29,3.59,0.00,0.00,1.56,1.56,"",2,25.0,4,12.9,120226,11.9,0,0.0,0,0.0,-17,-2.7,-887,-2.7
"38023","1","102","72","0","2000","A","","Divide County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",10,35,1127407,0,0,618,32135,"",16.26,2.33,3.67,0.00,0.00,1.57,1.57,"",2,25.0,4,12.9,120226,11.9,0,0.0,0,0.0,-17,-2.7,-887,-2.7
"38023","1","1021","73","0","2000","A","","Divide County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,10,223689,0,0,413,21474,"",4.24,1.92,2.31,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,4584,2.1,0,0.0,0,0.0,8,2.0,440,2.1
"38023","1","1028","73","0","2000","A","","Divide County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",9,25,903718,0,0,705,36637,"",27.72,3.23,5.33,0.00,0.00,1.67,1.67,"",2,28.6,5,25.0,115642,14.7,0,0.0,0,0.0,-50,-6.6,-2603,-6.6
"38023","1","48-49","74","0","2000","A","","Divide County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,10,223689,0,0,413,21474,"",4.38,2.07,2.42,0.00,0.00,1.12,1.12,"",0,0.0,0,0.0,4584,2.1,0,0.0,0,0.0,8,2.0,440,2.1
"38023","1","491","75","0","2000","A","","Divide County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,223689,0,0,413,21474,"",4.46,2.13,2.56,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,4584,2.1,0,0.0,0,0.0,8,2.0,440,2.1
"38023","1","4911","76","0","2000","A","","Divide County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,10,223689,0,0,413,21474,"",4.46,2.13,2.56,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,4584,2.1,0,0.0,0,0.0,8,2.0,440,2.1
"38023","1","49111","77","0","2000","A","","Divide County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,10,223689,0,0,413,21474,"",4.46,2.13,2.56,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,4584,2.1,0,0.0,0,0.0,8,2.0,440,2.1
"38023","1","491110","78","0","2000","A","","Divide County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,10,223689,0,0,413,21474,"",4.46,2.13,2.56,0.00,0.00,1.15,1.15,"",0,0.0,0,0.0,4584,2.1,0,0.0,0,0.0,8,2.0,440,2.1
