"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"38049","0","10","70","0","2000","A","","McHenry County, North Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",149,1122,21256541,0,0,364,18940,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,0.7,18,1.6,357885,1.7,0,0.0,0,0.0,0,0.0,16,0.1
"38049","1","10","71","0","2000","A","","McHenry County, North Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,82,1844551,0,0,431,22403,"",7.39,3.31,3.00,0.00,0.00,0.90,0.90,"",0,0.0,11,15.5,171983,10.3,0,0.0,0,0.0,-23,-5.1,-1182,-5.0
"38049","1","102","72","0","2000","A","","McHenry County, North Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,82,1844551,0,0,431,22403,"",7.41,3.37,3.07,0.00,0.00,0.91,0.91,"",0,0.0,11,15.5,171983,10.3,0,0.0,0,0.0,-23,-5.1,-1182,-5.0
"38049","1","1021","73","0","2000","A","","McHenry County, North Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,34,815527,0,0,457,23753,"",2.76,4.02,4.30,0.00,0.00,1.06,1.06,"",0,0.0,0,0.0,28990,3.7,0,0.0,0,0.0,8,1.8,391,1.7
"38049","1","1028","73","0","2000","A","","McHenry County, North Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,48,1029024,0,0,412,21438,"",12.03,3.82,3.10,0.00,0.00,0.81,0.81,"",0,0.0,11,29.7,142993,16.1,0,0.0,0,0.0,-45,-9.8,-2348,-9.9
"38049","1","48-49","74","0","2000","A","","McHenry County, North Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,34,815527,0,0,457,23753,"",2.85,4.34,4.51,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,28990,3.7,0,0.0,0,0.0,8,1.8,391,1.7
"38049","1","491","75","0","2000","A","","McHenry County, North Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,34,815527,0,0,457,23753,"",2.90,4.47,4.76,0.00,0.00,1.06,1.05,"",0,0.0,0,0.0,28990,3.7,0,0.0,0,0.0,8,1.8,391,1.7
"38049","1","4911","76","0","2000","A","","McHenry County, North Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,34,815527,0,0,457,23753,"",2.90,4.47,4.76,0.00,0.00,1.06,1.05,"",0,0.0,0,0.0,28990,3.7,0,0.0,0,0.0,8,1.8,391,1.7
"38049","1","49111","77","0","2000","A","","McHenry County, North Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,34,815527,0,0,457,23753,"",2.90,4.47,4.76,0.00,0.00,1.06,1.05,"",0,0.0,0,0.0,28990,3.7,0,0.0,0,0.0,8,1.8,391,1.7
"38049","1","491110","78","0","2000","A","","McHenry County, North Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,34,815527,0,0,457,23753,"",2.90,4.47,4.76,0.00,0.00,1.06,1.05,"",0,0.0,0,0.0,28990,3.7,0,0.0,0,0.0,8,1.8,391,1.7
"38049","1","92","74","0","2000","A","","McHenry County, North Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,48,1029024,0,0,412,21438,"",12.03,3.82,3.10,0.00,0.00,0.81,0.81,"",0,0.0,11,29.7,142993,16.1,0,0.0,0,0.0,-45,-9.8,-2348,-9.9
"38049","1","924","75","0","2000","A","","McHenry County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,27,581118,0,0,415,21590,"",17.63,27.94,24.18,0.00,0.00,0.87,0.87,"",0,0.0,5,22.7,61896,11.9,0,0.0,0,0.0,-30,-6.7,-1572,-6.8
"38049","1","9241","76","0","2000","A","","McHenry County, North Dakota","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,27,581118,0,0,415,21590,"",17.63,27.94,24.18,0.00,0.00,0.87,0.87,"",0,0.0,5,22.7,61896,11.9,0,0.0,0,0.0,-30,-6.7,-1572,-6.8
"38049","1","92412","77","0","2000","A","","McHenry County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,27,581118,0,0,415,21590,"",17.97,33.10,30.95,0.00,0.00,0.94,0.94,"",0,0.0,5,22.7,61896,11.9,0,0.0,0,0.0,-30,-6.7,-1572,-6.8
"38049","1","924120","78","0","2000","A","","McHenry County, North Dakota","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,27,581118,0,0,415,21590,"",17.97,33.10,30.95,0.00,0.00,0.94,0.94,"",0,0.0,5,22.7,61896,11.9,0,0.0,0,0.0,-30,-6.7,-1572,-6.8
