"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"39091","0","10","70","0","2000","A","","Logan County, Ohio","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",974,20984,647432821,0,0,593,30854,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",9,0.9,-251,-1.2,17945227,2.9,0,0.0,0,0.0,23,4.0,1210,4.1
"39091","1","10","71","0","2000","A","","Logan County, Ohio","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,162,6382885,0,0,756,39320,"",2.75,0.35,0.34,0.00,0.00,0.97,0.97,"",0,0.0,12,8.0,785537,14.0,0,0.0,0,0.0,37,5.1,1921,5.1
"39091","1","102","72","0","2000","A","","Logan County, Ohio","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,162,6382885,0,0,756,39320,"",2.75,0.36,0.35,0.00,0.00,0.98,0.98,"",0,0.0,12,8.0,785537,14.0,0,0.0,0,0.0,37,5.1,1921,5.1
"39091","1","1021","73","0","2000","A","","Logan County, Ohio","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",12,105,3756158,0,0,685,35632,"",5.07,0.66,0.65,0.00,0.00,0.97,0.97,"",0,0.0,-5,-4.5,329028,9.6,0,0.0,0,0.0,86,14.4,4476,14.4
"39091","1","1028","73","0","2000","A","","Logan County, Ohio","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,57,2626727,0,0,888,46150,"",1.53,0.24,0.26,0.00,0.00,1.07,1.07,"",0,0.0,17,42.5,456509,21.0,0,0.0,0,0.0,-164,-15.6,-8561,-15.6
"39091","1","48-49","74","0","2000","A","","Logan County, Ohio","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",12,105,3756158,0,0,685,35632,"",5.23,0.72,0.68,0.00,0.00,0.95,0.95,"",0,0.0,-5,-4.5,329028,9.6,0,0.0,0,0.0,86,14.4,4476,14.4
"39091","1","491","75","0","2000","A","","Logan County, Ohio","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,105,3756158,0,0,685,35632,"",5.33,0.74,0.72,0.00,0.00,0.97,0.97,"",0,0.0,-5,-4.5,329028,9.6,0,0.0,0,0.0,86,14.4,4476,14.4
"39091","1","4911","76","0","2000","A","","Logan County, Ohio","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,105,3756158,0,0,685,35632,"",5.33,0.74,0.72,0.00,0.00,0.97,0.97,"",0,0.0,-5,-4.5,329028,9.6,0,0.0,0,0.0,86,14.4,4476,14.4
"39091","1","49111","77","0","2000","A","","Logan County, Ohio","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",12,105,3756158,0,0,685,35632,"",5.33,0.74,0.72,0.00,0.00,0.97,0.97,"",0,0.0,-5,-4.5,329028,9.6,0,0.0,0,0.0,86,14.4,4476,14.4
"39091","1","491110","78","0","2000","A","","Logan County, Ohio","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",12,105,3756158,0,0,685,35632,"",5.33,0.74,0.72,0.00,0.00,0.97,0.97,"",0,0.0,-5,-4.5,329028,9.6,0,0.0,0,0.0,86,14.4,4476,14.4
"39091","1","92","74","0","2000","A","","Logan County, Ohio","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,57,2626727,0,0,888,46150,"",1.53,0.24,0.26,0.00,0.00,1.07,1.07,"",0,0.0,17,42.5,456509,21.0,0,0.0,0,0.0,-164,-15.6,-8561,-15.6
"39091","1","924","75","0","2000","A","","Logan County, Ohio","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,3,159346,0,0,919,47804,"",1.35,0.17,0.22,0.00,0.00,1.18,1.18,"",0,0.0,-1,-25.0,-15686,-9.0,0,0.0,0,0.0,77,9.1,4046,9.2
