"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40001","0","10","70","0","2000","A","","Adair County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",271,4802,105090847,0,0,421,21885,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,3.0,266,5.9,9090659,9.5,0,0.0,0,0.0,14,3.4,723,3.4
"40001","1","10","71","0","2000","A","","Adair County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,51,1632468,0,0,614,31905,"",5.23,0.48,0.54,0.00,0.00,1.11,1.11,"",1,12.5,7,15.9,277403,20.5,0,0.0,0,0.0,15,2.5,754,2.4
"40001","1","102","72","0","2000","A","","Adair County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,51,1632468,0,0,614,31905,"",5.24,0.49,0.55,0.00,0.00,1.12,1.12,"",1,12.5,7,15.9,277403,20.5,0,0.0,0,0.0,15,2.5,754,2.4
"40001","1","1021","73","0","2000","A","","Adair County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",5,36,1161196,0,0,613,31886,"",7.59,1.00,1.24,0.00,0.00,1.23,1.23,"",1,25.0,0,0.0,58677,5.3,0,0.0,0,0.0,23,3.9,1189,3.9
"40001","1","1028","73","0","2000","A","","Adair County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,416061,0,0,628,32632,"",3.31,0.24,0.25,0.00,0.00,1.07,1.07,"",0,0.0,7,116.7,216204,108.2,0,0.0,0,0.0,-60,-8.7,-3163,-8.8
"40001","1","48-49","74","0","2000","A","","Adair County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",5,36,1161196,0,0,613,31886,"",7.84,1.07,1.30,0.00,0.00,1.19,1.20,"",1,25.0,0,0.0,58677,5.3,0,0.0,0,0.0,23,3.9,1189,3.9
"40001","1","491","75","0","2000","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,36,1161196,0,0,613,31886,"",7.98,1.11,1.37,0.00,0.00,1.22,1.22,"",1,25.0,0,0.0,58677,5.3,0,0.0,0,0.0,23,3.9,1189,3.9
"40001","1","4911","76","0","2000","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,36,1161196,0,0,613,31886,"",7.98,1.11,1.37,0.00,0.00,1.22,1.22,"",1,25.0,0,0.0,58677,5.3,0,0.0,0,0.0,23,3.9,1189,3.9
"40001","1","49111","77","0","2000","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",5,36,1161196,0,0,613,31886,"",7.98,1.11,1.37,0.00,0.00,1.22,1.22,"",1,25.0,0,0.0,58677,5.3,0,0.0,0,0.0,23,3.9,1189,3.9
"40001","1","491110","78","0","2000","A","","Adair County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",5,36,1161196,0,0,613,31886,"",7.98,1.11,1.37,0.00,0.00,1.22,1.22,"",1,25.0,0,0.0,58677,5.3,0,0.0,0,0.0,23,3.9,1189,3.9
"40001","1","92","74","0","2000","A","","Adair County, Oklahoma","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,416061,0,0,628,32632,"",3.31,0.24,0.25,0.00,0.00,1.07,1.07,"",0,0.0,7,116.7,216204,108.2,0,0.0,0,0.0,-60,-8.7,-3163,-8.8
"40001","1","924","75","0","2000","A","","Adair County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,83923,0,0,807,41962,"",4.85,0.48,0.71,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,22107,35.8,0,0.0,0,0.0,236,41.3,12290,41.4
"40001","1","9241","76","0","2000","A","","Adair County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,83923,0,0,807,41962,"",4.85,0.48,0.71,0.00,0.00,1.46,1.46,"",0,0.0,0,0.0,22107,35.8,0,0.0,0,0.0,236,41.3,12290,41.4
"40001","1","92412","77","0","2000","A","","Adair County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,83923,0,0,807,41962,"",4.94,0.57,0.90,0.00,0.00,1.58,1.58,"",0,0.0,0,0.0,22107,35.8,0,0.0,0,0.0,236,41.3,12290,41.4
"40001","1","924120","78","0","2000","A","","Adair County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,83923,0,0,807,41962,"",4.94,0.57,0.90,0.00,0.00,1.58,1.58,"",0,0.0,0,0.0,22107,35.8,0,0.0,0,0.0,236,41.3,12290,41.4
