"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"40061","0","10","70","0","2000","A","","Haskell County, Oklahoma","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",226,3239,55917350,0,0,332,17264,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-7,-3.0,132,4.2,3806990,7.3,0,0.0,0,0.0,10,3.1,494,2.9
"40061","1","10","71","0","2000","A","","Haskell County, Oklahoma","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,72,2267768,0,0,607,31570,"",7.66,1.01,1.40,0.00,0.00,1.40,1.40,"",1,10.0,7,10.8,202154,9.8,0,0.0,0,0.0,-6,-1.0,-290,-0.9
"40061","1","102","72","0","2000","A","","Haskell County, Oklahoma","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,72,2267768,0,0,607,31570,"",7.68,1.03,1.43,0.00,0.00,1.40,1.40,"",1,10.0,7,10.8,202154,9.8,0,0.0,0,0.0,-6,-1.0,-290,-0.9
"40061","1","1021","73","0","2000","A","","Haskell County, Oklahoma","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,32,905432,0,0,546,28369,"",10.92,1.31,1.81,0.00,0.00,1.39,1.39,"",1,20.0,-1,-3.0,17982,2.0,0,0.0,0,0.0,22,4.2,1133,4.2
"40061","1","1024","73","0","2000","A","","Haskell County, Oklahoma","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,27,1026732,0,0,725,37678,"",21.76,18.84,28.66,0.00,0.00,1.51,1.51,"",0,0.0,1,3.8,55044,5.7,0,0.0,0,0.0,18,2.5,895,2.4
"40061","1","1028","73","0","2000","A","","Haskell County, Oklahoma","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,13,335604,0,0,510,26495,"",5.29,0.36,0.38,0.00,0.00,1.10,1.10,"",0,0.0,7,116.7,129128,62.5,0,0.0,0,0.0,-171,-25.1,-8901,-25.1
"40061","1","48-49","74","0","2000","A","","Haskell County, Oklahoma","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,32,905432,0,0,546,28369,"",11.28,1.41,1.90,0.00,0.00,1.35,1.35,"",1,20.0,-1,-3.0,17982,2.0,0,0.0,0,0.0,22,4.2,1133,4.2
"40061","1","491","75","0","2000","A","","Haskell County, Oklahoma","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,32,905432,0,0,546,28369,"",11.48,1.46,2.01,0.00,0.00,1.38,1.38,"",1,20.0,-1,-3.0,17982,2.0,0,0.0,0,0.0,22,4.2,1133,4.2
"40061","1","4911","76","0","2000","A","","Haskell County, Oklahoma","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,32,905432,0,0,546,28369,"",11.48,1.46,2.01,0.00,0.00,1.38,1.38,"",1,20.0,-1,-3.0,17982,2.0,0,0.0,0,0.0,22,4.2,1133,4.2
"40061","1","49111","77","0","2000","A","","Haskell County, Oklahoma","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,32,905432,0,0,546,28369,"",11.48,1.46,2.01,0.00,0.00,1.38,1.38,"",1,20.0,-1,-3.0,17982,2.0,0,0.0,0,0.0,22,4.2,1133,4.2
"40061","1","491110","78","0","2000","A","","Haskell County, Oklahoma","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,32,905432,0,0,546,28369,"",11.48,1.46,2.01,0.00,0.00,1.38,1.38,"",1,20.0,-1,-3.0,17982,2.0,0,0.0,0,0.0,22,4.2,1133,4.2
"40061","1","54","74","0","2000","A","","Haskell County, Oklahoma","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,27,1026732,0,0,725,37678,"",22.81,19.45,28.95,0.00,0.00,1.48,1.48,"",0,0.0,1,3.8,55044,5.7,0,0.0,0,0.0,18,2.5,895,2.4
"40061","1","541","75","0","2000","A","","Haskell County, Oklahoma","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,27,1026732,0,0,725,37678,"",22.81,19.45,28.95,0.00,0.00,1.48,1.48,"",0,0.0,1,3.8,55044,5.7,0,0.0,0,0.0,18,2.5,895,2.4
"40061","1","5413","76","0","2000","A","","Haskell County, Oklahoma","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,27,1026732,0,0,725,37678,"",37.68,30.12,46.39,0.00,0.00,1.53,1.53,"",0,0.0,1,3.8,55044,5.7,0,0.0,0,0.0,18,2.5,895,2.4
"40061","1","54133","77","0","2000","A","","Haskell County, Oklahoma","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,27,1026732,0,0,725,37678,"",38.22,32.01,49.05,0.00,0.00,1.52,1.52,"",0,0.0,1,3.8,55044,5.7,0,0.0,0,0.0,18,2.5,895,2.4
"40061","1","541330","78","0","2000","A","","Haskell County, Oklahoma","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,27,1026732,0,0,725,37678,"",38.22,32.01,49.05,0.00,0.00,1.52,1.52,"",0,0.0,1,3.8,55044,5.7,0,0.0,0,0.0,18,2.5,895,2.4
"40061","1","92","74","0","2000","A","","Haskell County, Oklahoma","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",4,13,335604,0,0,510,26495,"",5.29,0.36,0.38,0.00,0.00,1.10,1.10,"",0,0.0,7,116.7,129128,62.5,0,0.0,0,0.0,-171,-25.1,-8901,-25.1
"40061","1","924","75","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,132013,0,0,462,24002,"",11.62,2.15,2.09,0.00,0.00,1.06,1.06,"",0,0.0,2,50.0,31383,31.2,0,0.0,0,0.0,-91,-16.5,-4749,-16.5
"40061","1","9241","76","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,132013,0,0,462,24002,"",11.62,2.15,2.09,0.00,0.00,1.06,1.06,"",0,0.0,2,50.0,31383,31.2,0,0.0,0,0.0,-91,-16.5,-4749,-16.5
"40061","1","92412","77","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,132013,0,0,462,24002,"",11.85,2.55,2.67,0.00,0.00,1.15,1.14,"",0,0.0,2,50.0,31383,31.2,0,0.0,0,0.0,-91,-16.5,-4749,-16.5
"40061","1","924120","78","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,132013,0,0,462,24002,"",11.85,2.55,2.67,0.00,0.00,1.15,1.14,"",0,0.0,2,50.0,31383,31.2,0,0.0,0,0.0,-91,-16.5,-4749,-16.5
"40061","1","926","75","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,7,203591,0,0,546,28408,"",6.58,1.00,1.42,0.00,0.00,1.38,1.38,"",0,0.0,5,250.0,97745,92.3,0,0.0,0,0.0,-326,-37.4,-16955,-37.4
"40061","1","9261","76","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,7,203591,0,0,546,28408,"",6.58,1.00,1.42,0.00,0.00,1.38,1.38,"",0,0.0,5,250.0,97745,92.3,0,0.0,0,0.0,-326,-37.4,-16955,-37.4
"40061","1","92611","77","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,76886,0,0,370,19222,"",6.65,1.01,1.40,0.00,0.00,1.39,1.38,"",0,0.0,4,100.0,76886,100.0,0,0.0,0,0.0,370,100.0,19222,100.0
"40061","1","926110","78","0","2000","A","","Haskell County, Oklahoma","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,4,76886,0,0,370,19222,"",6.65,1.01,1.40,0.00,0.00,1.39,1.38,"",0,0.0,4,100.0,76886,100.0,0,0.0,0,0.0,370,100.0,19222,100.0
