"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42083","0","10","70","0","2000","A","","Mckean County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1248,18221,478206372,0,0,505,26245,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",33,2.7,185,1.0,25810687,5.7,0,0.0,0,0.0,23,4.8,1162,4.6
"42083","1","10","71","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",19,610,25520682,0,0,805,41872,"",2.40,1.52,1.85,0.00,0.00,1.22,1.22,"",-1,-5.0,21,3.6,2606090,11.4,0,0.0,0,0.0,57,7.6,2951,7.6
"42083","1","102","72","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",19,610,25520682,0,0,805,41872,"",2.40,1.54,1.89,0.00,0.00,1.22,1.22,"",-1,-5.0,21,3.6,2606090,11.4,0,0.0,0,0.0,57,7.6,2951,7.6
"42083","1","1021","73","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,115,4984456,0,0,831,43218,"",2.64,0.84,1.17,0.00,0.00,1.39,1.39,"",0,0.0,-10,-8.0,613145,14.0,0,0.0,0,0.0,160,23.8,8317,23.8
"42083","1","1028","73","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,494,20536226,0,0,799,41557,"",2.63,2.42,2.75,0.00,0.00,1.13,1.13,"",0,0.0,30,6.5,1992945,10.7,0,0.0,0,0.0,30,3.9,1550,3.9
"42083","1","48-49","74","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",8,115,4984456,0,0,831,43218,"",2.72,0.90,1.22,0.00,0.00,1.35,1.35,"",0,0.0,-10,-8.0,613145,14.0,0,0.0,0,0.0,160,23.8,8317,23.8
"42083","1","491","75","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,115,4984456,0,0,831,43218,"",2.77,0.93,1.29,0.00,0.00,1.38,1.38,"",0,0.0,-10,-8.0,613145,14.0,0,0.0,0,0.0,160,23.8,8317,23.8
"42083","1","4911","76","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,115,4984456,0,0,831,43218,"",2.77,0.93,1.29,0.00,0.00,1.38,1.38,"",0,0.0,-10,-8.0,613145,14.0,0,0.0,0,0.0,160,23.8,8317,23.8
"42083","1","49111","77","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",8,115,4984456,0,0,831,43218,"",2.77,0.93,1.29,0.00,0.00,1.38,1.38,"",0,0.0,-10,-8.0,613145,14.0,0,0.0,0,0.0,160,23.8,8317,23.8
"42083","1","491110","78","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,115,4984456,0,0,831,43218,"",2.77,0.93,1.29,0.00,0.00,1.38,1.38,"",0,0.0,-10,-8.0,613145,14.0,0,0.0,0,0.0,160,23.8,8317,23.8
"42083","1","92","74","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,494,20536226,0,0,799,41557,"",2.63,2.42,2.75,0.00,0.00,1.13,1.13,"",0,0.0,30,6.5,1992945,10.7,0,0.0,0,0.0,30,3.9,1550,3.9
"42083","1","921","75","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,2,137050,0,0,1171,60911,"",3.05,0.07,0.14,0.00,0.00,1.67,1.67,"",0,0.0,-1,-33.3,-33470,-19.6,0,0.0,0,0.0,78,7.1,4071,7.2
"42083","1","9211","76","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,2,137050,0,0,1171,60911,"",3.05,0.07,0.14,0.00,0.00,1.67,1.67,"",0,0.0,-1,-33.3,-33470,-19.6,0,0.0,0,0.0,78,7.1,4071,7.2
"42083","1","92113","77","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Public finance activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,2,137050,0,0,1171,60911,"",7.08,0.10,0.19,0.00,0.00,1.65,1.65,"",0,0.0,-1,-33.3,-33470,-19.6,0,0.0,0,0.0,78,7.1,4071,7.2
"42083","1","921130","78","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Public finance activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,2,137050,0,0,1171,60911,"",7.08,0.10,0.19,0.00,0.00,1.65,1.65,"",0,0.0,-1,-33.3,-33470,-19.6,0,0.0,0,0.0,78,7.1,4071,7.2
"42083","1","922","75","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,326,15524864,0,0,917,47695,"",4.25,16.10,17.63,0.00,0.00,1.09,1.10,"",0,0.0,7,2.2,889235,6.1,0,0.0,0,0.0,34,3.9,1803,3.9
"42083","1","9221","76","0","2000","A","","Mckean County, Pennsylvania","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,326,15524864,0,0,917,47695,"",4.25,16.10,17.63,0.00,0.00,1.09,1.10,"",0,0.0,7,2.2,889235,6.1,0,0.0,0,0.0,34,3.9,1803,3.9
