"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"42085","0","10","70","0","2000","A","","Mercer County, Pennsylvania","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2990,49402,1290447047,0,0,502,26121,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",183,6.5,1468,3.1,69102455,5.7,0,0.0,0,0.0,12,2.4,641,2.5
"42085","1","10","71","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",29,306,12270858,0,0,771,40068,"",1.53,0.28,0.33,0.00,0.00,1.17,1.17,"",1,3.6,2,0.7,1578828,14.8,0,0.0,0,0.0,94,13.9,4868,13.8
"42085","1","102","72","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",29,306,12270858,0,0,771,40068,"",1.53,0.29,0.34,0.00,0.00,1.18,1.17,"",1,3.6,2,0.7,1578828,14.8,0,0.0,0,0.0,94,13.9,4868,13.8
"42085","1","1021","73","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",16,226,9987767,0,0,850,44210,"",2.20,0.61,0.87,0.00,0.00,1.43,1.43,"",0,0.0,-20,-8.1,1223967,14.0,0,0.0,0,0.0,165,24.1,8597,24.1
"42085","1","1024","73","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,15,517206,0,0,656,34101,"",1.64,0.69,0.63,0.00,0.00,0.90,0.90,"",0,0.0,1,7.1,92526,21.8,0,0.0,0,0.0,51,8.4,2643,8.4
"42085","1","1028","73","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",12,65,1765885,0,0,521,27098,"",1.20,0.12,0.09,0.00,0.00,0.74,0.74,"",1,9.1,21,47.7,262335,17.4,0,0.0,0,0.0,-134,-20.5,-6945,-20.4
"42085","1","48-49","74","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",16,226,9987767,0,0,850,44210,"",2.27,0.66,0.91,0.00,0.00,1.39,1.39,"",0,0.0,-20,-8.1,1223967,14.0,0,0.0,0,0.0,165,24.1,8597,24.1
"42085","1","491","75","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,226,9987767,0,0,850,44210,"",2.31,0.68,0.96,0.00,0.00,1.42,1.42,"",0,0.0,-20,-8.1,1223967,14.0,0,0.0,0,0.0,165,24.1,8597,24.1
"42085","1","4911","76","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,226,9987767,0,0,850,44210,"",2.31,0.68,0.96,0.00,0.00,1.42,1.42,"",0,0.0,-20,-8.1,1223967,14.0,0,0.0,0,0.0,165,24.1,8597,24.1
"42085","1","49111","77","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",16,226,9987767,0,0,850,44210,"",2.31,0.68,0.96,0.00,0.00,1.42,1.42,"",0,0.0,-20,-8.1,1223967,14.0,0,0.0,0,0.0,165,24.1,8597,24.1
"42085","1","491110","78","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",16,226,9987767,0,0,850,44210,"",2.31,0.68,0.96,0.00,0.00,1.42,1.42,"",0,0.0,-20,-8.1,1223967,14.0,0,0.0,0,0.0,165,24.1,8597,24.1
"42085","1","54","74","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,15,517206,0,0,656,34101,"",1.72,0.71,0.63,0.00,0.00,0.88,0.88,"",0,0.0,1,7.1,92526,21.8,0,0.0,0,0.0,51,8.4,2643,8.4
"42085","1","541","75","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,15,517206,0,0,656,34101,"",1.72,0.71,0.63,0.00,0.00,0.88,0.88,"",0,0.0,1,7.1,92526,21.8,0,0.0,0,0.0,51,8.4,2643,8.4
"42085","1","5413","76","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,15,517206,0,0,656,34101,"",2.85,1.10,1.01,0.00,0.00,0.91,0.91,"",0,0.0,1,7.1,92526,21.8,0,0.0,0,0.0,51,8.4,2643,8.4
"42085","1","54133","77","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,15,517206,0,0,656,34101,"",2.89,1.17,1.07,0.00,0.00,0.91,0.91,"",0,0.0,1,7.1,92526,21.8,0,0.0,0,0.0,51,8.4,2643,8.4
"42085","1","541330","78","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,15,517206,0,0,656,34101,"",2.89,1.17,1.07,0.00,0.00,0.91,0.91,"",0,0.0,1,7.1,92526,21.8,0,0.0,0,0.0,51,8.4,2643,8.4
"42085","1","92","74","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",12,65,1765885,0,0,521,27098,"",1.20,0.12,0.09,0.00,0.00,0.74,0.74,"",1,9.1,21,47.7,262335,17.4,0,0.0,0,0.0,-134,-20.5,-6945,-20.4
"42085","1","922","75","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,38302,0,0,804,41784,"",0.89,0.02,0.02,0.00,0.00,0.97,0.97,"",0,0.0,1,100.0,29384,329.5,0,0.0,0,0.0,118,17.2,6112,17.1
"42085","1","9221","76","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,38302,0,0,804,41784,"",0.89,0.02,0.02,0.00,0.00,0.97,0.97,"",0,0.0,1,100.0,29384,329.5,0,0.0,0,0.0,118,17.2,6112,17.1
"42085","1","92219","77","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Other justice and safety activities","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,38302,0,0,804,41784,"",2.43,0.59,0.61,0.00,0.00,1.13,1.13,"",0,0.0,1,100.0,29384,329.5,0,0.0,0,0.0,118,17.2,6112,17.1
"42085","1","922190","78","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Other justice and safety activities","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,38302,0,0,804,41784,"",2.43,0.59,0.61,0.00,0.00,1.13,1.13,"",0,0.0,1,100.0,29384,329.5,0,0.0,0,0.0,118,17.2,6112,17.1
"42085","1","923","75","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,13,273946,0,0,419,21771,"",1.23,0.25,0.14,0.00,0.00,0.59,0.59,"",0,0.0,0,0.0,-182252,-40.0,0,0.0,0,0.0,-283,-40.3,-14725,-40.3
"42085","1","9231","76","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,13,273946,0,0,419,21771,"",1.23,0.25,0.14,0.00,0.00,0.59,0.59,"",0,0.0,0,0.0,-182252,-40.0,0,0.0,0,0.0,-283,-40.3,-14725,-40.3
"42085","1","92313","77","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,13,273946,0,0,419,21771,"",1.66,0.46,0.31,0.00,0.00,0.69,0.69,"",0,0.0,0,0.0,-182252,-40.0,0,0.0,0,0.0,-283,-40.3,-14725,-40.3
"42085","1","923130","78","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,13,273946,0,0,419,21771,"",1.66,0.46,0.31,0.00,0.00,0.69,0.69,"",0,0.0,0,0.0,-182252,-40.0,0,0.0,0,0.0,-283,-40.3,-14725,-40.3
"42085","1","924","75","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,7,209018,0,0,611,31750,"",1.32,0.16,0.14,0.00,0.00,0.93,0.93,"",0,0.0,-1,-12.5,-70390,-25.2,0,0.0,0,0.0,-98,-13.8,-5095,-13.8
"42085","1","9241","76","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,7,209018,0,0,611,31750,"",1.32,0.16,0.14,0.00,0.00,0.93,0.93,"",0,0.0,-1,-12.5,-70390,-25.2,0,0.0,0,0.0,-98,-13.8,-5095,-13.8
"42085","1","92412","77","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,7,209018,0,0,611,31750,"",1.34,0.19,0.18,0.00,0.00,1.00,1.00,"",0,0.0,-1,-12.5,-70390,-25.2,0,0.0,0,0.0,-98,-13.8,-5095,-13.8
"42085","1","924120","78","0","2000","A","","Mercer County, Pennsylvania","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,7,209018,0,0,611,31750,"",1.34,0.19,0.18,0.00,0.00,1.00,1.00,"",0,0.0,-1,-12.5,-70390,-25.2,0,0.0,0,0.0,-98,-13.8,-5095,-13.8
