"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45047","0","10","70","0","2000","A","","Greenwood County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1647,32463,920333468,0,0,545,28351,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",4,0.2,-409,-1.2,45237057,5.2,0,0.0,0,0.0,33,6.4,1729,6.5
"45047","1","10","71","0","2000","A","","Greenwood County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,225,7868476,0,0,673,34984,"",1.05,0.31,0.30,0.00,0.00,0.94,0.94,"",0,0.0,22,10.8,869387,12.4,0,0.0,0,0.0,11,1.7,562,1.6
"45047","1","102","72","0","2000","A","","Greenwood County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,225,7868476,0,0,673,34984,"",1.05,0.32,0.30,0.00,0.00,0.95,0.95,"",0,0.0,22,10.8,869387,12.4,0,0.0,0,0.0,11,1.7,562,1.6
"45047","1","1021","73","0","2000","A","","Greenwood County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,117,4537294,0,0,743,38643,"",0.25,0.48,0.55,0.00,0.00,1.15,1.15,"",0,0.0,1,0.9,336037,8.0,0,0.0,0,0.0,43,6.1,2268,6.2
"45047","1","1023","73","0","2000","A","","Greenwood County, South Carolina","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,4,138466,0,0,726,37763,"",4.46,1.05,0.74,0.00,0.00,0.76,0.76,"",0,0.0,-2,-33.3,-94527,-40.6,0,0.0,0,0.0,-11,-1.5,-537,-1.4
"45047","1","1026","73","0","2000","A","","Greenwood County, South Carolina","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,5,154910,0,0,559,29046,"",4.48,0.36,0.56,0.00,0.00,1.44,1.45,"",0,0.0,-1,-16.7,56132,56.8,0,0.0,0,0.0,247,79.2,12809,78.9
"45047","1","1028","73","0","2000","A","","Greenwood County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,99,3037806,0,0,593,30841,"",1.45,0.27,0.21,0.00,0.00,0.78,0.78,"",0,0.0,23,30.3,571745,23.2,0,0.0,0,0.0,-34,-5.4,-1750,-5.4
"45047","1","48-49","74","0","2000","A","","Greenwood County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,117,4537294,0,0,743,38643,"",0.26,0.52,0.58,0.00,0.00,1.12,1.12,"",0,0.0,1,0.9,336037,8.0,0,0.0,0,0.0,43,6.1,2268,6.2
"45047","1","491","75","0","2000","A","","Greenwood County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,117,4537294,0,0,743,38643,"",0.26,0.53,0.61,0.00,0.00,1.15,1.15,"",0,0.0,1,0.9,336037,8.0,0,0.0,0,0.0,43,6.1,2268,6.2
"45047","1","4911","76","0","2000","A","","Greenwood County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,117,4537294,0,0,743,38643,"",0.26,0.53,0.61,0.00,0.00,1.15,1.15,"",0,0.0,1,0.9,336037,8.0,0,0.0,0,0.0,43,6.1,2268,6.2
"45047","1","49111","77","0","2000","A","","Greenwood County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,117,4537294,0,0,743,38643,"",0.26,0.53,0.61,0.00,0.00,1.15,1.15,"",0,0.0,1,0.9,336037,8.0,0,0.0,0,0.0,43,6.1,2268,6.2
"45047","1","491110","78","0","2000","A","","Greenwood County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,117,4537294,0,0,743,38643,"",0.26,0.53,0.61,0.00,0.00,1.15,1.15,"",0,0.0,1,0.9,336037,8.0,0,0.0,0,0.0,43,6.1,2268,6.2
"45047","1","52","74","0","2000","A","","Greenwood County, South Carolina","Federal Government","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",1,4,138466,0,0,726,37763,"",4.50,1.07,0.74,0.00,0.00,0.75,0.75,"",0,0.0,-2,-33.3,-94527,-40.6,0,0.0,0,0.0,-11,-1.5,-537,-1.4
"45047","1","522","75","0","2000","A","","Greenwood County, South Carolina","Federal Government","Credit intermediation and related activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,138466,0,0,726,37763,"",5.19,2.21,1.90,0.00,0.00,0.93,0.93,"",0,0.0,-2,-33.3,-94527,-40.6,0,0.0,0,0.0,-11,-1.5,-537,-1.4
"45047","1","5222","76","0","2000","A","","Greenwood County, South Carolina","Federal Government","Nondepository credit intermediation","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,138466,0,0,726,37763,"",5.20,2.27,1.96,0.00,0.00,0.94,0.94,"",0,0.0,-2,-33.3,-94527,-40.6,0,0.0,0,0.0,-11,-1.5,-537,-1.4
