"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45085","0","10","70","0","2000","A","","Sumter County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2064,41685,982127919,0,0,453,23561,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",42,2.1,1188,2.9,59204729,6.4,0,0.0,0,0.0,15,3.4,771,3.4
"45085","1","10","71","0","2000","A","","Sumter County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,1219,33905938,0,0,535,27826,"",1.30,1.32,1.19,0.00,0.00,0.90,0.90,"",1,6.2,43,3.7,1847289,5.8,0,0.0,0,0.0,11,2.1,567,2.1
"45085","1","102","72","0","2000","A","","Sumter County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",17,1219,33905938,0,0,535,27826,"",1.30,1.35,1.22,0.00,0.00,0.90,0.90,"",1,6.2,43,3.7,1847289,5.8,0,0.0,0,0.0,11,2.1,567,2.1
"45085","1","1021","73","0","2000","A","","Sumter County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,387,9857062,0,0,490,25498,"",0.80,1.23,1.12,0.00,0.00,0.91,0.91,"",0,0.0,1,0.3,345227,3.6,0,0.0,0,0.0,16,3.4,829,3.4
"45085","1","1023","73","0","2000","A","","Sumter County, South Carolina","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,318298,0,0,930,48349,"",3.56,1.43,1.58,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,9631,3.1,0,0.0,0,0.0,28,3.1,1463,3.1
"45085","1","1024","73","0","2000","A","","Sumter County, South Carolina","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,229,3056530,0,0,257,13362,"",4.77,12.42,4.86,0.00,0.00,0.39,0.39,"",0,0.0,-5,-2.1,706686,30.1,0,0.0,0,0.0,64,33.2,3309,32.9
"45085","1","1028","73","0","2000","A","","Sumter County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",10,597,20674048,0,0,666,34654,"",1.45,1.28,1.35,0.00,0.00,1.05,1.05,"",1,11.1,47,8.5,785745,4.0,0,0.0,0,0.0,-29,-4.2,-1496,-4.1
"45085","1","44-45","74","0","2000","A","","Sumter County, South Carolina","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",2,223,3467450,0,0,300,15584,"",16.79,12.10,14.90,0.00,0.00,1.24,1.23,"",0,0.0,2,0.9,-12163,-0.3,0,0.0,0,0.0,-3,-1.0,-155,-1.0
"45085","1","445","75","0","2000","A","","Sumter County, South Carolina","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,59,1449167,0,0,476,24737,"",20.92,16.62,21.05,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,42469,3.0,0,0.0,0,0.0,19,4.2,962,4.0
"45085","1","4451","76","0","2000","A","","Sumter County, South Carolina","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,59,1449167,0,0,476,24737,"",20.92,16.62,21.05,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,42469,3.0,0,0.0,0,0.0,19,4.2,962,4.0
