"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"45087","0","10","70","0","2000","A","","Union County, South Carolina","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",600,10275,243850491,0,0,456,23731,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",19,3.3,-316,-3.0,-3231628,-1.3,0,0.0,0,0.0,7,1.6,401,1.7
"45087","1","10","71","0","2000","A","","Union County, South Carolina","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",5,105,3197730,0,0,584,30358,"",1.31,0.46,0.45,0.00,0.00,0.98,0.98,"",0,0.0,10,10.5,379038,13.4,0,0.0,0,0.0,14,2.5,714,2.4
"45087","1","102","72","0","2000","A","","Union County, South Carolina","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",5,105,3197730,0,0,584,30358,"",1.31,0.47,0.46,0.00,0.00,0.98,0.98,"",0,0.0,10,10.5,379038,13.4,0,0.0,0,0.0,14,2.5,714,2.4
"45087","1","1021","73","0","2000","A","","Union County, South Carolina","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",1,51,1734866,0,0,656,34129,"",0.69,0.66,0.80,0.00,0.00,1.21,1.21,"",0,0.0,-3,-5.6,-10766,-0.6,0,0.0,0,0.0,36,5.8,1902,5.9
"45087","1","1028","73","0","2000","A","","Union County, South Carolina","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",4,55,1462864,0,0,516,26842,"",1.99,0.48,0.38,0.00,0.00,0.81,0.81,"",0,0.0,14,34.1,389804,36.3,0,0.0,0,0.0,12,2.4,617,2.4
"45087","1","48-49","74","0","2000","A","","Union County, South Carolina","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",1,51,1734866,0,0,656,34129,"",0.71,0.71,0.84,0.00,0.00,1.18,1.18,"",0,0.0,-3,-5.6,-10766,-0.6,0,0.0,0,0.0,36,5.8,1902,5.9
"45087","1","491","75","0","2000","A","","Union County, South Carolina","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,51,1734866,0,0,656,34129,"",0.72,0.73,0.88,0.00,0.00,1.21,1.21,"",0,0.0,-3,-5.6,-10766,-0.6,0,0.0,0,0.0,36,5.8,1902,5.9
"45087","1","4911","76","0","2000","A","","Union County, South Carolina","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,51,1734866,0,0,656,34129,"",0.72,0.73,0.88,0.00,0.00,1.21,1.21,"",0,0.0,-3,-5.6,-10766,-0.6,0,0.0,0,0.0,36,5.8,1902,5.9
"45087","1","49111","77","0","2000","A","","Union County, South Carolina","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,51,1734866,0,0,656,34129,"",0.72,0.73,0.88,0.00,0.00,1.21,1.21,"",0,0.0,-3,-5.6,-10766,-0.6,0,0.0,0,0.0,36,5.8,1902,5.9
"45087","1","491110","78","0","2000","A","","Union County, South Carolina","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,51,1734866,0,0,656,34129,"",0.72,0.73,0.88,0.00,0.00,1.21,1.21,"",0,0.0,-3,-5.6,-10766,-0.6,0,0.0,0,0.0,36,5.8,1902,5.9
