"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46057","0","10","70","0","2000","A","","Hamlin County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",170,1304,24681877,0,0,364,18929,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,3.0,40,3.2,1565814,6.8,0,0.0,0,0.0,12,3.4,634,3.5
"46057","1","10","71","0","2000","A","","Hamlin County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",8,40,1024975,0,0,491,25518,"",7.41,1.39,1.44,0.00,0.00,1.03,1.03,"",1,14.3,4,11.1,142292,16.1,0,0.0,0,0.0,13,2.7,654,2.6
"46057","1","102","72","0","2000","A","","Hamlin County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",8,40,1024975,0,0,491,25518,"",7.42,1.42,1.47,0.00,0.00,1.03,1.03,"",1,14.3,4,11.1,142292,16.1,0,0.0,0,0.0,13,2.7,654,2.6
"46057","1","1021","73","0","2000","A","","Hamlin County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,24,627816,0,0,508,26434,"",7.26,2.44,2.85,0.00,0.00,1.18,1.18,"",0,0.0,0,0.0,67874,12.1,0,0.0,0,0.0,56,12.4,2940,12.5
"46057","1","1028","73","0","2000","A","","Hamlin County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,16,397159,0,0,465,24192,"",8.79,1.10,1.03,0.00,0.00,0.91,0.92,"",1,25.0,4,33.3,74418,23.1,0,0.0,0,0.0,-67,-12.6,-3472,-12.6
"46057","1","48-49","74","0","2000","A","","Hamlin County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,24,627816,0,0,508,26434,"",7.50,2.64,2.99,0.00,0.00,1.14,1.15,"",0,0.0,0,0.0,67874,12.1,0,0.0,0,0.0,56,12.4,2940,12.5
"46057","1","491","75","0","2000","A","","Hamlin County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,24,627816,0,0,508,26434,"",7.63,2.72,3.16,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,67874,12.1,0,0.0,0,0.0,56,12.4,2940,12.5
"46057","1","4911","76","0","2000","A","","Hamlin County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,24,627816,0,0,508,26434,"",7.63,2.72,3.16,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,67874,12.1,0,0.0,0,0.0,56,12.4,2940,12.5
"46057","1","49111","77","0","2000","A","","Hamlin County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,24,627816,0,0,508,26434,"",7.63,2.72,3.16,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,67874,12.1,0,0.0,0,0.0,56,12.4,2940,12.5
"46057","1","491110","78","0","2000","A","","Hamlin County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,24,627816,0,0,508,26434,"",7.63,2.72,3.16,0.00,0.00,1.17,1.17,"",0,0.0,0,0.0,67874,12.1,0,0.0,0,0.0,56,12.4,2940,12.5
