"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"46081","0","10","70","0","2000","A","","Lawrence County, South Dakota","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",865,9721,204763399,0,0,405,21064,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",8,0.9,183,1.9,8949409,4.6,0,0.0,0,0.0,10,2.5,534,2.6
"46081","1","10","71","0","2000","A","","Lawrence County, South Dakota","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,203,7523235,0,0,711,36984,"",2.00,0.95,1.27,0.00,0.00,1.34,1.34,"",0,0.0,-9,-4.2,521648,7.5,0,0.0,0,0.0,75,11.8,3932,11.9
"46081","1","102","72","0","2000","A","","Lawrence County, South Dakota","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,203,7523235,0,0,711,36984,"",2.01,0.96,1.30,0.00,0.00,1.34,1.34,"",0,0.0,-9,-4.2,521648,7.5,0,0.0,0,0.0,75,11.8,3932,11.9
"46081","1","1021","73","0","2000","A","","Lawrence County, South Dakota","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,47,1929317,0,0,798,41491,"",1.43,0.64,1.06,0.00,0.00,1.66,1.66,"",0,0.0,-2,-4.1,162394,9.2,0,0.0,0,0.0,100,14.3,5184,14.3
"46081","1","1028","73","0","2000","A","","Lawrence County, South Dakota","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,157,5593918,0,0,686,35649,"",2.76,1.44,1.75,0.00,0.00,1.21,1.21,"",0,0.0,-6,-3.7,359254,6.9,0,0.0,0,0.0,69,11.2,3567,11.1
"46081","1","48-49","74","0","2000","A","","Lawrence County, South Dakota","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,47,1929317,0,0,798,41491,"",1.47,0.69,1.11,0.00,0.00,1.62,1.62,"",0,0.0,-2,-4.1,162394,9.2,0,0.0,0,0.0,100,14.3,5184,14.3
"46081","1","491","75","0","2000","A","","Lawrence County, South Dakota","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,47,1929317,0,0,798,41491,"",1.50,0.71,1.17,0.00,0.00,1.66,1.66,"",0,0.0,-2,-4.1,162394,9.2,0,0.0,0,0.0,100,14.3,5184,14.3
"46081","1","4911","76","0","2000","A","","Lawrence County, South Dakota","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,47,1929317,0,0,798,41491,"",1.50,0.71,1.17,0.00,0.00,1.66,1.66,"",0,0.0,-2,-4.1,162394,9.2,0,0.0,0,0.0,100,14.3,5184,14.3
"46081","1","49111","77","0","2000","A","","Lawrence County, South Dakota","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,47,1929317,0,0,798,41491,"",1.50,0.71,1.17,0.00,0.00,1.66,1.66,"",0,0.0,-2,-4.1,162394,9.2,0,0.0,0,0.0,100,14.3,5184,14.3
"46081","1","491110","78","0","2000","A","","Lawrence County, South Dakota","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,47,1929317,0,0,798,41491,"",1.50,0.71,1.17,0.00,0.00,1.66,1.66,"",0,0.0,-2,-4.1,162394,9.2,0,0.0,0,0.0,100,14.3,5184,14.3
"46081","1","92","74","0","2000","A","","Lawrence County, South Dakota","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",8,157,5593918,0,0,686,35649,"",2.76,1.44,1.75,0.00,0.00,1.21,1.21,"",0,0.0,-6,-3.7,359254,6.9,0,0.0,0,0.0,69,11.2,3567,11.1
"46081","1","922","75","0","2000","A","","Lawrence County, South Dakota","Federal Government","Justice, public order, and safety activities","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,7453,0,0,860,44718,"",3.06,0.00,0.02,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,-18075,-70.8,0,0.0,0,0.0,-318,-27.0,-16549,-27.0
"46081","1","9221","76","0","2000","A","","Lawrence County, South Dakota","Federal Government","Justice, public order, and safety activities","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,0,7453,0,0,860,44718,"",3.06,0.00,0.02,0.00,0.00,1.28,1.28,"",0,0.0,0,0.0,-18075,-70.8,0,0.0,0,0.0,-318,-27.0,-16549,-27.0
