"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47087","0","10","70","0","2000","A","","Jackson County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",108,1845,39876110,0,0,416,21619,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,-58,-3.0,-194009,-0.5,0,0.0,0,0.0,11,2.7,562,2.7
"47087","1","10","71","0","2000","A","","Jackson County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,35,858656,0,0,476,24769,"",8.74,0.86,0.75,0.00,0.00,0.87,0.88,"",0,0.0,7,25.0,102219,13.5,0,0.0,0,0.0,-36,-7.0,-1850,-6.9
"47087","1","102","72","0","2000","A","","Jackson County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,35,858656,0,0,476,24769,"",8.76,0.88,0.76,0.00,0.00,0.88,0.88,"",0,0.0,7,25.0,102219,13.5,0,0.0,0,0.0,-36,-7.0,-1850,-6.9
"47087","1","1021","73","0","2000","A","","Jackson County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,22,594237,0,0,532,27639,"",11.43,1.58,1.67,0.00,0.00,1.08,1.08,"",0,0.0,1,4.8,9131,1.6,0,0.0,0,0.0,7,1.3,319,1.2
"47087","1","1028","73","0","2000","A","","Jackson County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",3,13,264419,0,0,386,20082,"",8.30,0.63,0.42,0.00,0.00,0.66,0.67,"",0,0.0,6,85.7,93088,54.3,0,0.0,0,0.0,-85,-18.0,-4394,-18.0
"47087","1","48-49","74","0","2000","A","","Jackson County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,22,594237,0,0,532,27639,"",11.80,1.71,1.75,0.00,0.00,1.05,1.05,"",0,0.0,1,4.8,9131,1.6,0,0.0,0,0.0,7,1.3,319,1.2
"47087","1","491","75","0","2000","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,22,594237,0,0,532,27639,"",12.02,1.76,1.85,0.00,0.00,1.07,1.07,"",0,0.0,1,4.8,9131,1.6,0,0.0,0,0.0,7,1.3,319,1.2
"47087","1","4911","76","0","2000","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,22,594237,0,0,532,27639,"",12.02,1.76,1.85,0.00,0.00,1.07,1.07,"",0,0.0,1,4.8,9131,1.6,0,0.0,0,0.0,7,1.3,319,1.2
"47087","1","49111","77","0","2000","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,22,594237,0,0,532,27639,"",12.02,1.76,1.85,0.00,0.00,1.07,1.07,"",0,0.0,1,4.8,9131,1.6,0,0.0,0,0.0,7,1.3,319,1.2
"47087","1","491110","78","0","2000","A","","Jackson County, Tennessee","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,22,594237,0,0,532,27639,"",12.02,1.76,1.85,0.00,0.00,1.07,1.07,"",0,0.0,1,4.8,9131,1.6,0,0.0,0,0.0,7,1.3,319,1.2
"47087","1","92","74","0","2000","A","","Jackson County, Tennessee","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",3,13,264419,0,0,386,20082,"",8.30,0.63,0.42,0.00,0.00,0.66,0.67,"",0,0.0,6,85.7,93088,54.3,0,0.0,0,0.0,-85,-18.0,-4394,-18.0
"47087","1","924","75","0","2000","A","","Jackson County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,203114,0,0,369,19192,"",24.32,6.92,4.50,0.00,0.00,0.68,0.68,"",0,0.0,4,57.1,31783,18.6,0,0.0,0,0.0,-102,-21.7,-5284,-21.6
"47087","1","9241","76","0","2000","A","","Jackson County, Tennessee","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,203114,0,0,369,19192,"",24.32,6.92,4.50,0.00,0.00,0.68,0.68,"",0,0.0,4,57.1,31783,18.6,0,0.0,0,0.0,-102,-21.7,-5284,-21.6
"47087","1","92412","77","0","2000","A","","Jackson County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,203114,0,0,369,19192,"",24.79,8.20,5.77,0.00,0.00,0.73,0.73,"",0,0.0,4,57.1,31783,18.6,0,0.0,0,0.0,-102,-21.7,-5284,-21.6
"47087","1","924120","78","0","2000","A","","Jackson County, Tennessee","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,203114,0,0,369,19192,"",24.79,8.20,5.77,0.00,0.00,0.73,0.73,"",0,0.0,4,57.1,31783,18.6,0,0.0,0,0.0,-102,-21.7,-5284,-21.6
"47087","5","10","71","0","2000","A","","Jackson County, Tennessee","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",95,1441,31123278,0,0,415,21598,"",0.91,0.92,0.92,0.00,0.00,1.00,1.00,"",-1,-1.0,-66,-4.4,-601682,-1.9,0,0.0,0,0.0,10,2.5,542,2.6
"47087","5","101","72","0","2000","A","","Jackson County, Tennessee","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",19,771,15069772,0,0,376,19544,"",1.06,2.11,1.66,0.00,0.00,0.79,0.79,"",-2,-9.5,-88,-10.2,-1444893,-8.7,0,0.0,0,0.0,6,1.6,315,1.6
"47087","5","1012","73","0","2000","A","","Jackson County, Tennessee","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",12,99,2203769,0,0,427,22204,"",1.13,1.05,1.03,0.00,0.00,0.98,0.98,"",-2,-14.3,-7,-6.6,59444,2.8,0,0.0,0,0.0,36,9.2,1879,9.2
"47087","5","1013","73","0","2000","A","","Jackson County, Tennessee","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",7,672,12866003,0,0,368,19151,"",1.27,2.73,1.99,0.00,0.00,0.73,0.73,"",0,0.0,-81,-10.8,-1504337,-10.5,0,0.0,0,0.0,1,0.3,75,0.4
"47087","5","102","72","0","2000","A","","Jackson County, Tennessee","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",77,670,16053506,0,0,461,23963,"",0.89,0.56,0.65,0.00,0.00,1.16,1.16,"",2,2.7,22,3.4,843211,5.5,0,0.0,0,0.0,9,2.0,484,2.1
"47087","5","1021","73","0","2000","A","","Jackson County, Tennessee","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",33,170,3255670,0,0,369,19207,"",1.30,0.46,0.47,0.00,0.00,1.01,1.02,"",0,0.0,2,1.2,-60179,-1.8,0,0.0,0,0.0,-10,-2.6,-501,-2.5
"47087","5","1023","73","0","2000","A","","Jackson County, Tennessee","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",7,88,2376196,0,0,520,27053,"",0.72,0.82,0.69,0.00,0.00,0.84,0.84,"",1,16.7,3,3.5,106065,4.7,0,0.0,0,0.0,7,1.4,398,1.5
"47087","5","1024","73","0","2000","A","","Jackson County, Tennessee","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",15,44,759743,0,0,329,17105,"",0.89,0.19,0.12,0.00,0.00,0.66,0.66,"",2,15.4,4,10.0,54443,7.7,0,0.0,0,0.0,-8,-2.4,-418,-2.4
