"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"47151","0","10","70","0","2000","A","","Scott County, Tennessee","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",326,6331,139812872,0,0,425,22082,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-0.3,304,5.0,11900541,9.3,0,0.0,0,0.0,17,4.2,859,4.0
"47151","1","10","71","0","2000","A","","Scott County, Tennessee","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",6,99,3561857,0,0,693,36039,"",2.90,0.71,0.88,0.00,0.00,1.25,1.25,"",0,0.0,8,8.8,713220,25.0,0,0.0,0,0.0,89,14.7,4620,14.7
"47151","1","102","72","0","2000","A","","Scott County, Tennessee","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",6,99,3561857,0,0,693,36039,"",2.90,0.72,0.90,0.00,0.00,1.25,1.25,"",0,0.0,8,8.8,713220,25.0,0,0.0,0,0.0,89,14.7,4620,14.7
"47151","1","1021","73","0","2000","A","","Scott County, Tennessee","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,35,1172238,0,0,643,33413,"",3.79,0.73,0.94,0.00,0.00,1.27,1.28,"",0,0.0,0,0.0,37796,3.3,0,0.0,0,0.0,20,3.2,1000,3.1
"47151","1","1026","73","0","2000","A","","Scott County, Tennessee","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,56,2203427,0,0,751,39056,"",22.61,20.73,52.11,0.00,0.00,2.49,2.50,"",0,0.0,2,3.7,540451,32.5,0,0.0,0,0.0,163,27.7,8496,27.8
"47151","1","1028","73","0","2000","A","","Scott County, Tennessee","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,186192,0,0,488,25390,"",1.83,0.10,0.09,0.00,0.00,0.82,0.82,"",0,0.0,6,600.0,134973,263.5,0,0.0,0,0.0,-300,-38.1,-15585,-38.0
"47151","1","48-49","74","0","2000","A","","Scott County, Tennessee","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,35,1172238,0,0,643,33413,"",3.91,0.79,0.98,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,37796,3.3,0,0.0,0,0.0,20,3.2,1000,3.1
"47151","1","491","75","0","2000","A","","Scott County, Tennessee","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,35,1172238,0,0,643,33413,"",3.98,0.82,1.04,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,37796,3.3,0,0.0,0,0.0,20,3.2,1000,3.1
"47151","1","4911","76","0","2000","A","","Scott County, Tennessee","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,35,1172238,0,0,643,33413,"",3.98,0.82,1.04,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,37796,3.3,0,0.0,0,0.0,20,3.2,1000,3.1
"47151","1","49111","77","0","2000","A","","Scott County, Tennessee","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,35,1172238,0,0,643,33413,"",3.98,0.82,1.04,0.00,0.00,1.27,1.27,"",0,0.0,0,0.0,37796,3.3,0,0.0,0,0.0,20,3.2,1000,3.1
