"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48187","0","10","70","0","2000","A","","Guadalupe County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1307,21806,589348591,0,0,520,27027,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",42,3.3,311,1.4,37930540,6.9,0,0.0,0,0.0,27,5.5,1374,5.4
"48187","1","10","71","0","2000","A","","Guadalupe County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",12,210,8578075,0,0,785,40799,"",1.44,0.44,0.50,0.00,0.00,1.15,1.15,"",0,0.0,27,14.8,1246711,17.0,0,0.0,0,0.0,15,1.9,737,1.8
"48187","1","102","72","0","2000","A","","Guadalupe County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",12,210,8578075,0,0,785,40799,"",1.45,0.44,0.51,0.00,0.00,1.16,1.16,"",0,0.0,27,14.8,1246711,17.0,0,0.0,0,0.0,15,1.9,737,1.8
"48187","1","1021","73","0","2000","A","","Guadalupe County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,122,5291577,0,0,832,43255,"",0.94,0.74,1.01,0.00,0.00,1.35,1.35,"",0,0.0,4,3.4,585939,12.5,0,0.0,0,0.0,66,8.6,3405,8.5
"48187","1","1023","73","0","2000","A","","Guadalupe County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",1,7,342756,0,0,889,46214,"",5.62,2.74,2.84,0.00,0.00,0.98,0.98,"",0,0.0,-1,-12.5,7970,2.4,0,0.0,0,0.0,124,16.2,6437,16.2
"48187","1","1028","73","0","2000","A","","Guadalupe County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",8,81,2943742,0,0,703,36568,"",1.83,0.33,0.32,0.00,0.00,0.97,0.97,"",0,0.0,24,42.1,652802,28.5,0,0.0,0,0.0,-77,-9.9,-3980,-9.8
"48187","1","48-49","74","0","2000","A","","Guadalupe County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,122,5291577,0,0,832,43255,"",0.97,0.80,1.05,0.00,0.00,1.31,1.31,"",0,0.0,4,3.4,585939,12.5,0,0.0,0,0.0,66,8.6,3405,8.5
"48187","1","491","75","0","2000","A","","Guadalupe County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,122,5291577,0,0,832,43255,"",0.99,0.83,1.11,0.00,0.00,1.34,1.35,"",0,0.0,4,3.4,585939,12.5,0,0.0,0,0.0,66,8.6,3405,8.5
"48187","1","4911","76","0","2000","A","","Guadalupe County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,122,5291577,0,0,832,43255,"",0.99,0.83,1.11,0.00,0.00,1.34,1.35,"",0,0.0,4,3.4,585939,12.5,0,0.0,0,0.0,66,8.6,3405,8.5
"48187","1","49111","77","0","2000","A","","Guadalupe County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,122,5291577,0,0,832,43255,"",0.99,0.83,1.11,0.00,0.00,1.34,1.35,"",0,0.0,4,3.4,585939,12.5,0,0.0,0,0.0,66,8.6,3405,8.5
