"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48277","0","10","70","0","2000","A","","Lamar County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1158,20106,515481713,0,0,493,25638,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-0.4,27,0.1,5925023,1.2,0,0.0,0,0.0,5,1.0,261,1.0
"48277","1","10","71","0","2000","A","","Lamar County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",13,172,6402141,0,0,716,37240,"",1.77,0.39,0.43,0.00,0.00,1.11,1.11,"",0,0.0,8,4.9,851619,15.3,0,0.0,0,0.0,64,9.8,3344,9.9
"48277","1","102","72","0","2000","A","","Lamar County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",13,172,6402141,0,0,716,37240,"",1.77,0.39,0.44,0.00,0.00,1.11,1.11,"",0,0.0,8,4.9,851619,15.3,0,0.0,0,0.0,64,9.8,3344,9.9
"48277","1","1021","73","0","2000","A","","Lamar County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",4,113,4268750,0,0,725,37693,"",1.42,0.75,0.93,0.00,0.00,1.24,1.24,"",0,0.0,-4,-3.4,450516,11.8,0,0.0,0,0.0,99,15.8,5128,15.7
"48277","1","1024","73","0","2000","A","","Lamar County, Texas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,6,230057,0,0,727,37818,"",8.49,0.67,0.70,0.00,0.00,1.02,1.02,"",0,0.0,0,0.0,15347,7.1,0,0.0,0,0.0,84,13.1,4357,13.0
"48277","1","1028","73","0","2000","A","","Lamar County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",7,53,1903334,0,0,696,36197,"",1.81,0.24,0.24,0.00,0.00,1.01,1.01,"",0,0.0,13,32.5,385756,25.4,0,0.0,0,0.0,-32,-4.4,-1664,-4.4
"48277","1","48-49","74","0","2000","A","","Lamar County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",4,113,4268750,0,0,725,37693,"",1.47,0.80,0.97,0.00,0.00,1.21,1.21,"",0,0.0,-4,-3.4,450516,11.8,0,0.0,0,0.0,99,15.8,5128,15.7
"48277","1","491","75","0","2000","A","","Lamar County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,113,4268750,0,0,725,37693,"",1.49,0.83,1.03,0.00,0.00,1.24,1.24,"",0,0.0,-4,-3.4,450516,11.8,0,0.0,0,0.0,99,15.8,5128,15.7
"48277","1","4911","76","0","2000","A","","Lamar County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,113,4268750,0,0,725,37693,"",1.49,0.83,1.03,0.00,0.00,1.24,1.24,"",0,0.0,-4,-3.4,450516,11.8,0,0.0,0,0.0,99,15.8,5128,15.7
"48277","1","49111","77","0","2000","A","","Lamar County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",4,113,4268750,0,0,725,37693,"",1.49,0.83,1.03,0.00,0.00,1.24,1.24,"",0,0.0,-4,-3.4,450516,11.8,0,0.0,0,0.0,99,15.8,5128,15.7
"48277","1","491110","78","0","2000","A","","Lamar County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",4,113,4268750,0,0,725,37693,"",1.49,0.83,1.03,0.00,0.00,1.24,1.24,"",0,0.0,-4,-3.4,450516,11.8,0,0.0,0,0.0,99,15.8,5128,15.7
"48277","1","54","74","0","2000","A","","Lamar County, Texas","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",2,6,230057,0,0,727,37818,"",8.90,0.70,0.70,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,15347,7.1,0,0.0,0,0.0,84,13.1,4357,13.0
"48277","1","541","75","0","2000","A","","Lamar County, Texas","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,6,230057,0,0,727,37818,"",8.90,0.70,0.70,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,15347,7.1,0,0.0,0,0.0,84,13.1,4357,13.0
"48277","1","5413","76","0","2000","A","","Lamar County, Texas","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,6,230057,0,0,727,37818,"",14.71,1.08,1.13,0.00,0.00,1.03,1.03,"",0,0.0,0,0.0,15347,7.1,0,0.0,0,0.0,84,13.1,4357,13.0
"48277","1","54133","77","0","2000","A","","Lamar County, Texas","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,6,230057,0,0,727,37818,"",14.92,1.15,1.19,0.00,0.00,1.02,1.03,"",0,0.0,0,0.0,15347,7.1,0,0.0,0,0.0,84,13.1,4357,13.0
"48277","1","541330","78","0","2000","A","","Lamar County, Texas","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,6,230057,0,0,727,37818,"",14.92,1.15,1.19,0.00,0.00,1.02,1.03,"",0,0.0,0,0.0,15347,7.1,0,0.0,0,0.0,84,13.1,4357,13.0
