"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48281","0","10","70","0","2000","A","","Lampasas County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",406,4329,88928112,0,0,395,20542,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",12,3.0,363,9.2,7769495,9.6,0,0.0,0,0.0,1,0.3,78,0.4
"48281","1","10","71","0","2000","A","","Lampasas County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",7,57,1941359,0,0,652,33910,"",2.71,0.60,0.76,0.00,0.00,1.26,1.26,"",0,0.0,11,23.9,300048,18.3,0,0.0,0,0.0,-30,-4.4,-1578,-4.4
"48281","1","102","72","0","2000","A","","Lampasas County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",7,57,1941359,0,0,652,33910,"",2.72,0.61,0.77,0.00,0.00,1.26,1.26,"",0,0.0,11,23.9,300048,18.3,0,0.0,0,0.0,-30,-4.4,-1578,-4.4
"48281","1","1021","73","0","2000","A","","Lampasas County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,36,1396807,0,0,739,38444,"",2.03,1.10,1.76,0.00,0.00,1.58,1.58,"",0,0.0,-1,-2.7,143160,11.4,0,0.0,0,0.0,86,13.2,4485,13.2
"48281","1","1028","73","0","2000","A","","Lampasas County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,21,544552,0,0,501,26034,"",3.68,0.43,0.39,0.00,0.00,0.91,0.91,"",0,0.0,12,133.3,156888,40.5,0,0.0,0,0.0,-298,-37.3,-15501,-37.3
"48281","1","48-49","74","0","2000","A","","Lampasas County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,36,1396807,0,0,739,38444,"",2.09,1.19,1.84,0.00,0.00,1.53,1.54,"",0,0.0,-1,-2.7,143160,11.4,0,0.0,0,0.0,86,13.2,4485,13.2
"48281","1","491","75","0","2000","A","","Lampasas County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,36,1396807,0,0,739,38444,"",2.13,1.23,1.95,0.00,0.00,1.57,1.57,"",0,0.0,-1,-2.7,143160,11.4,0,0.0,0,0.0,86,13.2,4485,13.2
"48281","1","4911","76","0","2000","A","","Lampasas County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,36,1396807,0,0,739,38444,"",2.13,1.23,1.95,0.00,0.00,1.57,1.57,"",0,0.0,-1,-2.7,143160,11.4,0,0.0,0,0.0,86,13.2,4485,13.2
"48281","1","49111","77","0","2000","A","","Lampasas County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,36,1396807,0,0,739,38444,"",2.13,1.23,1.95,0.00,0.00,1.57,1.57,"",0,0.0,-1,-2.7,143160,11.4,0,0.0,0,0.0,86,13.2,4485,13.2
"48281","1","491110","78","0","2000","A","","Lampasas County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,36,1396807,0,0,739,38444,"",2.13,1.23,1.95,0.00,0.00,1.57,1.57,"",0,0.0,-1,-2.7,143160,11.4,0,0.0,0,0.0,86,13.2,4485,13.2
"48281","1","92","74","0","2000","A","","Lampasas County, Texas","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,21,544552,0,0,501,26034,"",3.68,0.43,0.39,0.00,0.00,0.91,0.91,"",0,0.0,12,133.3,156888,40.5,0,0.0,0,0.0,-298,-37.3,-15501,-37.3
"48281","1","924","75","0","2000","A","","Lampasas County, Texas","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,10,276776,0,0,555,28881,"",6.47,2.68,2.75,0.00,0.00,1.07,1.07,"",0,0.0,5,100.0,67794,32.4,0,0.0,0,0.0,-199,-26.4,-10303,-26.3
"48281","1","9241","76","0","2000","A","","Lampasas County, Texas","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,10,276776,0,0,555,28881,"",6.47,2.68,2.75,0.00,0.00,1.07,1.07,"",0,0.0,5,100.0,67794,32.4,0,0.0,0,0.0,-199,-26.4,-10303,-26.3
"48281","1","92412","77","0","2000","A","","Lampasas County, Texas","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,10,276776,0,0,555,28881,"",6.60,3.18,3.52,0.00,0.00,1.16,1.16,"",0,0.0,5,100.0,67794,32.4,0,0.0,0,0.0,-199,-26.4,-10303,-26.3
"48281","1","924120","78","0","2000","A","","Lampasas County, Texas","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,10,276776,0,0,555,28881,"",6.60,3.18,3.52,0.00,0.00,1.16,1.16,"",0,0.0,5,100.0,67794,32.4,0,0.0,0,0.0,-199,-26.4,-10303,-26.3
"48281","1","926","75","0","2000","A","","Lampasas County, Texas","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,11,267776,0,0,454,23627,"",5.50,1.18,1.17,0.00,0.00,0.96,0.96,"",0,0.0,7,175.0,89094,49.9,0,0.0,0,0.0,-405,-47.1,-21044,-47.1
"48281","1","9261","76","0","2000","A","","Lampasas County, Texas","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,11,267776,0,0,454,23627,"",5.50,1.18,1.17,0.00,0.00,0.96,0.96,"",0,0.0,7,175.0,89094,49.9,0,0.0,0,0.0,-405,-47.1,-21044,-47.1
"48281","1","92614","77","0","2000","A","","Lampasas County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,4,191623,0,0,921,47906,"",9.42,2.29,3.99,0.00,0.00,1.74,1.74,"",0,0.0,0,0.0,13377,7.5,0,0.0,0,0.0,64,7.5,3344,7.5
"48281","1","926140","78","0","2000","A","","Lampasas County, Texas","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,4,191623,0,0,921,47906,"",9.42,2.29,3.99,0.00,0.00,1.74,1.74,"",0,0.0,0,0.0,13377,7.5,0,0.0,0,0.0,64,7.5,3344,7.5
"48281","2","10","71","0","2000","A","","Lampasas County, Texas","State Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",20,91,3103282,0,0,655,34071,"",5.97,0.62,1.01,0.00,0.00,1.61,1.61,"",1,5.3,-2,-2.2,189441,6.5,0,0.0,0,0.0,52,8.6,2711,8.6
"48281","2","1028","73","0","2000","A","","Lampasas County, Texas","State Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",15,34,1311833,0,0,749,38965,"",6.46,0.55,0.97,0.00,0.00,1.77,1.77,"",0,0.0,1,3.0,131430,11.1,0,0.0,0,0.0,66,9.7,3464,9.8
"48281","2","92","74","0","2000","A","","Lampasas County, Texas","State Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",15,34,1311833,0,0,749,38965,"",6.46,0.55,0.97,0.00,0.00,1.77,1.77,"",0,0.0,1,3.0,131430,11.1,0,0.0,0,0.0,66,9.7,3464,9.8
"48281","3","10","71","0","2000","A","","Lampasas County, Texas","Local Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",17,800,18679843,0,0,449,23350,"",2.34,1.90,2.36,0.00,0.00,1.24,1.24,"",1,6.2,-13,-1.6,910130,5.1,0,0.0,0,0.0,29,6.9,1500,6.9
"48281","3","1028","73","0","2000","A","","Lampasas County, Texas","Local Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",11,164,3621889,0,0,426,22141,"",3.79,1.34,1.48,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,201196,5.9,0,0.0,0,0.0,24,6.0,1219,5.8
"48281","3","92","74","0","2000","A","","Lampasas County, Texas","Local Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",11,164,3621889,0,0,426,22141,"",3.79,1.34,1.48,0.00,0.00,1.11,1.11,"",0,0.0,0,0.0,201196,5.9,0,0.0,0,0.0,24,6.0,1219,5.8
"48281","3","921","75","0","2000","A","","Lampasas County, Texas","Local Government","Executive, legislative and general government","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,112,2470154,0,0,423,22006,"",2.78,1.35,1.61,0.00,0.00,1.19,1.19,"",0,0.0,-1,-0.9,140770,6.0,0,0.0,0,0.0,25,6.3,1300,6.3
"48281","3","9211","76","0","2000","A","","Lampasas County, Texas","Local Government","Executive, legislative and general government","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,112,2470154,0,0,423,22006,"",2.78,1.35,1.61,0.00,0.00,1.19,1.19,"",0,0.0,-1,-0.9,140770,6.0,0,0.0,0,0.0,25,6.3,1300,6.3
"48281","5","10","71","0","2000","A","","Lampasas County, Texas","Private","Total, all industries","County, Total -- by ownership sector","All establishment sizes",363,3381,65203628,0,0,371,19286,"",0.92,0.92,0.87,0.00,0.00,0.94,0.94,"",10,2.8,367,12.2,6369876,10.8,0,0.0,0,0.0,-4,-1.1,-237,-1.2
"48281","5","101","72","0","2000","A","","Lampasas County, Texas","Private","Goods-producing","County, by Domain -- by ownership sector","All establishment sizes",107,1059,24083987,0,0,437,22735,"",1.59,1.24,1.19,0.00,0.00,0.96,0.96,"",5,4.9,216,25.6,2678557,12.5,0,0.0,0,0.0,-52,-10.6,-2670,-10.5
"48281","5","1011","73","0","2000","A","","Lampasas County, Texas","Private","Natural resources and mining","County, by Supersector -- by ownership sector","All establishment sizes",19,43,706333,0,0,318,16522,"",2.86,0.76,0.69,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,-129541,-15.5,0,0.0,0,0.0,-60,-15.9,-3146,-16.0
"48281","5","1012","73","0","2000","A","","Lampasas County, Texas","Private","Construction","County, by Supersector -- by ownership sector","All establishment sizes",69,568,13014130,0,0,441,22932,"",1.74,2.56,2.73,0.00,0.00,1.07,1.07,"",4,6.2,39,7.4,1904975,17.1,0,0.0,0,0.0,37,9.2,1948,9.3
"48281","5","1013","73","0","2000","A","","Lampasas County, Texas","Private","Manufacturing","County, by Supersector -- by ownership sector","All establishment sizes",20,449,10363524,0,0,444,23077,"",0.96,0.78,0.72,0.00,0.00,0.92,0.92,"",2,11.1,178,65.7,903123,9.5,0,0.0,0,0.0,-228,-33.9,-11875,-34.0
"48281","5","102","72","0","2000","A","","Lampasas County, Texas","Private","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",256,2322,41119641,0,0,341,17713,"",0.79,0.83,0.75,0.00,0.00,0.90,0.90,"",5,2.0,151,7.0,3691319,9.9,0,0.0,0,0.0,9,2.7,473,2.7
"48281","5","1021","73","0","2000","A","","Lampasas County, Texas","Private","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",96,793,16144243,0,0,392,20361,"",1.01,0.92,1.04,0.00,0.00,1.13,1.13,"",3,3.2,78,10.9,2574639,19.0,0,0.0,0,0.0,27,7.4,1389,7.3
"48281","5","1023","73","0","2000","A","","Lampasas County, Texas","Private","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",33,128,3152429,0,0,475,24677,"",0.90,0.51,0.41,0.00,0.00,0.81,0.81,"",3,10.0,11,9.4,442371,16.3,0,0.0,0,0.0,31,7.0,1580,6.8
"48281","5","1024","73","0","2000","A","","Lampasas County, Texas","Private","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",36,392,5778485,0,0,283,14741,"",0.57,0.71,0.42,0.00,0.00,0.60,0.60,"",2,5.9,48,14.0,648983,12.7,0,0.0,0,0.0,-3,-1.0,-152,-1.0
"48281","5","1025","73","0","2000","A","","Lampasas County, Texas","Private","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",24,436,8892379,0,0,392,20403,"",0.69,0.91,1.02,0.00,0.00,1.12,1.12,"",0,0.0,-6,-1.4,-457229,-4.9,0,0.0,0,0.0,-15,-3.7,-750,-3.5
"48281","5","1026","73","0","2000","A","","Lampasas County, Texas","Private","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",26,386,3983576,0,0,199,10334,"",0.80,0.98,1.15,0.00,0.00,1.18,1.18,"",0,0.0,15,4.0,368783,10.2,0,0.0,0,0.0,12,6.4,595,6.1
"48281","5","112","75","0","2000","A","","Lampasas County, Texas","Private","Animal production and aquaculture","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,36,565570,0,0,306,15932,"",15.14,5.49,6.72,0.00,0.00,1.24,1.24,"",-1,-5.9,1,2.9,-159938,-22.0,0,0.0,0,0.0,-89,-22.5,-4601,-22.4
"48281","5","23","74","0","2000","A","","Lampasas County, Texas","Private","Construction","County, NAICS Sector -- by ownership sector","All establishment sizes",69,568,13014130,0,0,441,22932,"",1.74,2.56,2.73,0.00,0.00,1.07,1.07,"",4,6.2,39,7.4,1904975,17.1,0,0.0,0,0.0,37,9.2,1948,9.3
"48281","5","236","75","0","2000","A","","Lampasas County, Texas","Private","Construction of buildings","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,132,3470927,0,0,505,26278,"",1.86,2.56,2.95,0.00,0.00,1.15,1.15,"",1,4.8,19,16.8,754146,27.8,0,0.0,0,0.0,42,9.1,2200,9.1
"48281","5","2361","76","0","2000","A","","Lampasas County, Texas","Private","Residential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,33,548026,0,0,324,16862,"",1.10,1.32,1.11,0.00,0.00,0.85,0.85,"",-1,-9.1,-2,-5.7,29419,5.7,0,0.0,0,0.0,37,12.9,1938,13.0
"48281","5","23611","77","0","2000","A","","Lampasas County, Texas","Private","Residential building construction","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,33,548026,0,0,324,16862,"",1.10,1.32,1.11,0.00,0.00,0.85,0.85,"",-1,-9.1,-2,-5.7,29419,5.7,0,0.0,0,0.0,37,12.9,1938,13.0
"48281","5","2362","76","0","2000","A","","Lampasas County, Texas","Private","Nonresidential building construction","County, NAICS 4-digit -- by ownership sector","All establishment sizes",12,100,2922901,0,0,564,29351,"",4.33,3.75,4.29,0.00,0.00,1.15,1.15,"",2,20.0,22,28.2,724727,33.0,0,0.0,0,0.0,23,4.3,1199,4.3
"48281","5","237","75","0","2000","A","","Lampasas County, Texas","Private","Heavy and civil engineering construction","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,27,531492,0,0,375,19504,"",1.61,0.87,0.71,0.00,0.00,0.81,0.81,"",-1,-16.7,2,8.0,51104,10.6,0,0.0,0,0.0,8,2.2,416,2.2
"48281","5","238","75","0","2000","A","","Lampasas County, Texas","Private","Specialty trade contractors","County, NAICS 3-digit -- by ownership sector","All establishment sizes",42,408,9011711,0,0,425,22079,"",1.69,2.94,3.18,0.00,0.00,1.08,1.08,"",3,7.7,17,4.3,1099725,13.9,0,0.0,0,0.0,36,9.3,1865,9.2
"48281","5","2381","76","0","2000","A","","Lampasas County, Texas","Private","Building foundation and exterior contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",13,55,1052139,0,0,366,19015,"",2.37,1.84,1.97,0.00,0.00,1.06,1.06,"",1,8.3,1,1.9,83971,8.7,0,0.0,0,0.0,20,5.8,1030,5.7
"48281","5","2382","76","0","2000","A","","Lampasas County, Texas","Private","Building equipment contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",16,213,4777789,0,0,432,22457,"",1.76,3.43,3.34,0.00,0.00,0.98,0.98,"",1,6.7,22,11.5,728668,18.0,0,0.0,0,0.0,23,5.6,1211,5.7
"48281","5","23821","77","0","2000","A","","Lampasas County, Texas","Private","Electrical and wiring contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,150,3502477,0,0,449,23350,"",1.36,4.77,4.72,0.00,0.00,0.99,0.99,"",1,20.0,31,26.1,793310,29.3,0,0.0,0,0.0,11,2.5,568,2.5
"48281","5","23822","77","0","2000","A","","Lampasas County, Texas","Private","Plumbing and hvac contractors","County, NAICS 5-digit -- by ownership sector","All establishment sizes",10,63,1275312,0,0,391,20324,"",2.34,2.32,2.15,0.00,0.00,0.93,0.93,"",0,0.0,-9,-12.5,-64642,-4.8,0,0.0,0,0.0,31,8.6,1627,8.7
"48281","5","2383","76","0","2000","A","","Lampasas County, Texas","Private","Building finishing contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",10,124,2958816,0,0,459,23877,"",1.56,4.38,5.79,0.00,0.00,1.32,1.32,"",2,25.0,0,0.0,394124,15.4,0,0.0,0,0.0,62,15.6,3236,15.7
"48281","5","2389","76","0","2000","A","","Lampasas County, Texas","Private","Other specialty trade contractors","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,16,222967,0,0,265,13792,"",1.04,0.86,0.61,0.00,0.00,0.71,0.71,"",1,33.3,-7,-30.4,-107038,-32.4,0,0.0,0,0.0,-14,-5.0,-714,-4.9
"48281","5","31-33","74","0","2000","A","","Lampasas County, Texas","Private","Manufacturing","County, NAICS Sector -- by ownership sector","All establishment sizes",20,449,10363524,0,0,444,23077,"",0.96,0.78,0.72,0.00,0.00,0.92,0.92,"",2,11.1,178,65.7,903123,9.5,0,0.0,0,0.0,-228,-33.9,-11875,-34.0
"48281","5","332","75","0","2000","A","","Lampasas County, Texas","Private","Fabricated metal product manufacturing","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,52,682018,0,0,254,13200,"",1.82,0.88,0.54,0.00,0.00,0.62,0.62,"",0,0.0,10,23.8,106380,18.5,0,0.0,0,0.0,-9,-3.4,-479,-3.5
"48281","5","42","74","0","2000","A","","Lampasas County, Texas","Private","Wholesale trade","County, NAICS Sector -- by ownership sector","All establishment sizes",18,146,2518147,0,0,331,17198,"",0.61,0.76,0.47,0.00,0.00,0.61,0.61,"",0,0.0,3,2.1,59633,2.4,0,0.0,0,0.0,1,0.3,46,0.3
"48281","5","424","75","0","2000","A","","Lampasas County, Texas","Private","Merchant wholesalers, nondurable goods","County, NAICS 3-digit -- by ownership sector","All establishment sizes",10,106,1814172,0,0,330,17142,"",1.34,1.58,1.10,0.00,0.00,0.70,0.70,"",-1,-9.1,-2,-1.9,54436,3.1,0,0.0,0,0.0,16,5.1,798,4.9
"48281","5","44-45","74","0","2000","A","","Lampasas County, Texas","Private","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",61,584,12202097,0,0,402,20882,"",1.12,1.15,1.88,0.00,0.00,1.63,1.63,"",0,0.0,64,12.3,2263642,22.8,0,0.0,0,0.0,34,9.2,1757,9.2
"48281","5","441","75","0","2000","A","","Lampasas County, Texas","Private","Motor vehicle and parts dealers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,166,6235973,0,0,721,37491,"",1.80,2.69,4.91,0.00,0.00,1.82,1.82,"",0,0.0,38,29.7,1717373,38.0,0,0.0,0,0.0,44,6.5,2304,6.5
"48281","5","4411","76","0","2000","A","","Lampasas County, Texas","Private","Automobile dealers","County, NAICS 4-digit -- by ownership sector","All establishment sizes",5,143,5756871,0,0,773,40188,"",1.94,3.53,6.06,0.00,0.00,1.71,1.71,"",0,0.0,39,37.5,1732213,43.0,0,0.0,0,0.0,31,4.2,1582,4.1
"48281","5","444","75","0","2000","A","","Lampasas County, Texas","Private","Building material and garden supply stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,52,701409,0,0,259,13446,"",1.95,1.37,1.22,0.00,0.00,0.89,0.89,"",1,14.3,8,18.2,119033,20.4,0,0.0,0,0.0,2,0.8,58,0.4
"48281","5","445","75","0","2000","A","","Lampasas County, Texas","Private","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,142,2023799,0,0,273,14210,"",1.10,1.43,1.97,0.00,0.00,1.37,1.37,"",-1,-11.1,19,15.4,321314,18.9,0,0.0,0,0.0,7,2.6,387,2.8
"48281","5","447","75","0","2000","A","","Lampasas County, Texas","Private","Gasoline stations","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,44,664153,0,0,288,14953,"",1.42,1.41,2.43,0.00,0.00,1.71,1.71,"",-1,-11.1,0,0.0,25364,4.0,0,0.0,0,0.0,7,2.5,352,2.4
"48281","5","4471","76","0","2000","A","","Lampasas County, Texas","Private","Gasoline stations","County, NAICS 4-digit -- by ownership sector","All establishment sizes",8,44,664153,0,0,288,14953,"",1.42,1.41,2.43,0.00,0.00,1.71,1.71,"",-1,-11.1,0,0.0,25364,4.0,0,0.0,0,0.0,7,2.5,352,2.4
"48281","5","453","75","0","2000","A","","Lampasas County, Texas","Private","Miscellaneous store retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,28,237596,0,0,162,8435,"",1.66,0.83,0.62,0.00,0.00,0.74,0.74,"",3,33.3,5,21.7,17085,7.7,0,0.0,0,0.0,-25,-13.4,-1293,-13.3
"48281","5","484","75","0","2000","A","","Lampasas County, Texas","Private","Truck transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,46,939246,0,0,393,20418,"",2.03,0.98,1.02,0.00,0.00,1.04,1.04,"",3,33.3,9,24.3,193781,26.0,0,0.0,0,0.0,1,0.3,41,0.2
"48281","5","484121","78","0","2000","A","","Lampasas County, Texas","Private","General freight trucking, long-distance tl","County, NAICS 6-digit -- by ownership sector","All establishment sizes",8,31,640387,0,0,399,20769,"",4.41,1.71,1.77,0.00,0.00,1.04,1.04,"",2,33.3,9,40.9,176149,37.9,0,0.0,0,0.0,-7,-1.7,-333,-1.6
"48281","5","52","74","0","2000","A","","Lampasas County, Texas","Private","Finance and insurance","County, NAICS Sector -- by ownership sector","All establishment sizes",19,90,2257436,0,0,482,25059,"",0.91,0.49,0.35,0.00,0.00,0.72,0.72,"",2,11.8,7,8.4,178201,8.6,0,0.0,0,0.0,-1,-0.2,-42,-0.2
