"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48453","0","10","70","0","2000","A","","Travis County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",23029,537531,22237965147,0,0,796,41371,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",606,2.7,26915,5.3,2511131970,12.7,0,0.0,0,0.0,53,7.1,2738,7.1
"48453","1","10","71","0","2000","A","","Travis County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",48,9392,371173694,0,0,760,39522,"",0.33,0.79,0.58,0.00,0.00,0.73,0.73,"",1,2.1,154,1.7,32267127,9.5,0,0.0,0,0.0,54,7.6,2836,7.7
"48453","1","102","72","0","2000","A","","Travis County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",48,9392,371173694,0,0,760,39522,"",0.33,0.81,0.59,0.00,0.00,0.73,0.73,"",1,2.1,154,1.7,32267127,9.5,0,0.0,0,0.0,54,7.6,2836,7.7
"48453","1","1021","73","0","2000","A","","Travis County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,2619,129574440,0,0,952,49479,"",0.04,0.65,0.65,0.00,0.00,1.01,1.01,"",0,0.0,-78,-2.9,17004390,15.1,0,0.0,0,0.0,149,18.6,7734,18.5
"48453","1","1023","73","0","2000","A","","Travis County, Texas","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",2,34,2214046,0,0,1237,64331,"",0.64,0.54,0.49,0.00,0.00,0.89,0.89,"",0,0.0,-5,-12.8,-111903,-4.8,0,0.0,0,0.0,88,7.7,4564,7.6
"48453","1","1024","73","0","2000","A","","Travis County, Texas","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",2,67,1984416,0,0,567,29472,"",0.43,0.28,0.14,0.00,0.00,0.49,0.49,"",0,0.0,-1,-1.5,-392717,-16.5,0,0.0,0,0.0,-107,-15.9,-5572,-15.9
"48453","1","1025","73","0","2000","A","","Travis County, Texas","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,7,435188,0,0,1182,61438,"",0.62,0.01,0.01,0.00,0.00,1.12,1.12,"",0,0.0,0,0.0,118178,37.3,0,0.0,0,0.0,301,34.2,15605,34.0
"48453","1","1026","73","0","2000","A","","Travis County, Texas","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,2,64157,0,0,617,32079,"",0.32,0.01,0.01,0.00,0.00,1.09,1.09,"",0,0.0,0,0.0,-3428,-5.1,0,0.0,0,0.0,-33,-5.1,-1714,-5.1
"48453","1","1028","73","0","2000","A","","Travis County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",40,6662,236901447,0,0,684,35560,"",0.52,1.11,0.68,0.00,0.00,0.61,0.62,"",1,2.6,236,3.7,15652607,7.1,0,0.0,0,0.0,22,3.3,1128,3.3
"48453","1","48-49","74","0","2000","A","","Travis County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,2619,129574440,0,0,952,49479,"",0.04,0.70,0.68,0.00,0.00,0.98,0.98,"",0,0.0,-78,-2.9,17004390,15.1,0,0.0,0,0.0,149,18.6,7734,18.5
