"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"48507","0","10","70","0","2000","A","","Zavala County, Texas","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",155,2767,43620102,0,0,303,15765,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-5,-3.1,170,6.5,1594125,3.8,0,0.0,0,0.0,-8,-2.6,-415,-2.6
"48507","1","10","71","0","2000","A","","Zavala County, Texas","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",4,19,582285,0,0,603,31334,"",4.06,0.31,0.46,0.00,0.00,1.52,1.52,"",0,0.0,6,46.2,145523,33.3,0,0.0,0,0.0,-69,-10.3,-3607,-10.3
"48507","1","102","72","0","2000","A","","Zavala County, Texas","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",4,19,582285,0,0,603,31334,"",4.07,0.32,0.47,0.00,0.00,1.52,1.52,"",0,0.0,6,46.2,145523,33.3,0,0.0,0,0.0,-69,-10.3,-3607,-10.3
"48507","1","1021","73","0","2000","A","","Zavala County, Texas","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,11,483234,0,0,820,42638,"",5.31,0.53,1.24,0.00,0.00,2.28,2.28,"",0,0.0,0,0.0,63141,15.0,0,0.0,0,0.0,112,15.8,5842,15.9
"48507","1","1028","73","0","2000","A","","Zavala County, Texas","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",2,7,99051,0,0,263,13662,"",3.86,0.23,0.15,0.00,0.00,0.62,0.62,"",0,0.0,6,600.0,82382,494.2,0,0.0,0,0.0,-33,-11.1,-1725,-11.2
"48507","1","48-49","74","0","2000","A","","Zavala County, Texas","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,11,483234,0,0,820,42638,"",5.48,0.57,1.30,0.00,0.00,2.22,2.22,"",0,0.0,0,0.0,63141,15.0,0,0.0,0,0.0,112,15.8,5842,15.9
"48507","1","491","75","0","2000","A","","Zavala County, Texas","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,483234,0,0,820,42638,"",5.58,0.59,1.37,0.00,0.00,2.27,2.27,"",0,0.0,0,0.0,63141,15.0,0,0.0,0,0.0,112,15.8,5842,15.9
"48507","1","4911","76","0","2000","A","","Zavala County, Texas","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,483234,0,0,820,42638,"",5.58,0.59,1.37,0.00,0.00,2.27,2.27,"",0,0.0,0,0.0,63141,15.0,0,0.0,0,0.0,112,15.8,5842,15.9
"48507","1","49111","77","0","2000","A","","Zavala County, Texas","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,483234,0,0,820,42638,"",5.58,0.59,1.37,0.00,0.00,2.27,2.27,"",0,0.0,0,0.0,63141,15.0,0,0.0,0,0.0,112,15.8,5842,15.9
"48507","1","491110","78","0","2000","A","","Zavala County, Texas","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,483234,0,0,820,42638,"",5.58,0.59,1.37,0.00,0.00,2.27,2.27,"",0,0.0,0,0.0,63141,15.0,0,0.0,0,0.0,112,15.8,5842,15.9
