"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49029","0","10","70","0","2000","A","","Morgan County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",168,1553,39960357,0,0,495,25739,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",12,7.7,74,5.0,3848180,10.7,0,0.0,0,0.0,25,5.3,1324,5.4
"49029","1","10","71","0","2000","A","","Morgan County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",3,14,384326,0,0,531,27616,"",2.81,0.41,0.33,0.00,0.00,0.82,0.82,"",1,50.0,3,27.3,47845,14.2,0,0.0,0,0.0,-44,-7.7,-2293,-7.7
"49029","1","102","72","0","2000","A","","Morgan County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",3,14,384326,0,0,531,27616,"",2.82,0.42,0.34,0.00,0.00,0.82,0.82,"",1,50.0,3,27.3,47845,14.2,0,0.0,0,0.0,-44,-7.7,-2293,-7.7
"49029","1","1021","73","0","2000","A","","Morgan County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",2,11,350791,0,0,591,30726,"",4.90,0.94,0.98,0.00,0.00,1.01,1.01,"",0,0.0,0,0.0,14310,4.3,0,0.0,0,0.0,16,2.8,817,2.7
"49029","1","48-49","74","0","2000","A","","Morgan County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",2,11,350791,0,0,591,30726,"",5.06,1.01,1.03,0.00,0.00,0.98,0.98,"",0,0.0,0,0.0,14310,4.3,0,0.0,0,0.0,16,2.8,817,2.7
"49029","1","491","75","0","2000","A","","Morgan County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,11,350791,0,0,591,30726,"",5.15,1.05,1.09,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,14310,4.3,0,0.0,0,0.0,16,2.8,817,2.7
"49029","1","4911","76","0","2000","A","","Morgan County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,11,350791,0,0,591,30726,"",5.15,1.05,1.09,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,14310,4.3,0,0.0,0,0.0,16,2.8,817,2.7
"49029","1","49111","77","0","2000","A","","Morgan County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,11,350791,0,0,591,30726,"",5.15,1.05,1.09,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,14310,4.3,0,0.0,0,0.0,16,2.8,817,2.7
"49029","1","491110","78","0","2000","A","","Morgan County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,11,350791,0,0,591,30726,"",5.15,1.05,1.09,0.00,0.00,1.00,1.00,"",0,0.0,0,0.0,14310,4.3,0,0.0,0,0.0,16,2.8,817,2.7
"49029","3","1025","73","0","2000","A","","Morgan County, Utah","Local Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",6,221,5292716,0,0,460,23922,"",5.17,2.34,2.44,0.00,0.00,1.04,1.04,"",0,0.0,-10,-4.3,79617,1.5,0,0.0,0,0.0,25,5.7,1322,5.8
