"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49043","0","10","70","0","2000","A","","Summit County, Utah","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",1666,15195,391229998,0,0,495,25748,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",58,3.6,649,4.5,42455512,12.2,0,0.0,0,0.0,34,7.4,1771,7.4
"49043","1","10","71","0","2000","A","","Summit County, Utah","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",11,97,3451343,0,0,687,35704,"",1.04,0.29,0.31,0.00,0.00,1.06,1.06,"",1,10.0,6,6.6,284952,9.0,0,0.0,0,0.0,17,2.5,877,2.5
"49043","1","102","72","0","2000","A","","Summit County, Utah","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",11,97,3451343,0,0,687,35704,"",1.04,0.29,0.31,0.00,0.00,1.06,1.06,"",1,10.0,6,6.6,284952,9.0,0,0.0,0,0.0,17,2.5,877,2.5
"49043","1","1021","73","0","2000","A","","Summit County, Utah","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",6,48,1822108,0,0,733,38093,"",1.48,0.42,0.52,0.00,0.00,1.25,1.25,"",1,20.0,2,4.3,107416,6.3,0,0.0,0,0.0,23,3.2,1152,3.1
"49043","1","1028","73","0","2000","A","","Summit County, Utah","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",6,49,1629235,0,0,642,33363,"",1.08,0.29,0.27,0.00,0.00,0.93,0.93,"",1,20.0,4,8.9,177536,12.2,0,0.0,0,0.0,15,2.4,741,2.3
"49043","1","48-49","74","0","2000","A","","Summit County, Utah","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",6,48,1822108,0,0,733,38093,"",1.53,0.45,0.55,0.00,0.00,1.21,1.21,"",1,20.0,2,4.3,107416,6.3,0,0.0,0,0.0,23,3.2,1152,3.1
"49043","1","491","75","0","2000","A","","Summit County, Utah","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,48,1822108,0,0,733,38093,"",1.56,0.47,0.58,0.00,0.00,1.24,1.24,"",1,20.0,2,4.3,107416,6.3,0,0.0,0,0.0,23,3.2,1152,3.1
"49043","1","4911","76","0","2000","A","","Summit County, Utah","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",6,48,1822108,0,0,733,38093,"",1.56,0.47,0.58,0.00,0.00,1.24,1.24,"",1,20.0,2,4.3,107416,6.3,0,0.0,0,0.0,23,3.2,1152,3.1
"49043","1","49111","77","0","2000","A","","Summit County, Utah","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",6,48,1822108,0,0,733,38093,"",1.56,0.47,0.58,0.00,0.00,1.24,1.24,"",1,20.0,2,4.3,107416,6.3,0,0.0,0,0.0,23,3.2,1152,3.1
"49043","1","491110","78","0","2000","A","","Summit County, Utah","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",6,48,1822108,0,0,733,38093,"",1.56,0.47,0.58,0.00,0.00,1.24,1.24,"",1,20.0,2,4.3,107416,6.3,0,0.0,0,0.0,23,3.2,1152,3.1
"49043","1","92","74","0","2000","A","","Summit County, Utah","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",6,49,1629235,0,0,642,33363,"",1.08,0.29,0.27,0.00,0.00,0.93,0.93,"",1,20.0,4,8.9,177536,12.2,0,0.0,0,0.0,15,2.4,741,2.3
"49043","1","924","75","0","2000","A","","Summit County, Utah","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,24,806880,0,0,636,33046,"",0.79,1.83,1.82,0.00,0.00,0.98,0.98,"",0,0.0,-9,-27.3,-132506,-14.1,0,0.0,0,0.0,87,15.8,4508,15.8
"49043","1","9241","76","0","2000","A","","Summit County, Utah","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,24,806880,0,0,636,33046,"",0.79,1.83,1.82,0.00,0.00,0.98,0.98,"",0,0.0,-9,-27.3,-132506,-14.1,0,0.0,0,0.0,87,15.8,4508,15.8
"49043","1","92412","77","0","2000","A","","Summit County, Utah","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,24,806880,0,0,636,33046,"",0.80,2.17,2.34,0.00,0.00,1.06,1.06,"",0,0.0,-9,-27.3,-132506,-14.1,0,0.0,0,0.0,87,15.8,4508,15.8
"49043","1","924120","78","0","2000","A","","Summit County, Utah","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,24,806880,0,0,636,33046,"",0.80,2.17,2.34,0.00,0.00,1.06,1.06,"",0,0.0,-9,-27.3,-132506,-14.1,0,0.0,0,0.0,87,15.8,4508,15.8
"49043","1","926","75","0","2000","A","","Summit County, Utah","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,15,329531,0,0,427,22216,"",1.79,0.46,0.33,0.00,0.00,0.72,0.72,"",1,33.3,13,650.0,256314,350.1,0,0.0,0,0.0,-199,-31.8,-10325,-31.7
"49043","1","9261","76","0","2000","A","","Summit County, Utah","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",4,15,329531,0,0,427,22216,"",1.79,0.46,0.33,0.00,0.00,0.72,0.72,"",1,33.3,13,650.0,256314,350.1,0,0.0,0,0.0,-199,-31.8,-10325,-31.7
"49043","1","92611","77","0","2000","A","","Summit County, Utah","Federal Government","Administration of general economic programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,12,248974,0,0,388,20187,"",1.80,0.65,0.65,0.00,0.00,0.97,0.97,"",1,100.0,12,100.0,244904,6017.3,0,0.0,0,0.0,75,24.0,3907,24.0
"49043","1","926110","78","0","2000","A","","Summit County, Utah","Federal Government","Administration of general economic programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,12,248974,0,0,388,20187,"",1.80,0.65,0.65,0.00,0.00,0.97,0.97,"",1,100.0,12,100.0,244904,6017.3,0,0.0,0,0.0,75,24.0,3907,24.0
"49043","1","92614","77","0","2000","A","","Summit County, Utah","Federal Government","Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,3,80557,0,0,620,32223,"",2.30,0.49,0.38,0.00,0.00,0.93,0.93,"",0,0.0,1,50.0,11410,16.5,0,0.0,0,0.0,-45,-6.8,-2351,-6.8
"49043","1","926140","78","0","2000","A","","Summit County, Utah","Federal Government","Agricultural market and commodity regulation","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,3,80557,0,0,620,32223,"",2.30,0.49,0.38,0.00,0.00,0.93,0.93,"",0,0.0,1,50.0,11410,16.5,0,0.0,0,0.0,-45,-6.8,-2351,-6.8
"49043","1","928","75","0","2000","A","","Summit County, Utah","Federal Government","National security and international affairs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,10,492824,0,0,989,51425,"",1.93,0.15,0.21,0.00,0.00,1.40,1.40,"",0,0.0,1,11.1,53728,12.2,0,0.0,0,0.0,84,9.3,4379,9.3
