"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51059","0","10","70","0","2000","A","","Fairfax County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",27917,537746,27674937001,0,0,990,51465,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",820,3.0,33620,6.7,3637643666,15.1,0,0.0,0,0.0,73,8.0,3784,7.9
"51059","1","10","71","0","2000","A","","Fairfax County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",77,16452,901373078,0,0,1054,54788,"",0.43,1.39,1.13,0.00,0.00,0.81,0.81,"",2,2.7,-52,-0.3,101539850,12.7,0,0.0,0,0.0,122,13.1,6325,13.1
"51059","1","102","72","0","2000","A","","Fairfax County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",77,16452,901373078,0,0,1054,54788,"",0.44,1.41,1.15,0.00,0.00,0.81,0.82,"",2,2.7,-52,-0.3,101539850,12.7,0,0.0,0,0.0,122,13.1,6325,13.1
"51059","1","1021","73","0","2000","A","","Fairfax County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",8,4341,198889752,0,0,881,45820,"",0.12,1.07,0.80,0.00,0.00,0.75,0.75,"",-1,-11.1,-92,-2.1,7499761,3.9,0,0.0,0,0.0,51,6.1,2649,6.1
"51059","1","1024","73","0","2000","A","","Fairfax County, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",8,85,4428319,0,0,997,51844,"",1.41,0.36,0.25,0.00,0.00,0.69,0.70,"",0,0.0,-11,-11.5,-211306,-4.6,0,0.0,0,0.0,68,7.3,3515,7.3
"51059","1","1025","73","0","2000","A","","Fairfax County, Virginia","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",3,114,1947650,0,0,329,17097,"",1.53,0.11,0.03,0.00,0.00,0.25,0.25,"",0,0.0,1,0.9,38227,2.0,0,0.0,0,0.0,4,1.2,187,1.1
"51059","1","1026","73","0","2000","A","","Fairfax County, Virginia","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",15,860,21685479,0,0,485,25223,"",3.96,3.75,2.59,0.00,0.00,0.69,0.69,"",1,7.1,-23,-2.6,1309928,6.4,0,0.0,0,0.0,41,9.2,2145,9.3
"51059","1","1028","73","0","2000","A","","Fairfax County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",43,11052,674421878,0,0,1173,61022,"",0.46,1.84,1.56,0.00,0.00,0.85,0.85,"",2,4.9,73,0.7,92903240,16.0,0,0.0,0,0.0,154,15.1,8056,15.2
"51059","1","44-45","74","0","2000","A","","Fairfax County, Virginia","Federal Government","Retail trade","County, NAICS Sector -- by ownership sector","All establishment sizes",4,672,12848045,0,0,368,19129,"",2.48,2.83,1.96,0.00,0.00,0.69,0.69,"",-1,-20.0,-25,-3.6,509399,4.1,0,0.0,0,0.0,28,8.2,1424,8.0
"51059","1","445","75","0","2000","A","","Fairfax County, Virginia","Federal Government","Food and beverage stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,165,4665668,0,0,544,28263,"",1.55,3.60,2.40,0.00,0.00,0.67,0.67,"",-1,-50.0,0,0.0,347939,8.1,0,0.0,0,0.0,40,7.9,2068,7.9
"51059","1","4451","76","0","2000","A","","Fairfax County, Virginia","Federal Government","Grocery stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,165,4665668,0,0,544,28263,"",1.55,3.60,2.40,0.00,0.00,0.67,0.67,"",-1,-50.0,0,0.0,347939,8.1,0,0.0,0,0.0,40,7.9,2068,7.9
"51059","1","44511","77","0","2000","A","","Fairfax County, Virginia","Federal Government","Supermarkets and other grocery stores","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,165,4665668,0,0,544,28263,"",1.58,3.61,2.41,0.00,0.00,0.67,0.67,"",-1,-50.0,0,0.0,347939,8.1,0,0.0,0,0.0,40,7.9,2068,7.9
"51059","1","445110","78","0","2000","A","","Fairfax County, Virginia","Federal Government","Supermarkets and other grocery stores","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,165,4665668,0,0,544,28263,"",1.58,3.61,2.41,0.00,0.00,0.67,0.67,"",-1,-50.0,0,0.0,347939,8.1,0,0.0,0,0.0,40,7.9,2068,7.9
"51059","1","451","75","0","2000","A","","Fairfax County, Virginia","Federal Government","Sporting goods, hobby, book and music stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,75855,0,0,357,18577,"",17.69,16.66,8.35,0.00,0.00,0.49,0.49,"",0,0.0,2,100.0,53938,246.1,0,0.0,0,0.0,91,34.2,4735,34.2
"51059","1","4511","76","0","2000","A","","Fairfax County, Virginia","Federal Government","Sporting goods and musical instrument stores","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,75855,0,0,357,18577,"",31.45,34.50,28.56,0.00,0.00,0.82,0.82,"",0,0.0,2,100.0,53938,246.1,0,0.0,0,0.0,91,34.2,4735,34.2
