"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"51085","0","10","70","0","2000","A","","Hanover County, Virginia","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",2669,37963,1094841968,0,0,555,28839,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",70,2.7,959,2.6,57332634,5.5,0,0.0,0,0.0,16,3.0,801,2.9
"51085","1","10","71","0","2000","A","","Hanover County, Virginia","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",9,234,7883780,0,0,649,33764,"",0.53,0.28,0.25,0.00,0.00,0.89,0.89,"",2,28.6,76,48.1,2234810,39.6,0,0.0,0,0.0,-40,-5.8,-2046,-5.7
"51085","1","102","72","0","2000","A","","Hanover County, Virginia","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",9,234,7883780,0,0,649,33764,"",0.53,0.28,0.25,0.00,0.00,0.90,0.90,"",2,28.6,76,48.1,2234810,39.6,0,0.0,0,0.0,-40,-5.8,-2046,-5.7
"51085","1","1021","73","0","2000","A","","Hanover County, Virginia","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",3,156,5824831,0,0,717,37259,"",0.46,0.55,0.60,0.00,0.00,1.09,1.09,"",0,0.0,7,4.7,419728,7.8,0,0.0,0,0.0,21,3.0,1084,3.0
"51085","1","1024","73","0","2000","A","","Hanover County, Virginia","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,63311,0,0,859,44690,"",1.84,0.06,0.09,0.00,0.00,1.07,1.07,"",0,0.0,0,0.0,19449,44.3,0,0.0,0,0.0,15,1.8,828,1.9
"51085","1","1028","73","0","2000","A","","Hanover County, Virginia","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",5,76,1995638,0,0,507,26345,"",0.56,0.18,0.12,0.00,0.00,0.65,0.65,"",2,66.7,69,985.7,1795633,897.8,0,0.0,0,0.0,-17,-3.2,-928,-3.4
"51085","1","48-49","74","0","2000","A","","Hanover County, Virginia","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",3,156,5824831,0,0,717,37259,"",0.48,0.59,0.62,0.00,0.00,1.06,1.06,"",0,0.0,7,4.7,419728,7.8,0,0.0,0,0.0,21,3.0,1084,3.0
"51085","1","491","75","0","2000","A","","Hanover County, Virginia","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,156,5824831,0,0,717,37259,"",0.49,0.61,0.66,0.00,0.00,1.09,1.09,"",0,0.0,7,4.7,419728,7.8,0,0.0,0,0.0,21,3.0,1084,3.0
"51085","1","4911","76","0","2000","A","","Hanover County, Virginia","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",3,156,5824831,0,0,717,37259,"",0.49,0.61,0.66,0.00,0.00,1.09,1.09,"",0,0.0,7,4.7,419728,7.8,0,0.0,0,0.0,21,3.0,1084,3.0
"51085","1","49111","77","0","2000","A","","Hanover County, Virginia","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",3,156,5824831,0,0,717,37259,"",0.49,0.61,0.66,0.00,0.00,1.09,1.09,"",0,0.0,7,4.7,419728,7.8,0,0.0,0,0.0,21,3.0,1084,3.0
"51085","1","491110","78","0","2000","A","","Hanover County, Virginia","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",3,156,5824831,0,0,717,37259,"",0.49,0.61,0.66,0.00,0.00,1.09,1.09,"",0,0.0,7,4.7,419728,7.8,0,0.0,0,0.0,21,3.0,1084,3.0
"51085","1","54","74","0","2000","A","","Hanover County, Virginia","Federal Government","Professional and technical services","County, NAICS Sector -- by ownership sector","All establishment sizes",1,1,63311,0,0,859,44690,"",1.93,0.06,0.09,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,19449,44.3,0,0.0,0,0.0,15,1.8,828,1.9
"51085","1","541","75","0","2000","A","","Hanover County, Virginia","Federal Government","Professional and technical services","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,63311,0,0,859,44690,"",1.93,0.06,0.09,0.00,0.00,1.05,1.05,"",0,0.0,0,0.0,19449,44.3,0,0.0,0,0.0,15,1.8,828,1.9
"51085","1","5413","76","0","2000","A","","Hanover County, Virginia","Federal Government","Architectural and engineering services","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,63311,0,0,859,44690,"",3.19,0.10,0.15,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,19449,44.3,0,0.0,0,0.0,15,1.8,828,1.9
"51085","1","54133","77","0","2000","A","","Hanover County, Virginia","Federal Government","Engineering services","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,63311,0,0,859,44690,"",3.24,0.10,0.15,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,19449,44.3,0,0.0,0,0.0,15,1.8,828,1.9
"51085","1","541330","78","0","2000","A","","Hanover County, Virginia","Federal Government","Engineering services","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,63311,0,0,859,44690,"",3.24,0.10,0.15,0.00,0.00,1.08,1.08,"",0,0.0,0,0.0,19449,44.3,0,0.0,0,0.0,15,1.8,828,1.9
"51085","1","92","74","0","2000","A","","Hanover County, Virginia","Federal Government","Public administration","County, NAICS Sector -- by ownership sector","All establishment sizes",5,76,1995638,0,0,507,26345,"",0.56,0.18,0.12,0.00,0.00,0.65,0.65,"",2,66.7,69,985.7,1795633,897.8,0,0.0,0,0.0,-17,-3.2,-928,-3.4
"51085","1","923","75","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of human resource programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,1,60479,0,0,1745,90719,"",1.38,0.03,0.04,0.00,0.00,2.23,2.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51085","1","9231","76","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of human resource programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,1,60479,0,0,1745,90719,"",1.38,0.03,0.04,0.00,0.00,2.23,2.24,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51085","1","92313","77","0","2000","A","","Hanover County, Virginia","Federal Government","Other human resource programs administration","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,1,60479,0,0,1745,90719,"",1.86,0.05,0.08,0.00,0.00,2.61,2.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51085","1","923130","78","0","2000","A","","Hanover County, Virginia","Federal Government","Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,1,60479,0,0,1745,90719,"",1.86,0.05,0.08,0.00,0.00,2.61,2.61,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51085","1","924","75","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,8,207344,0,0,520,27045,"",0.98,0.24,0.17,0.00,0.00,0.71,0.71,"",0,0.0,3,60.0,80211,63.1,0,0.0,0,0.0,-23,-4.2,-1207,-4.3
"51085","1","9241","76","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,8,207344,0,0,520,27045,"",0.98,0.24,0.17,0.00,0.00,0.71,0.71,"",0,0.0,3,60.0,80211,63.1,0,0.0,0,0.0,-23,-4.2,-1207,-4.3
"51085","1","92412","77","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,8,207344,0,0,520,27045,"",1.00,0.29,0.21,0.00,0.00,0.77,0.77,"",0,0.0,3,60.0,80211,63.1,0,0.0,0,0.0,-23,-4.2,-1207,-4.3
"51085","1","924120","78","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,8,207344,0,0,520,27045,"",1.00,0.29,0.21,0.00,0.00,0.77,0.77,"",0,0.0,3,60.0,80211,63.1,0,0.0,0,0.0,-23,-4.2,-1207,-4.3
"51085","1","926","75","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,67,1727815,0,0,493,25629,"",0.56,0.82,0.61,0.00,0.00,0.74,0.74,"",1,100.0,64,2133.3,1654943,2271.0,0,0.0,0,0.0,-2,-0.4,-91,-0.4
"51085","1","9261","76","0","2000","A","","Hanover County, Virginia","Federal Government","Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,67,1727815,0,0,493,25629,"",0.56,0.82,0.61,0.00,0.00,0.74,0.74,"",1,100.0,64,2133.3,1654943,2271.0,0,0.0,0,0.0,-2,-0.4,-91,-0.4
